Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	170928_MW_1 Spectral Count	170928_MW_2 Spectral Count	170928_MW_3 Spectral Count	170928_MW_4 Spectral Count	170928_MW_5 Spectral Count	170928_MW_6 Spectral Count	170928_MW_1 Unique Spectral Count	170928_MW_2 Unique Spectral Count	170928_MW_3 Unique Spectral Count	170928_MW_4 Unique Spectral Count	170928_MW_5 Unique Spectral Count	170928_MW_6 Unique Spectral Count	170928_MW_1 Total Spectral Count	170928_MW_2 Total Spectral Count	170928_MW_3 Total Spectral Count	170928_MW_4 Total Spectral Count	170928_MW_5 Total Spectral Count	170928_MW_6 Total Spectral Count	170928_MW_1 Intensity	170928_MW_2 Intensity	170928_MW_3 Intensity	170928_MW_4 Intensity	170928_MW_5 Intensity	170928_MW_6 Intensity	170928_MW_1 MaxLFQ Intensity	170928_MW_2 MaxLFQ Intensity	170928_MW_3 MaxLFQ Intensity	170928_MW_4 MaxLFQ Intensity	170928_MW_5 MaxLFQ Intensity	170928_MW_6 MaxLFQ Intensity	Indistinguishable Proteins
sp|A5D6R3|PLD3A_DANRE	A5D6R3	PLD3A_DANRE	plcd3a	784	Danio rerio	2:Experimental evidence at transcript level	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-3-A	0.9885	0.9929	1	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0.0	5156234.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A5PF48|MYO1C_DANRE	A5PF48	MYO1C_DANRE	myo1c	1026	Danio rerio	3:Protein inferred from homology	Unconventional myosin-Ic	0.9896	0.999	1	6	6	6	2	1	1	0	1	1	2	1	1	0	1	1	2	1	1	0	1	1	6649819.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A5PL98|SDHB_DANRE	A5PL98	SDHB_DANRE	sdhb	280	Danio rerio	2:Experimental evidence at transcript level	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial	1.0	0.9987	3	20	20	20	3	3	5	3	3	3	3	3	5	3	3	3	3	3	5	3	3	3	1.7530376E8	2.3662208E8	1.45634176E8	6.403488E7	2.18072448E8	8.1944008E7	1.18957344E8	1.17243624E8	6.6808364E7	5.9592928E7	8.4168432E7	9.2591936E7	
sp|A5PLC8|PTMAB_DANRE	A5PLC8	PTMAB_DANRE	ptmab	106	Danio rerio	1:Experimental evidence at protein level	Prothymosin alpha-B	0.9789	0.9872	2	4	4	4	0	1	2	1	0	0	0	1	2	1	0	0	0	1	2	1	0	0	0.0	2.2860952E7	3.9461496E7	3.3097664E7	0.0	0.0	0.0	2.2860952E7	3.9461496E7	3.3097664E7	0.0	0.0	
sp|A5PLK2|LHPP_DANRE	A5PLK2	LHPP_DANRE	lhpp	270	Danio rerio	2:Experimental evidence at transcript level	Phospholysine phosphohistidine inorganic pyrophosphate phosphatase	0.9999	0.999	2	3	3	3	0	1	0	1	1	0	0	1	0	1	1	0	0	1	0	1	1	0	0.0	3266857.5	0.0	4579051.5	1081138.8	0.0	0.0	3266857.5	0.0	4579051.5	0.0	0.0	
sp|A8E5C5|DS7CA_DANRE	A8E5C5	DS7CA_DANRE	dhrs7ca	324	Danio rerio	2:Experimental evidence at transcript level	Dehydrogenase/reductase SDR family member 7C-A	1.0	0.999	4	22	22	22	7	2	3	3	4	3	7	2	3	3	4	3	7	2	3	3	4	3	2.4128708E7	1.0524752E7	5.1564736E7	2.1534652E7	9.1243216E7	6.2298148E7	9935364.0	4438841.5	4.5940644E7	3.413642E7	3.4593544E7	2.7706764E7	
sp|A8E7G5|SFXN4_DANRE	A8E7G5	SFXN4_DANRE	sfxn4	316	Danio rerio	2:Experimental evidence at transcript level	Sideroflexin-4	1.0	0.999	1	6	6	6	1	0	1	1	2	1	1	0	1	1	2	1	1	0	1	1	2	1	1.2027046E7	0.0	1.3313921E7	0.0	4.0990304E7	0.0	1.2027046E7	0.0	1.3313921E7	0.0	2.655748E7	0.0	
sp|A8Y5U1|RIMC1_DANRE	A8Y5U1	RIMC1_DANRE	rimoc1	276	Danio rerio	2:Experimental evidence at transcript level	RAB7A-interacting MON1-CCZ1 complex subunit 1	0.9458	0.9984	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A9C3P0|MLEC_DANRE	A9C3P0	MLEC_DANRE	mlec	285	Danio rerio	3:Protein inferred from homology	Malectin	0.9641	0.999	1	6	6	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.9567634E7	4.890072E7	5.61529E7	0.0	4.1299864E7	3.477712E7	2.9567634E7	4.890072E7	5.61529E7	0.0	4.1299864E7	3.477712E7	
sp|A9C3R9|RP65B_DANRE	A9C3R9	RP65B_DANRE	rpe65b	532	Danio rerio	1:Experimental evidence at protein level	All-trans-retinyl ester 13-cis isomerohydrolase	1.0	0.9985	4	9	9	9	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	0.0	0.0	0.0	9527142.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A9JRC7|PP4CB_DANRE	A9JRC7	PP4CB_DANRE	ppp4cb	307	Danio rerio	2:Experimental evidence at transcript level	Serine/threonine-protein phosphatase 4 catalytic subunit B	1.0	0.9989	4	9	8	9	1	0	2	2	2	2	1	0	2	2	2	1	1	0	2	2	2	2	0.0	1.8495096E7	2.4681176E7	0.0	0.0	2.7570218E7	0.0	1.8495096E7	2.4681176E7	0.0	0.0	2.7570218E7	
sp|A9JRE2|MTNA_DANRE	A9JRE2	MTNA_DANRE	mri1	353	Danio rerio	2:Experimental evidence at transcript level	Methylthioribose-1-phosphate isomerase	1.0	0.999	7	27	27	27	4	4	6	5	3	5	4	4	6	5	3	5	4	4	6	5	3	5	1.13170216E8	1.637288E8	2.38634976E8	1.59277856E8	2.4057496E8	2.08370384E8	5.241022E7	5.858342E7	9.0329352E7	6.9194552E7	1.6597856E8	9.0806344E7	
sp|A9JRI0|HEAT6_DANRE	A9JRI0	HEAT6_DANRE	heatr6	1201	Danio rerio	2:Experimental evidence at transcript level	HEAT repeat-containing protein 6	0.7239	0.9604	1	2	2	2	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A9JRZ0|SMUF2_DANRE	A9JRZ0	SMUF2_DANRE	smurf2	765	Danio rerio	2:Experimental evidence at transcript level	E3 ubiquitin-protein ligase SMURF2	0.9951	0.9925	3	5	5	5	1	0	1	0	1	2	1	0	1	0	1	2	1	0	1	0	1	2	0.0	0.0	0.0	0.0	6096046.0	1.5571427E7	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A9JTH1|NCLDA_DANRE	A9JTH1	NCLDA_DANRE	ncalda	193	Danio rerio	2:Experimental evidence at transcript level	Neurocalcin-delta A	0.6517	0.9857	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0.0	0.0	0.0	7028211.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|B0R0D7|COR1C_DANRE	B0R0D7	COR1C_DANRE	coro1ca	474	Danio rerio	2:Experimental evidence at transcript level	Coronin-1C-A	1.0	0.9984	8	22	22	22	3	4	4	4	2	5	3	4	4	4	2	5	3	4	4	4	2	5	1.59817104E8	7.4497776E7	5.3685744E7	1.33452152E8	1.08507744E8	9.9502288E7	6.335966E7	5.7079392E7	6.7519168E7	6.430452E7	5.5401548E7	5.2561884E7	
sp|B0R0T1|VWA8_DANRE	B0R0T1	VWA8_DANRE	vwa8	1896	Danio rerio	3:Protein inferred from homology	von Willebrand factor A domain-containing protein 8	0.9799	0.9829	2	6	6	6	0	1	1	1	2	1	0	1	1	1	2	1	0	1	1	1	2	1	0.0	0.0	0.0	0.0	5.5976128E7	1.8382876E7	0.0	0.0	0.0	0.0	0.0	0.0	
sp|B0S5N4|PLXA3_DANRE	B0S5N4	PLXA3_DANRE	plxna3	1892	Danio rerio	2:Experimental evidence at transcript level	Plexin A3	1.0	0.9987	6	9	5	9	1	3	0	1	3	1	0	2	0	0	2	1	1	3	0	1	3	1	2.880905E7	9.3344944E7	0.0	7.9687168E7	2.4412696E7	0.0	2.333697E7	5.1837852E7	0.0	4.7322496E7	5.6699732E7	0.0	
sp|B0S6R1|NCKP1_DANRE	B0S6R1	NCKP1_DANRE	nckap1	1128	Danio rerio	3:Protein inferred from homology	Nck-associated protein 1	1.0	0.999	13	51	51	51	5	8	8	11	6	13	5	8	8	11	6	13	5	8	8	11	6	13	5.7349468E7	4.13443616E8	1.97295248E8	4.08109312E8	2.23781904E8	3.774584E8	1.43694144E8	1.27170112E8	9.3783728E7	1.60446288E8	7.9997112E7	1.35056192E8	
sp|B0UXP9|IMDH2_DANRE	B0UXP9	IMDH2_DANRE	impdh2	514	Danio rerio	3:Protein inferred from homology	Inosine-5'-monophosphate dehydrogenase 2	0.9027	0.9896	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|B0V3F8|PRKRA_DANRE	B0V3F8	PRKRA_DANRE	prkra	282	Danio rerio	2:Experimental evidence at transcript level	Interferon-inducible double-stranded RNA-dependent protein kinase activator A homolog	1.0	0.9985	3	7	7	7	3	1	1	1	1	0	3	1	1	1	1	0	3	1	1	1	1	0	1.911665E7	5.8400308E7	4.3778612E7	0.0	0.0	0.0	1.911665E7	5.8400308E7	4.3778612E7	0.0	0.0	0.0	
sp|B2ZGJ1|CLAT_DANRE	B2ZGJ1	CLAT_DANRE	chat	637	Danio rerio	2:Experimental evidence at transcript level	Choline O-acetyltransferase	0.9282	0.9688	1	3	3	3	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0.0	0.0	0.0	0.0	0.0	1.5312846E7	0.0	0.0	0.0	0.0	0.0	0.0	
sp|B3DJT0|SART3_DANRE	B3DJT0	SART3_DANRE	sart3	951	Danio rerio	2:Experimental evidence at transcript level	Squamous cell carcinoma antigen recognized by T-cells 3	1.0	0.9985	6	8	8	8	0	1	3	0	2	2	0	1	3	0	2	2	0	1	3	0	2	2	0.0	0.0	1.6728008E7	0.0	6747231.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|B5DE31|YBOX1_DANRE	B5DE31	YBOX1_DANRE	ybx1	310	Danio rerio	1:Experimental evidence at protein level	Y-box-binding protein 1	1.0	0.999	6	26	26	26	0	7	4	5	5	5	0	7	4	5	5	5	0	7	4	5	5	5	0.0	8.197464E7	2.5207756E7	4.9149296E7	6.3865092E7	4.8910976E7	0.0	2.7518036E7	1.527147E7	2.377666E7	3.2070962E7	2.1348626E7	
sp|B7ZC77|CTNA2_DANRE	B7ZC77	CTNA2_DANRE	Ctnna2	865	Danio rerio	3:Protein inferred from homology	Catenin alpha-2	1.0	0.999	7	13	13	16	4	3	2	0	3	1	4	3	2	0	3	1	5	4	2	0	3	2	1.8773428E7	0.0	0.0	0.0	4150596.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|B8A5G9|TRM5_DANRE	B8A5G9	TRM5_DANRE	trmt5	480	Danio rerio	3:Protein inferred from homology	tRNA (guanine(37)-N1)-methyltransferase	0.9996	0.9986	2	2	2	2	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|B8A5I7|SSBP_DANRE	B8A5I7	SSBP_DANRE	ssbp1	146	Danio rerio	1:Experimental evidence at protein level	Single-stranded DNA-binding protein, mitochondrial	0.9579	0.9988	1	2	2	2	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0.0	0.0	0.0	1.2516038E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|E7F1H9|YTHD2_DANRE	E7F1H9	YTHD2_DANRE	ythdf2	613	Danio rerio	1:Experimental evidence at protein level	YTH domain-containing family protein 2	0.8627	0.9957	1	4	4	4	0	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	1	0	0.0	3050316.8	2947771.0	2076585.4	3041080.0	0.0	0.0	3050316.8	2947771.0	2076585.4	3041080.0	0.0	
sp|E7F6F7|ABCB7_DANRE	E7F6F7	ABCB7_DANRE	abcb7	743	Danio rerio	3:Protein inferred from homology	Iron-sulfur clusters transporter ABCB7, mitochondrial	0.9916	0.9931	2	3	3	3	0	0	1	0	2	0	0	0	1	0	2	0	0	0	1	0	2	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|E7F6H7|DCI2A_DANRE	E7F6H7	DCI2A_DANRE	dync1i2a	626	Danio rerio	3:Protein inferred from homology	Dynein, cytoplasmic 1, intermediate chain 2a	1.0	0.999	3	6	6	6	1	1	2	1	1	0	1	1	2	1	1	0	1	1	2	1	1	0	2.3393624E7	2.6759462E7	2072614.0	1.6404886E7	1.3146845E7	1.6482833E7	0.0	1.7867472E7	4811585.0	1.5375869E7	1.2322193E7	1.5448927E7	
sp|E7FBU4|MMS19_DANRE	E7FBU4	MMS19_DANRE	mms19	1043	Danio rerio	3:Protein inferred from homology	MMS19 nucleotide excision repair protein homolog	1.0	0.999	3	10	10	10	2	1	3	1	1	2	2	1	3	1	1	2	2	1	3	1	1	2	0.0	5622056.0	5760138.0	3392668.0	3.7085912E7	3.6150792E7	0.0	4294038.0	6721578.5	5815985.5	2.8325638E7	1.9100996E7	
sp|E7FC72|EXOC7_DANRE	E7FC72	EXOC7_DANRE	exoc7	720	Danio rerio	3:Protein inferred from homology	Exocyst complex component 7	0.3157	0.9445	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	2.2861582E7	0.0	0.0	0.0	0.0	0.0	0.0	
sp|E9QI36|HARS1_DANRE	E9QI36	HARS1_DANRE	hars	513	Danio rerio	3:Protein inferred from homology	Histidine--tRNA ligase	1.0	0.9988	3	11	5	11	2	1	1	2	3	2	1	0	0	1	2	1	2	1	1	2	3	2	0.0	0.0	0.0	4.624866E7	3.4342692E7	0.0	0.0	0.0	0.0	4.9523496E7	2.3415548E7	0.0	
sp|E9QJ30|KL40B_DANRE	E9QJ30	KL40B_DANRE	klhl40b	618	Danio rerio	2:Experimental evidence at transcript level	Kelch-like protein 40b	0.964	0.999	1	7	7	7	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	4155299.8	1.055886E7	4170868.2	2.3101228E7	1.2574821E7	1.1504337E7	4155299.8	1.055886E7	4170868.2	2.3101228E7	1.2574821E7	1.1504337E7	
sp|F1Q575|NNRD_DANRE	F1Q575	NNRD_DANRE	naxd	330	Danio rerio	3:Protein inferred from homology	ATP-dependent (S)-NAD(P)H-hydrate dehydratase	0.6806	0.9874	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0.0	0.0	0.0	0.0	1.1306234E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|F1Q749|DKC1_DANRE	F1Q749	DKC1_DANRE	dkc1	506	Danio rerio	2:Experimental evidence at transcript level	H/ACA ribonucleoprotein complex subunit DKC1	1.0	0.999	7	19	19	19	4	4	3	4	1	3	4	4	3	4	1	3	4	4	3	4	1	3	9.0221056E7	4.816244E7	9.8742176E7	8.2930536E7	4.123182E7	1.0885052E8	4.6050672E7	2.6345476E7	4.8113384E7	6.5756044E7	4.1301292E7	4.1569428E7	
sp|F1Q7H8|ZD20A_DANRE	F1Q7H8	ZD20A_DANRE	zdhhc20a	357	Danio rerio	2:Experimental evidence at transcript level	Palmitoyltransferase ZDHHC20-A	0.8014	0.9933	1	2	2	2	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	1.1576679E7	0.0	0.0	0.0	0.0	0.0	0.0	
sp|F1Q8X5|FERM2_DANRE	F1Q8X5	FERM2_DANRE	fermt2	684	Danio rerio	2:Experimental evidence at transcript level	Fermitin family homolog 2	1.0	0.999	8	30	30	30	3	8	4	6	4	5	3	8	4	6	4	5	3	8	4	6	4	5	1.53671072E8	2.55930816E8	2.01052992E8	3.00622528E8	2.24379152E8	2.86423424E8	6.8261728E7	1.74512432E8	1.56079728E8	2.01273616E8	1.8251096E8	1.77562336E8	
sp|F1QB54|PABPA_DANRE	F1QB54	PABPA_DANRE	pabpc1a	634	Danio rerio	1:Experimental evidence at protein level	Polyadenylate-binding protein 1A	1.0	0.999	17	89	89	89	10	16	13	17	17	16	10	16	13	17	17	16	10	16	13	17	17	16	8.8939866E8	1.50690854E9	1.21311808E9	1.90896154E9	1.6997463E9	1.53119104E9	1.85622896E8	2.5022832E8	2.12977776E8	3.14632832E8	2.5219888E8	2.62808608E8	
sp|F1QCN0|GAL3A_DANRE	F1QCN0	GAL3A_DANRE	gatd3	262	Danio rerio	3:Protein inferred from homology	Glutamine amidotransferase-like class 1 domain-containing protein 3, mitochondrial	0.9996	0.9971	2	2	2	2	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0.0	0.0	0.0	2.2402402E7	3.5251796E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|F1QCV2|HDA10_DANRE	F1QCV2	HDA10_DANRE	hdac10	675	Danio rerio	1:Experimental evidence at protein level	Polyamine deacetylase HDAC10	0.9559	0.9987	1	3	3	3	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0.0	0.0	0.0	0.0	0.0	1.3724374E7	0.0	0.0	0.0	0.0	0.0	0.0	
sp|F1QEG2|KL41B_DANRE	F1QEG2	KL41B_DANRE	klhl41b	605	Danio rerio	2:Experimental evidence at transcript level	Kelch-like protein 41b	1.0	0.9988	9	34	29	34	6	5	6	5	5	7	5	5	5	4	5	5	6	5	6	5	5	7	1.43727616E8	1.83881536E8	6.978904E7	3.56108128E8	1.95787328E8	3.8212736E8	1.14079168E8	8.4112792E7	5.599712E7	1.04049296E8	9.9778624E7	8.025672E7	
sp|F1QGH7|CTNB1_DANRE	F1QGH7	CTNB1_DANRE	ctnnb1	780	Danio rerio	1:Experimental evidence at protein level	Catenin beta-1	1.0	0.999	14	47	47	56	6	5	10	6	13	7	6	5	10	6	13	7	7	6	12	7	15	9	5.8537816E7	2.58167536E8	2.32524576E8	3.10576064E8	2.04439104E8	3.0514624E8	7.0201536E7	7.8166872E7	7.7879216E7	7.1427648E7	6.6219944E7	7.2937992E7	
sp|F1QGH9|PS11B_DANRE	F1QGH9	PS11B_DANRE	psmd11b	422	Danio rerio	2:Experimental evidence at transcript level	26S proteasome non-ATPase regulatory subunit 11B	1.0	0.999	16	55	30	55	11	9	7	7	10	11	7	4	3	4	6	6	11	9	7	7	10	11	4.57206656E8	4.45964832E8	3.3651632E8	5.22497152E8	4.68217152E8	7.0161062E8	1.40999424E8	1.55196544E8	1.6765552E8	1.71210224E8	1.42915776E8	1.82557984E8	
sp|F1QGW6|IF2G_DANRE	F1QGW6	IF2G_DANRE	eif2s3	472	Danio rerio	3:Protein inferred from homology	Eukaryotic translation initiation factor 2 subunit 3	1.0	0.999	9	35	35	35	3	10	4	6	7	5	3	10	4	6	7	5	3	10	4	6	7	5	3.25167456E8	2.97549856E8	1.22448272E8	4.5539616E8	1.56524752E8	2.9470016E8	1.29639272E8	1.36551216E8	1.06541776E8	1.5493536E8	1.2252328E8	1.30123424E8	
sp|F1QLR3|FXR1_DANRE	F1QLR3	FXR1_DANRE	fxr1	622	Danio rerio	1:Experimental evidence at protein level	RNA-binding protein FXR1	1.0	0.999	5	15	15	15	2	3	1	4	2	3	2	3	1	4	2	3	2	3	1	4	2	3	6.923124E7	6.4217824E7	7.289288E7	2.1478768E8	1.4900326E7	1.00386304E8	6.4321356E7	5.9663488E7	6.7723312E7	9.3039408E7	6.9846584E7	9.3266896E7	
sp|F1QNV4|NU133_DANRE	F1QNV4	NU133_DANRE	nup133	1136	Danio rerio	2:Experimental evidence at transcript level	Nuclear pore complex protein Nup133	1.0	0.999	5	11	11	11	1	2	4	1	1	2	1	2	4	1	1	2	1	2	4	1	1	2	8534969.0	5.442306E7	8114918.0	4.9675696E7	3506966.8	1.3459006E7	1.5603748E7	1.5507883E7	1.4835805E7	1.6770003E7	0.0	2.460594E7	
sp|F1QUP1|RPZ_DANRE	F1QUP1	RPZ_DANRE	rpz	227	Danio rerio	1:Experimental evidence at protein level	Protein rapunzel	0.8616	0.9957	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|F1QWA8|SARM1_DANRE	F1QWA8	SARM1_DANRE	sarm1	713	Danio rerio	1:Experimental evidence at protein level	NAD(+) hydrolase SARM1	1.0	0.9989	3	10	10	10	2	1	3	2	1	1	2	1	3	2	1	1	2	1	3	2	1	1	2640566.8	0.0	1.1013896E7	4157210.5	0.0	1.1175437E7	3332722.5	0.0	5361100.0	5246914.5	0.0	8854624.0	
sp|F1QWM2|STYL2_DANRE	F1QWM2	STYL2_DANRE	styxl2	1100	Danio rerio	1:Experimental evidence at protein level	Serine/threonine/tyrosine-interacting-like protein 2	0.7494	0.991	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|F1QXM5|LDHD_DANRE	F1QXM5	LDHD_DANRE	ldhd	497	Danio rerio	2:Experimental evidence at transcript level	Probable D-lactate dehydrogenase, mitochondrial	1.0	0.9985	2	10	10	10	1	1	1	2	2	3	1	1	1	2	2	3	1	1	1	2	2	3	0.0	7.5297824E7	0.0	4.1028856E7	6.970932E7	8.6271416E7	0.0	7.5297824E7	0.0	4.1028856E7	6.970932E7	8.6271416E7	
sp|F1R2X6|PSM4B_DANRE	F1R2X6	PSM4B_DANRE	psme4b	1825	Danio rerio	3:Protein inferred from homology	Proteasome activator complex subunit 4B	1.0	0.9988	3	6	6	6	0	1	1	0	3	1	0	1	1	0	3	1	0	1	1	0	3	1	1.19668456E8	1.51719552E8	9186073.0	0.0	1.81201392E8	1.60884976E8	9.7978704E7	1.24220576E8	1.23668232E8	0.0	1.31828288E8	1.31724784E8	
sp|F1R4U0|TXTPB_DANRE	F1R4U0	TXTPB_DANRE	slc25a1b	317	Danio rerio	3:Protein inferred from homology	Tricarboxylate transport protein B, mitochondrial	1.0	0.9989	4	13	12	13	4	1	3	0	3	2	3	1	3	0	3	2	4	1	3	0	3	2	7.054184E7	2622428.5	4.9295436E7	0.0	2791931.5	977641.7	4.1455212E7	0.0	2.4272344E7	0.0	3049794.0	1067936.5	
sp|F1R520|CSTN1_DANRE	F1R520	CSTN1_DANRE	clstn1	954	Danio rerio	1:Experimental evidence at protein level	Calsyntenin-1	0.754	0.9912	1	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|F1RAX4|STRA6_DANRE	F1RAX4	STRA6_DANRE	stra6	670	Danio rerio	1:Experimental evidence at protein level	Receptor for retinol uptake stra6	0.9565	0.9988	1	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|F1RCR6|TRIPC_DANRE	F1RCR6	TRIPC_DANRE	trip12	2026	Danio rerio	3:Protein inferred from homology	E3 ubiquitin-protein ligase TRIP12	1.0	0.9967	4	5	5	5	0	2	1	1	0	1	0	2	1	1	0	1	0	2	1	1	0	1	0.0	2787539.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|F1RCY6|RENT1_DANRE	F1RCY6	RENT1_DANRE	upf1	1100	Danio rerio	2:Experimental evidence at transcript level	Regulator of nonsense transcripts 1	1.0	0.9879	4	14	14	14	2	2	3	2	2	3	2	2	3	2	2	3	2	2	3	2	2	3	3.3253744E7	0.0	4.8661968E7	3.2737092E7	3.0020418E7	3.6878668E7	3.3253744E7	0.0	4.8661968E7	3.2737092E7	3.0020418E7	3.6878668E7	
sp|F4ZGF2|COMTA_DANRE	F4ZGF2	COMTA_DANRE	comta	256	Danio rerio	1:Experimental evidence at protein level	Catechol O-methyltransferase A	0.9291	0.9979	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	6005361.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|F5HSE3|NIPLA_DANRE	F5HSE3	NIPLA_DANRE	nipbla	2381	Danio rerio	2:Experimental evidence at transcript level	Nipped-B-like protein A	1.0	0.9908	4	12	5	12	1	3	2	1	3	2	0	1	1	1	1	1	1	3	2	1	3	2	2.85359712E8	3.31182464E8	2.59933904E8	0.0	0.0	3.27955072E8	2.85359712E8	3.31182464E8	2.59933904E8	0.0	0.0	3.27955072E8	
sp|F6P3G4|PS11A_DANRE	F6P3G4	PS11A_DANRE	psmd11a	421	Danio rerio	2:Experimental evidence at transcript level	26S proteasome non-ATPase regulatory subunit 11A	1.0	0.999	13	31	31	56	6	5	5	4	6	5	6	5	5	4	6	5	10	10	9	7	10	10	1.92377552E8	9.9689856E7	1.23219384E8	1.38498496E8	9.2931536E7	1.58502496E8	7.8814008E7	7.1722896E7	4.7489428E7	8.0348904E7	6.635756E7	8.0233608E7	
sp|F8W2M8|TPP1_DANRE	F8W2M8	TPP1_DANRE	tpp1	557	Danio rerio	1:Experimental evidence at protein level	Tripeptidyl-peptidase 1	1.0	0.9985	3	5	5	5	1	0	1	1	0	2	1	0	1	1	0	2	1	0	1	1	0	2	0.0	0.0	1.4907595E7	0.0	0.0	5.3012772E7	0.0	0.0	1.4907595E7	0.0	0.0	5.3012772E7	
sp|O13168|TLE3B_DANRE	O13168	TLE3B_DANRE	tle3b	771	Danio rerio	1:Experimental evidence at protein level	Transducin-like enhancer protein 3-B	1.0	0.9986	3	4	1	4	0	1	2	0	1	0	0	1	0	0	0	0	0	1	2	0	1	0	1.9692318E7	4.1759692E7	3.6459596E7	0.0	3.808546E7	0.0	1.9692318E7	4.1759692E7	2.5158214E7	0.0	3.808546E7	0.0	
sp|O42182|FBLN1_DANRE	O42182	FBLN1_DANRE	fbln1	681	Danio rerio	2:Experimental evidence at transcript level	Fibulin-1	1.0	0.9988	3	10	10	10	1	1	1	2	2	3	1	1	1	2	2	3	1	1	1	2	2	3	3.0952136E7	2.0952276E7	1.3952805E7	7.6003696E7	4.6871972E7	1.0760848E8	3.4468388E7	2.3332516E7	1.5537884E7	3.1750234E7	5.2196764E7	5.0315584E7	
sp|O42248|GBLP_DANRE	O42248	GBLP_DANRE	gnb2l1	317	Danio rerio	1:Experimental evidence at protein level	Small ribosomal subunit protein RACK1	1.0	0.999	21	160	160	160	30	30	21	24	32	23	30	30	21	24	32	23	30	30	21	24	32	23	4.23973632E9	4.06838733E9	2.63096781E9	2.80738355E9	4.18093619E9	3.58345779E9	5.3843123E8	4.90572128E8	4.47457184E8	2.9272112E8	4.77140352E8	3.6542768E8	
