Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	C_1 Spectral Count	C_2 Spectral Count	C_3 Spectral Count	E_1 Spectral Count	E_2 Spectral Count	E_3 Spectral Count	Hp_1 Spectral Count	Hp_2 Spectral Count	Hp_3 Spectral Count	Mx_1 Spectral Count	Mx_2 Spectral Count	Mx_3 Spectral Count	T_1 Spectral Count	T_2 Spectral Count	T_3 Spectral Count	C_1 Unique Spectral Count	C_2 Unique Spectral Count	C_3 Unique Spectral Count	E_1 Unique Spectral Count	E_2 Unique Spectral Count	E_3 Unique Spectral Count	Hp_1 Unique Spectral Count	Hp_2 Unique Spectral Count	Hp_3 Unique Spectral Count	Mx_1 Unique Spectral Count	Mx_2 Unique Spectral Count	Mx_3 Unique Spectral Count	T_1 Unique Spectral Count	T_2 Unique Spectral Count	T_3 Unique Spectral Count	C_1 Total Spectral Count	C_2 Total Spectral Count	C_3 Total Spectral Count	E_1 Total Spectral Count	E_2 Total Spectral Count	E_3 Total Spectral Count	Hp_1 Total Spectral Count	Hp_2 Total Spectral Count	Hp_3 Total Spectral Count	Mx_1 Total Spectral Count	Mx_2 Total Spectral Count	Mx_3 Total Spectral Count	T_1 Total Spectral Count	T_2 Total Spectral Count	T_3 Total Spectral Count	C_1 Intensity	C_2 Intensity	C_3 Intensity	E_1 Intensity	E_2 Intensity	E_3 Intensity	Hp_1 Intensity	Hp_2 Intensity	Hp_3 Intensity	Mx_1 Intensity	Mx_2 Intensity	Mx_3 Intensity	T_1 Intensity	T_2 Intensity	T_3 Intensity	C_1 MaxLFQ Intensity	C_2 MaxLFQ Intensity	C_3 MaxLFQ Intensity	E_1 MaxLFQ Intensity	E_2 MaxLFQ Intensity	E_3 MaxLFQ Intensity	Hp_1 MaxLFQ Intensity	Hp_2 MaxLFQ Intensity	Hp_3 MaxLFQ Intensity	Mx_1 MaxLFQ Intensity	Mx_2 MaxLFQ Intensity	Mx_3 MaxLFQ Intensity	T_1 MaxLFQ Intensity	T_2 MaxLFQ Intensity	T_3 MaxLFQ Intensity	Indistinguishable Proteins
sp|Q0IIP8|CRP_DANRE	Q0IIP8	CRP_DANRE	crp	225	Danio rerio	1:Experimental evidence at protein level	C-reactive protein	0.9875	0.9916	2	6	6	6	1	0	2	0	0	1	1	0	0	0	0	1	0	0	0	1	0	2	0	0	1	1	0	0	0	0	1	0	0	0	1	0	2	0	0	1	1	0	0	0	0	1	0	0	0	3640830.2	0.0	6866961.0	0.0	0.0	3465676.2	2958490.0	0.0	0.0	0.0	0.0	2510611.2	0.0	0.0	0.0	3643534.2	0.0	3429653.5	0.0	0.0	3468250.2	2960687.2	0.0	0.0	0.0	0.0	2512476.0	0.0	0.0	0.0	
sp|Q0P3Z2|PTER_DANRE	Q0P3Z2	PTER_DANRE	pter	349	Danio rerio	2:Experimental evidence at transcript level	Phosphotriesterase-related protein	1.0	0.999	3	16	16	16	1	1	1	2	0	2	2	0	1	1	1	1	2	0	1	1	1	1	2	0	2	2	0	1	1	1	1	2	0	1	1	1	1	2	0	2	2	0	1	1	1	1	2	0	1	1.6241024E7	5401532.5	4746593.0	9785993.0	0.0	4420653.5	8189985.0	0.0	2719590.2	1.893951E7	2083001.8	4793985.5	3708603.5	0.0	1.676692E7	1.0506659E7	5862398.0	5151578.5	4385904.5	0.0	4797829.5	3404112.5	0.0	2951629.2	2.0555452E7	2260726.0	5203014.5	4025026.2	0.0	1.8197494E7	
sp|Q0P451|COA5_DANRE	Q0P451	COA5_DANRE	coa5	75	Danio rerio	3:Protein inferred from homology	Cytochrome c oxidase assembly factor 5	1.0	0.9985	2	23	23	23	3	2	2	0	2	1	0	1	1	1	3	2	1	2	2	3	2	2	0	2	1	0	1	1	1	3	2	1	2	2	3	2	2	0	2	1	0	1	1	1	3	2	1	2	2	1.952546E7	2.189002E7	2.841955E7	2.1318522E7	2.8803418E7	1.216299E7	0.0	8752021.0	1.3693346E7	1.3157757E7	2.7867646E7	2.9772108E7	1.2235947E7	3.242364E7	2.8621112E7	1.1084186E7	1.2675418E7	1.6716048E7	1.2257643E7	1.6962978E7	1.837548E7	0.0	1.3222291E7	1.296041E7	1.2453488E7	1.4188084E7	1.753386E7	1.1581018E7	1.8632812E7	1.5914944E7	
sp|Q0P4F7|ACSF2_DANRE	Q0P4F7	ACSF2_DANRE	acsf2	606	Danio rerio	2:Experimental evidence at transcript level	Medium-chain acyl-CoA ligase ACSF2, mitochondrial	1.0	0.999	5	19	19	19	1	2	1	2	0	3	2	1	1	0	0	2	2	0	2	1	2	1	2	0	3	2	1	1	0	0	2	2	0	2	1	2	1	2	0	3	2	1	1	0	0	2	2	0	2	1.1590969E7	2.661356E7	2.5065426E7	1.3545888E7	1.0543974E7	2.1064252E7	1.1163732E7	0.0	1.4646262E7	0.0	0.0	1.9815174E7	1.1652953E7	0.0	3.1083608E7	1.2883031E7	9057409.0	1.4884585E7	1.5055867E7	1.1719326E7	1.6713028E7	1.2408169E7	0.0	1.6278901E7	0.0	0.0	1.7811624E7	1.2951924E7	0.0	1.301558E7	
sp|Q0V947|T161A_DANRE	Q0V947	T161A_DANRE	tmem161a	495	Danio rerio	2:Experimental evidence at transcript level	Transmembrane protein 161A	0.6263	0.9906	1	5	5	5	0	0	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0	1	0	0	0.0	0.0	2469088.8	2938039.8	0.0	3433299.0	3128840.5	0.0	0.0	0.0	0.0	0.0	3674007.0	0.0	2892594.8	0.0	0.0	2469088.8	2938039.8	0.0	3433299.0	3128840.5	0.0	0.0	0.0	0.0	0.0	3674007.0	0.0	2892594.8	
sp|Q0VIA1|MED10_DANRE	Q0VIA1	MED10_DANRE	med10	134	Danio rerio	2:Experimental evidence at transcript level	Mediator of RNA polymerase II transcription subunit 10	0.3684	0.9735	1	2	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0	5079969.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3684826.5	0.0	5079969.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3684826.5	
sp|Q0VIL3|OTOMP_DANRE	Q0VIL3	OTOMP_DANRE	otomp	371	Danio rerio	2:Experimental evidence at transcript level	Otolith matrix protein 1	1.0	0.999	10	79	79	79	5	6	6	4	7	5	5	6	3	6	6	4	5	6	5	5	6	6	4	7	5	5	6	3	6	6	4	5	6	5	5	6	6	4	7	5	5	6	3	6	6	4	5	6	5	5.4417936E7	1.5143192E8	1.1248752E8	8.7593336E7	7.126456E7	8.4608336E7	2.5109948E7	6.1420984E7	1.2287475E7	9.0209768E7	7.3140736E7	7.8779608E7	9.510352E7	9.1389392E7	1.2645132E8	2.647378E7	3.7278996E7	2.6765192E7	2.233858E7	3.164026E7	2.6598172E7	1.1391846E7	2.555892E7	2.4987698E7	2.4606988E7	3.2233596E7	2.52923E7	2.1315434E7	4.8266768E7	2.853189E7	
sp|Q1JPX3|SYFA_DANRE	Q1JPX3	SYFA_DANRE	farsa	497	Danio rerio	2:Experimental evidence at transcript level	Phenylalanine--tRNA ligase alpha subunit	1.0	0.999	2	18	18	18	2	1	1	1	2	2	0	1	1	1	1	1	1	2	1	2	1	1	1	2	2	0	1	1	1	1	1	1	2	1	2	1	1	1	2	2	0	1	1	1	1	1	1	2	1	4887235.0	5697863.5	3825307.0	3068014.0	1.1072463E7	5588191.0	0.0	7957110.5	0.0	513035.4	9839750.0	4716477.5	2999212.8	8704309.0	2.8019108E7	2103423.5	5955417.0	3998217.8	3206693.8	8448400.0	4031048.5	0.0	8316786.0	0.0	536225.5	1.0284524E7	4929670.5	3134782.5	9097759.0	2.928562E7	
sp|Q1JPZ7|PRP39_DANRE	Q1JPZ7	PRP39_DANRE	prpf39	752	Danio rerio	2:Experimental evidence at transcript level	Pre-mRNA-processing factor 39	0.9382	0.999	1	6	6	6	1	0	0	0	0	0	0	0	0	1	1	0	1	2	0	1	0	0	0	0	0	0	0	0	1	1	0	1	2	0	1	0	0	0	0	0	0	0	0	1	1	0	1	2	0	3745712.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3914299.0	2457409.0	3745712.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3914299.0	2457409.0	
sp|Q1L8J7|YAP1_DANRE	Q1L8J7	YAP1_DANRE	yap1	442	Danio rerio	2:Experimental evidence at transcript level	Transcriptional coactivator YAP1	0.8784	0.9564	1	3	3	3	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q1L8L9|KAD2_DANRE	Q1L8L9	KAD2_DANRE	ak2	241	Danio rerio	2:Experimental evidence at transcript level	Adenylate kinase 2, mitochondrial	1.0	0.999	6	58	58	58	4	6	5	4	6	4	3	4	3	2	5	3	5	2	2	4	6	5	4	6	4	3	4	3	2	5	3	5	2	2	4	6	5	4	6	4	3	4	3	2	5	3	5	2	2	3.640292E7	1.19242816E8	7.4956352E7	2.2371212E7	8.2441864E7	5.2358136E7	9935335.0	2.5434442E7	2.781191E7	2.5986176E7	5.5309916E7	5.1777624E7	4.4452304E7	2.3641298E7	9.9153696E7	1.8179208E7	3.8025768E7	2.9595494E7	1.4826504E7	2.8767138E7	2.7635692E7	9340015.0	3.1881242E7	2.6145434E7	2.4429096E7	2.6849382E7	2.7365656E7	1.8864886E7	2.5669866E7	3.3674432E7	
sp|Q1L8P7|TSP3B_DANRE	Q1L8P7	TSP3B_DANRE	thbs3b	929	Danio rerio	3:Protein inferred from homology	Thrombospondin-3b	0.9983	0.9988	2	7	7	7	0	0	2	2	0	0	0	0	1	0	0	1	0	0	1	0	0	2	2	0	0	0	0	1	0	0	1	0	0	1	0	0	2	2	0	0	0	0	1	0	0	1	0	0	1	0.0	0.0	1.502323E7	7701510.0	0.0	0.0	0.0	0.0	3152974.5	0.0	0.0	2243575.0	0.0	0.0	4166331.2	0.0	0.0	5332548.5	2227966.8	0.0	0.0	0.0	0.0	5936946.5	0.0	0.0	4224577.5	0.0	0.0	7845064.0	
sp|Q1LUK1|MIC13_DANRE	Q1LUK1	MIC13_DANRE	micos13	111	Danio rerio	3:Protein inferred from homology	MICOS complex subunit MIC13	0.9937	0.9986	1	2	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0505177E7	0.0	0.0	7794474.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0505177E7	0.0	0.0	7794474.5	0.0	
sp|Q1LUT1|EDC4_DANRE	Q1LUT1	EDC4_DANRE	edc4	1384	Danio rerio	3:Protein inferred from homology	Enhancer of mRNA-decapping protein 4	0.8517	0.9972	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q1LV17|I2BP1_DANRE	Q1LV17	I2BP1_DANRE	irf2bp1	605	Danio rerio	2:Experimental evidence at transcript level	Interferon regulatory factor 2-binding protein 1	0.9999	0.994	3	4	4	4	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0.0	1.6489106E7	3.4141544E7	0.0	2.303099E7	3.7573368E7	0.0	0.0	3.794604E7	0.0	0.0	0.0	0.0	2.0206676E7	3.256293E7	0.0	1.6489106E7	3.4141544E7	0.0	2.303099E7	3.7573368E7	0.0	0.0	3.794604E7	0.0	0.0	0.0	0.0	2.0206676E7	3.256293E7	
sp|Q1LV50|CENPP_DANRE	Q1LV50	CENPP_DANRE	cenpp	282	Danio rerio	2:Experimental evidence at transcript level	Centromere protein P	0.3452	0.9707	1	7	7	7	1	1	1	0	1	0	1	0	0	0	1	0	1	0	0	1	1	1	0	1	0	1	0	0	0	1	0	1	0	0	1	1	1	0	1	0	1	0	0	0	1	0	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q1LVE8|SF3B3_DANRE	Q1LVE8	SF3B3_DANRE	sf3b3	1217	Danio rerio	2:Experimental evidence at transcript level	Splicing factor 3B subunit 3	1.0	0.9985	4	4	4	4	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0.0	0.0	0.0	1.5497345E7	0.0	0.0	6299841.5	0.0	0.0	1.54732992E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7329191.0	0.0	0.0	6299841.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q1LVF0|LAMC1_DANRE	Q1LVF0	LAMC1_DANRE	lamc1	1593	Danio rerio	2:Experimental evidence at transcript level	Laminin subunit gamma-1	1.0	0.999	70	739	739	739	47	47	43	52	41	49	51	44	52	83	44	44	46	46	50	47	47	43	52	41	49	51	44	52	83	44	44	46	46	50	47	47	43	52	41	49	51	44	52	83	44	44	46	46	50	3.14276608E9	4.07072026E9	3.61984154E9	2.96209587E9	2.64430387E9	3.07616077E9	2.75574349E9	2.53239117E9	2.63504179E9	5.7134469E9	2.2554793E9	3.0465129E9	2.70836992E9	2.61035546E9	5.5841551E9	2.82531104E8	2.34577504E8	3.23675744E8	2.56362256E8	2.36751008E8	2.96346624E8	2.48997184E8	2.56540944E8	3.04962176E8	2.92167136E8	2.22088576E8	2.9933856E8	2.60379952E8	2.54024672E8	2.99761696E8	
sp|Q1LY10|FSD1_DANRE	Q1LY10	FSD1_DANRE	fsd1	495	Danio rerio	3:Protein inferred from homology	Fibronectin type III and SPRY domain-containing protein 1	0.9408	0.999	1	4	4	4	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0.0	1.014478E7	0.0	0.0	2962055.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8781964.0	0.0	1.014478E7	0.0	0.0	2962055.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8781964.0	
sp|Q1LY46|LETM1_DANRE	Q1LY46	LETM1_DANRE	letm1	757	Danio rerio	3:Protein inferred from homology	Mitochondrial proton/calcium exchanger protein	1.0	0.999	3	14	14	14	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	4989984.0	1.7093136E7	1.6079493E7	4955261.0	2.016816E7	1.1422068E7	4620377.0	1.1028591E7	1.307923E7	3.0628548E7	5264033.0	1.1200439E7	0.0	8864736.0	1.0236514E7	4917072.0	1.1214594E7	1.0686813E7	4882856.0	1.2841607E7	1.1255172E7	4552865.5	1.0867445E7	1.288812E7	0.0	1.0209716E7	1.1036782E7	0.0	8735207.0	1.0086941E7	
sp|Q1LYB6|ATF1B_DANRE	Q1LYB6	ATF1B_DANRE	atp5if1b	107	Danio rerio	3:Protein inferred from homology	ATPase inhibitor B, mitochondrial	1.0	0.9989	3	18	18	18	1	1	2	2	1	2	0	2	0	1	1	0	2	2	1	1	1	2	2	1	2	0	2	0	1	1	0	2	2	1	1	1	2	2	1	2	0	2	0	1	1	0	2	2	1	1.9691878E7	1.29899832E8	8.0996736E7	3.1125216E7	1.468528E8	8.7896896E7	1.8189238E7	1.42297408E8	0.0	1.5216171E7	7175145.0	5.2325972E7	3.1286234E7	1.7136808E8	8.6596688E7	1.9691878E7	8.1840528E7	5.139624E7	1.9751956E7	9.3304904E7	5.573046E7	1.8189238E7	9.0429112E7	0.0	1.5216171E7	0.0	5.2325972E7	1.9873498E7	1.08041976E8	5.44443E7	
sp|Q1MTD3|MCES_DANRE	Q1MTD3	MCES_DANRE	rnmt	400	Danio rerio	3:Protein inferred from homology	mRNA cap guanine-N7 methyltransferase	0.8015	0.9961	1	3	3	3	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1.1905061E7	0.0	0.0	6644534.5	0.0	0.0	0.0	2276749.0	2392067.0	3337873.0	0.0	0.0	0.0	0.0	0.0	1.1905061E7	0.0	0.0	6644534.5	0.0	0.0	0.0	2276749.0	2392067.0	3337873.0	0.0	0.0	0.0	0.0	0.0	
sp|Q1MTI4|TPISA_DANRE	Q1MTI4	TPISA_DANRE	tpi1a	248	Danio rerio	2:Experimental evidence at transcript level	Triosephosphate isomerase A	1.0	0.999	8	24	24	71	2	1	3	3	2	1	1	1	1	1	1	1	3	2	1	2	1	3	3	2	1	1	1	1	1	1	1	3	2	1	5	4	6	7	5	4	5	4	4	5	4	4	5	5	4	1.4130018E7	1.780496E7	2.312544E7	2.0286738E7	2.8979798E7	7150377.5	7397560.5	6447425.0	7475844.0	1.0157611E7	7194965.5	1.5055096E7	1.887522E7	1.2375894E7	5628301.5	8071173.5	7873361.5	8034955.0	7846091.5	1.0691501E7	8556110.0	1.0240724E7	7714960.0	8945561.0	1.2154552E7	8609463.0	6252245.5	8130464.5	1.4808939E7	6734800.5	
sp|Q1RM09|BASP1_DANRE	Q1RM09	BASP1_DANRE	basp1	197	Danio rerio	2:Experimental evidence at transcript level	Brain acid soluble protein 1 homolog	1.0	0.999	13	163	163	163	13	12	8	13	10	9	15	10	9	12	10	11	11	12	8	13	12	8	13	10	9	15	10	9	12	10	11	11	12	8	13	12	8	13	10	9	15	10	9	12	10	11	11	12	8	9.0580832E8	8.452672E8	6.7698541E8	8.677161E8	6.0560429E8	4.84773984E8	8.0540653E8	6.5007667E8	4.27297408E8	5.9689958E8	8.3580915E8	6.2567366E8	6.3558106E8	1.07188838E9	5.2958416E8	2.17110848E8	1.70395312E8	1.43820272E8	1.74051456E8	2.06961216E8	1.25371384E8	1.96739232E8	1.68304896E8	1.13529768E8	1.39331072E8	1.97247296E8	1.3376052E8	1.92188512E8	2.37396544E8	1.10890616E8	
sp|Q29RB4|OLF3A_DANRE	Q29RB4	OLF3A_DANRE	olfml3a	390	Danio rerio	2:Experimental evidence at transcript level	Olfactomedin-like protein 3A	0.8992	0.9982	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q2L6K8|CNPY4_DANRE	Q2L6K8	CNPY4_DANRE	cnpy4	217	Danio rerio	2:Experimental evidence at transcript level	Protein canopy 4	1.0	0.999	3	13	13	13	0	1	0	1	1	1	0	2	1	0	2	1	1	0	2	0	1	0	1	1	1	0	2	1	0	2	1	1	0	2	0	1	0	1	1	1	0	2	1	0	2	1	1	0	2	0.0	9989012.0	0.0	1376018.8	4047805.2	1894599.5	0.0	5570116.5	3609039.5	0.0	1.0258978E7	2744975.5	1496435.9	0.0	4087978.5	0.0	8956840.0	0.0	1320984.9	3885913.2	1818825.0	0.0	3743742.0	0.0	0.0	5330264.0	2635190.2	1436585.9	0.0	3671568.8	
sp|Q2L6L1|CNPY1_DANRE	Q2L6L1	CNPY1_DANRE	cnpy1	187	Danio rerio	1:Experimental evidence at protein level	Protein canopy-1	1.0	0.999	3	22	22	22	1	2	1	2	2	1	2	2	0	2	1	1	2	1	2	1	2	1	2	2	1	2	2	0	2	1	1	2	1	2	1	2	1	2	2	1	2	2	0	2	1	1	2	1	2	2018913.5	2.7137128E7	0.0	6587999.0	8027178.5	2394589.5	4635692.0	5721960.0	0.0	2.0776444E7	4131636.2	3060455.0	3513411.5	1651447.5	3.676448E7	2206898.8	2.1495896E7	0.0	2882993.5	6329277.5	2617554.8	1618508.9	4523661.5	0.0	1.6095167E7	4516341.5	3345420.2	2726105.5	1805217.2	2.8966404E7	
sp|Q2TLY1|MACO2_DANRE	Q2TLY1	MACO2_DANRE	maco1b	699	Danio rerio	2:Experimental evidence at transcript level	Macoilin-2	0.9997	0.9974	2	7	0	7	0	1	1	0	0	2	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	1	0	1	1	0	0	0	0.0	4904207.5	2741353.5	0.0	1713829.2	3372397.2	0.0	0.0	2788290.8	0.0	4122119.2	2471201.5	0.0	0.0	5554197.5	0.0	4782546.5	2673347.5	0.0	5048095.5	2470770.0	0.0	0.0	2719120.2	0.0	4019860.0	2409897.2	0.0	0.0	5416412.0	
sp|Q2YDR3|IMPA3_DANRE	Q2YDR3	IMPA3_DANRE	bpnt2	341	Danio rerio	2:Experimental evidence at transcript level	Inositol monophosphatase 3	0.2495	0.9543	1	4	4	4	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0.0	0.0	1.7269284E7	0.0	0.0	2.2900716E7	0.0	0.0	0.0	0.0	9165435.0	2.1216018E7	0.0	0.0	0.0	0.0	0.0	1.7269284E7	0.0	0.0	2.2900716E7	0.0	0.0	0.0	0.0	9165435.0	2.1216018E7	0.0	0.0	0.0	
sp|Q32LQ4|BHMT1_DANRE	Q32LQ4	BHMT1_DANRE	bhmt	400	Danio rerio	2:Experimental evidence at transcript level	Betaine--homocysteine S-methyltransferase 1	1.0	0.999	14	156	156	156	12	9	10	15	7	10	14	7	11	13	9	8	12	9	10	12	9	10	15	7	10	14	7	11	13	9	8	12	9	10	12	9	10	15	7	10	14	7	11	13	9	8	12	9	10	1.18016614E9	3.40012192E8	6.9005274E8	1.2122752E9	4.45060224E8	6.8175949E8	8.3858208E8	3.21866112E8	5.8040128E8	8.8921421E8	3.30421088E8	6.5145869E8	1.22604544E9	4.48482912E8	5.7348736E8	2.30873968E8	8.3270904E7	1.42836192E8	2.288832E8	9.6193856E7	1.3527872E8	1.66456128E8	7.8082952E7	1.20302712E8	1.97446896E8	8.8118008E7	1.24450008E8	2.20627936E8	8.6483248E7	1.09319232E8	
sp|Q32LU1|MIRO2_DANRE	Q32LU1	MIRO2_DANRE	rhot2	617	Danio rerio	2:Experimental evidence at transcript level	Mitochondrial Rho GTPase 2	0.9347	0.9989	1	3	3	3	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q32LU7|PTCD3_DANRE	Q32LU7	PTCD3_DANRE	ptcd3	667	Danio rerio	2:Experimental evidence at transcript level	Small ribosomal subunit protein mS39	1.0	0.9989	3	17	17	17	0	2	1	1	2	1	0	3	2	0	1	1	1	1	1	0	2	1	1	2	1	0	3	2	0	1	1	1	1	1	0	2	1	1	2	1	0	3	2	0	1	1	1	1	1	5072479.5	1.6366614E7	9479087.0	5822954.5	3.1575958E7	9131354.0	0.0	4.2245272E7	8521406.0	0.0	1.0880176E7	1.423761E7	6449065.5	1.0750512E7	1.825477E7	6090332.5	1.6635308E7	9634707.0	5918551.0	1.801263E7	9281265.0	0.0	1.8395164E7	8661303.0	0.0	1.1058798E7	8016875.5	6554941.0	1.0927005E7	1.0335315E7	
sp|Q32PR0|T55BA_DANRE	Q32PR0	T55BA_DANRE	tmem55ba	270	Danio rerio	2:Experimental evidence at transcript level	Type I phosphatidylinositol 4,5-bisphosphate 4-phosphatase-A	0.9022	0.9983	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1253021.4	2802272.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1253021.4	2802272.2	0.0	0.0	sp|Q66I51|T55BB_DANRE
sp|Q3B7H1|GALD1_DANRE	Q3B7H1	GALD1_DANRE	gatd1	213	Danio rerio	2:Experimental evidence at transcript level	Glutamine amidotransferase-like class 1 domain-containing protein 1	1.0	0.999	5	16	16	16	1	2	0	2	1	0	1	0	0	3	0	1	2	0	3	1	2	0	2	1	0	1	0	0	3	0	1	2	0	3	1	2	0	2	1	0	1	0	0	3	0	1	2	0	3	5157208.5	1.8496578E7	0.0	9297140.0	0.0	0.0	5954579.5	0.0	0.0	1.0838204E7	0.0	5310076.5	8744826.0	0.0	3.0490466E7	7695342.0	7095642.0	0.0	7745342.0	0.0	0.0	8885141.0	0.0	0.0	2033196.9	0.0	7923444.5	5836217.0	0.0	6610249.0	
sp|Q498P2|RT35_DANRE	Q498P2	RT35_DANRE	mrps35	330	Danio rerio	2:Experimental evidence at transcript level	Small ribosomal subunit protein mS35	0.5037	0.9846	1	6	6	6	1	1	1	1	0	0	1	0	0	0	0	0	1	0	0	1	1	1	1	0	0	1	0	0	0	0	0	1	0	0	1	1	1	1	0	0	1	0	0	0	0	0	1	0	0	3304474.8	2771532.8	4484741.5	4714759.5	0.0	0.0	3264857.2	0.0	0.0	0.0	0.0	0.0	4826209.5	0.0	2660524.5	3304474.8	2771532.8	4484741.5	4714759.5	0.0	0.0	3264857.2	0.0	0.0	0.0	0.0	0.0	4826209.5	0.0	2660524.5	
