Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	5dpf_1 Spectral Count	5dpf_2 Spectral Count	5dpf_1 Unique Spectral Count	5dpf_2 Unique Spectral Count	5dpf_1 Total Spectral Count	5dpf_2 Total Spectral Count	5dpf_1 Intensity	5dpf_2 Intensity	Indistinguishable Proteins
sp|Q08BB5|CTL2A_DANRE	Q08BB5	CTL2A_DANRE	ctdspl2a	469	Danio rerio	2:Experimental evidence at transcript level	CTD small phosphatase-like protein 2-A	1.0	0.999	5	7	1	7	5	2	1	0	5	2	3.4308736E8	8.0314192E7	
sp|Q08BH5|RBM46_DANRE	Q08BH5	RBM46_DANRE	rbm46	510	Danio rerio	2:Experimental evidence at transcript level	Probable RNA-binding protein 46	0.962	0.9988	1	2	2	2	1	1	1	1	1	1	2.8601584E7	2.3675344E7	
sp|Q08BI9|MCU_DANRE	Q08BI9	MCU_DANRE	mcu	376	Danio rerio	1:Experimental evidence at protein level	Calcium uniporter protein, mitochondrial	1.0	0.999	7	17	17	17	8	9	8	9	8	9	7.4901357E8	4.90385664E8	
sp|Q08BJ2|KHDR2_DANRE	Q08BJ2	KHDR2_DANRE	khdrbs2	346	Danio rerio	2:Experimental evidence at transcript level	KH domain-containing, RNA-binding, signal transduction-associated protein 2	1.0	0.999	10	24	24	24	14	10	14	10	14	10	9.004629E9	8.6890797E8	
sp|Q08BL7|GLCTK_DANRE	Q08BL7	GLCTK_DANRE	glyctk	502	Danio rerio	2:Experimental evidence at transcript level	Glycerate kinase	1.0	0.999	11	19	19	19	12	7	12	7	12	7	2.52806352E8	3.1411232E8	
sp|Q08BV2|TYW5_DANRE	Q08BV2	TYW5_DANRE	tyw5	326	Danio rerio	2:Experimental evidence at transcript level	tRNA wybutosine-synthesizing protein 5	0.999	0.9988	3	4	4	4	3	1	3	1	3	1	3.14906656E8	4.1251296E7	
sp|Q08BY0|NDUF7_DANRE	Q08BY0	NDUF7_DANRE	ndufaf7	422	Danio rerio	2:Experimental evidence at transcript level	Protein arginine methyltransferase NDUFAF7, mitochondrial	1.0	0.999	4	8	8	8	4	4	4	4	4	4	5.962124E7	1.5460962E7	
sp|Q08BY1|MED17_DANRE	Q08BY1	MED17_DANRE	med17	643	Danio rerio	2:Experimental evidence at transcript level	Mediator of RNA polymerase II transcription subunit 17	0.9989	0.9983	2	3	3	3	2	1	2	1	2	1	4.3232136E7	6067496.5	
sp|Q08C33|ISOC1_DANRE	Q08C33	ISOC1_DANRE	isoc1	283	Danio rerio	2:Experimental evidence at transcript level	Isochorismatase domain-containing protein 1	1.0	0.999	9	62	62	62	31	31	31	31	31	31	6.9693778E9	4.6464E9	
sp|Q08C57|FDX2_DANRE	Q08C57	FDX2_DANRE	fdx2	195	Danio rerio	2:Experimental evidence at transcript level	Ferredoxin-2, mitochondrial	0.9999	0.9988	2	3	3	3	1	2	1	2	1	2	1.72209088E8	1.59675056E8	
sp|Q08C76|SSUH2_DANRE	Q08C76	SSUH2_DANRE	ssuh2	361	Danio rerio	2:Experimental evidence at transcript level	Protein SSUH2 homolog	1.0	0.999	15	114	114	114	63	51	63	51	63	51	1.06072637E10	7.5326254E9	
sp|Q08C92|TYW1_DANRE	Q08C92	TYW1_DANRE	tyw1	730	Danio rerio	2:Experimental evidence at transcript level	S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase TYW1	1.0	0.9963	4	7	7	7	4	3	4	3	4	3	1.36490752E8	3.96965504E8	
sp|Q08C93|ABD12_DANRE	Q08C93	ABD12_DANRE	abhd12	382	Danio rerio	2:Experimental evidence at transcript level	Lysophosphatidylserine lipase ABHD12	0.9259	0.9977	2	2	2	2	2	0	2	0	2	0	3.2671514E7	0.0	
sp|Q08CH3|MPND_DANRE	Q08CH3	MPND_DANRE	mpnd	458	Danio rerio	2:Experimental evidence at transcript level	MPN domain-containing protein	1.0	0.999	7	11	11	11	6	5	6	5	6	5	3.18870816E8	2.54372144E8	
sp|Q08CH8|ZTRF1_DANRE	Q08CH8	ZTRF1_DANRE	zftraf1	382	Danio rerio	2:Experimental evidence at transcript level	Zinc finger TRAF-type-containing protein 1	1.0	0.999	7	10	10	10	7	3	7	3	7	3	2.48586784E8	1.24774104E8	
sp|Q08CK1|ECSIT_DANRE	Q08CK1	ECSIT_DANRE	ecsit	452	Danio rerio	2:Experimental evidence at transcript level	Evolutionarily conserved signaling intermediate in Toll pathway, mitochondrial	0.8681	0.9956	2	2	2	2	1	1	1	1	1	1	3678334.0	4.39489152E8	
sp|Q08CK7|IF2B1_DANRE	Q08CK7	IF2B1_DANRE	igf2bp1	598	Danio rerio	1:Experimental evidence at protein level	Insulin-like growth factor 2 mRNA-binding protein 1	1.0	0.999	41	213	173	213	107	106	88	85	107	106	2.31779062E10	1.82908027E10	
sp|Q08CL8|CNO10_DANRE	Q08CL8	CNO10_DANRE	cnot10	624	Danio rerio	2:Experimental evidence at transcript level	CCR4-NOT transcription complex subunit 10	0.9996	0.999	3	5	5	5	2	3	2	3	2	3	1.8189364E7	5.1004432E7	
sp|Q08CN0|TPPC2_DANRE	Q08CN0	TPPC2_DANRE	trappc2	140	Danio rerio	2:Experimental evidence at transcript level	Trafficking protein particle complex subunit 2	0.9988	0.999	2	3	3	3	2	1	2	1	2	1	1.2172108E8	3.2748604E7	
sp|Q08CS6|MOXD2_DANRE	Q08CS6	MOXD2_DANRE	moxd2	572	Danio rerio	2:Experimental evidence at transcript level	DBH-like monooxygenase protein 2 homolog	0.4094	0.9594	1	1	1	1	1	0	1	0	1	0	0.0	0.0	
sp|Q0D285|TM141_DANRE	Q0D285	TM141_DANRE	tmem141	124	Danio rerio	2:Experimental evidence at transcript level	Transmembrane protein 141	0.3825	0.9548	1	1	1	1	1	0	1	0	1	0	5.339464E8	0.0	
sp|Q0E671|NEUAA_DANRE	Q0E671	NEUAA_DANRE	cmasa	430	Danio rerio	1:Experimental evidence at protein level	N-acylneuraminate cytidylyltransferase A	1.0	0.999	12	29	29	29	19	10	19	10	19	10	1.22677018E9	7.9285184E8	
sp|Q0IIP8|CRP_DANRE	Q0IIP8	CRP_DANRE	crp	225	Danio rerio	1:Experimental evidence at protein level	C-reactive protein	1.0	0.999	9	60	60	60	30	30	30	30	30	30	7.2074967E9	4.8130161E9	
sp|Q0P3W2|OLF3B_DANRE	Q0P3W2	OLF3B_DANRE	olfml3b	394	Danio rerio	2:Experimental evidence at transcript level	Olfactomedin-like protein 3B	0.9999	0.9986	3	5	5	5	3	2	3	2	3	2	1.25471752E8	4.4505396E7	
sp|Q0P3X8|LTOR4_DANRE	Q0P3X8	LTOR4_DANRE	lamtor4	99	Danio rerio	3:Protein inferred from homology	Ragulator complex protein LAMTOR4	1.0	0.9964	3	7	7	7	5	2	5	2	5	2	4.2271712E8	2.38942624E8	
sp|Q0P3Z2|PTER_DANRE	Q0P3Z2	PTER_DANRE	pter	349	Danio rerio	2:Experimental evidence at transcript level	Phosphotriesterase-related protein	1.0	0.999	20	91	91	91	50	41	50	41	50	41	8.5003126E9	5.8628884E9	
sp|Q0P424|ELP6_DANRE	Q0P424	ELP6_DANRE	elp6	264	Danio rerio	2:Experimental evidence at transcript level	Elongator complex protein 6	0.9999	0.9969	3	6	6	6	3	3	3	3	3	3	1.96776416E8	1.49495632E8	
sp|Q0P436|TM14C_DANRE	Q0P436	TM14C_DANRE	tmem14c	107	Danio rerio	3:Protein inferred from homology	Transmembrane protein 14C	0.9994	0.9989	2	4	4	4	3	1	3	1	3	1	5.0091876E7	2.588855E7	
sp|Q0P442|RNKB_DANRE	Q0P442	RNKB_DANRE	rnasekb	101	Danio rerio	3:Protein inferred from homology	Ribonuclease kappa-B	0.7877	0.9922	1	2	2	2	1	1	1	1	1	1	7.4636912E7	7.3322272E7	
sp|Q0P448|DPCD_DANRE	Q0P448	DPCD_DANRE	dpcd	200	Danio rerio	2:Experimental evidence at transcript level	Protein DPCD	0.5566	0.9772	1	1	1	1	1	0	1	0	1	0	6.9847088E7	0.0	
sp|Q0P451|COA5_DANRE	Q0P451	COA5_DANRE	coa5	75	Danio rerio	3:Protein inferred from homology	Cytochrome c oxidase assembly factor 5	1.0	0.9986	4	8	8	8	4	4	4	4	4	4	4.49585216E8	3.17380896E8	
sp|Q0P487|NB5R2_DANRE	Q0P487	NB5R2_DANRE	cyb5r2	309	Danio rerio	2:Experimental evidence at transcript level	NADH-cytochrome b5 reductase 2	1.0	0.999	12	29	29	29	18	11	18	11	18	11	1.43314726E9	6.9713299E8	
sp|Q0P499|SYEM_DANRE	Q0P499	SYEM_DANRE	ears2	503	Danio rerio	2:Experimental evidence at transcript level	Nondiscriminating glutamyl-tRNA synthetase EARS2, mitochondrial	0.8838	0.9962	1	1	1	1	1	0	1	0	1	0	6327587.0	0.0	
sp|Q0P4A4|NAT14_DANRE	Q0P4A4	NAT14_DANRE	nat14	280	Danio rerio	2:Experimental evidence at transcript level	Probable N-acetyltransferase 14	0.7287	0.9892	1	1	1	1	1	0	1	0	1	0	3.2623082E7	0.0	
sp|Q0P4F7|ACSF2_DANRE	Q0P4F7	ACSF2_DANRE	acsf2	606	Danio rerio	2:Experimental evidence at transcript level	Medium-chain acyl-CoA ligase ACSF2, mitochondrial	1.0	0.999	22	86	86	86	47	39	47	39	47	39	5.2796262E9	4.3454459E9	
sp|Q0V947|T161A_DANRE	Q0V947	T161A_DANRE	tmem161a	495	Danio rerio	2:Experimental evidence at transcript level	Transmembrane protein 161A	0.949	0.9984	1	1	1	1	1	0	1	0	1	0	842238.44	0.0	
sp|Q0VA82|MFSD8_DANRE	Q0VA82	MFSD8_DANRE	mfsd8	504	Danio rerio	2:Experimental evidence at transcript level	Major facilitator superfamily domain-containing protein 8	0.5616	0.9776	1	2	2	2	1	1	1	1	1	1	1.5862064E8	1.1331512E8	
sp|Q0VFV6|SELS_DANRE	Q0VFV6	SELS_DANRE	vimp	190	Danio rerio	2:Experimental evidence at transcript level	Selenoprotein S	0.9915	0.9971	2	4	4	4	2	2	2	2	2	2	3.642576E7	3.2148106E7	
sp|Q0VIL3|OTOMP_DANRE	Q0VIL3	OTOMP_DANRE	otomp	371	Danio rerio	2:Experimental evidence at transcript level	Otolith matrix protein 1	1.0	0.999	18	61	61	61	33	28	33	28	33	28	2.98938214E9	1.72188698E9	
sp|Q155U0|VPS51_DANRE	Q155U0	VPS51_DANRE	vps51	827	Danio rerio	2:Experimental evidence at transcript level	Vacuolar protein sorting-associated protein 51 homolog	1.0	0.9988	5	6	6	6	3	3	3	3	3	3	1.92664115E9	4.7516923E9	
sp|Q1AMT3|FAB1A_DANRE	Q1AMT3	FAB1A_DANRE	fabp1a	127	Danio rerio	2:Experimental evidence at transcript level	Fatty acid binding protein 1-A, liver	0.9537	0.9986	1	2	2	2	1	1	1	1	1	1	4.9005344E7	1.16384264E8	
sp|Q1ECZ4|CASC3_DANRE	Q1ECZ4	CASC3_DANRE	casc3	754	Danio rerio	1:Experimental evidence at protein level	Protein CASC3	0.9997	0.9973	3	4	4	4	3	1	3	1	3	1	8.6392064E7	3.9776988E7	
sp|Q1ED21|NR2CA_DANRE	Q1ED21	NR2CA_DANRE	nr2c2ap	141	Danio rerio	2:Experimental evidence at transcript level	Nuclear receptor 2C2-associated protein	1.0	0.999	6	8	8	8	5	3	5	3	5	3	2.36758816E8	1.44602912E8	
sp|Q1JPX3|SYFA_DANRE	Q1JPX3	SYFA_DANRE	farsa	497	Danio rerio	2:Experimental evidence at transcript level	Phenylalanine--tRNA ligase alpha subunit	1.0	0.999	20	69	69	69	40	29	40	29	40	29	2.7033687E9	1.58422182E9	
sp|Q1JPY4|TBPL2_DANRE	Q1JPY4	TBPL2_DANRE	tbpl2	312	Danio rerio	1:Experimental evidence at protein level	TATA box-binding protein-like 2	1.0	0.9988	2	4	0	4	3	1	0	0	3	1	1.0541704E8	1.6769709E7	sp|Q7SXL3|TBP_DANRE
sp|Q1JPY5|CYP51_DANRE	Q1JPY5	CYP51_DANRE	cyp51	499	Danio rerio	1:Experimental evidence at protein level	Lanosterol 14-alpha demethylase	0.872	0.9957	1	1	1	1	1	0	1	0	1	0	3.0501188E7	0.0	
sp|Q1JPY8|PSPC1_DANRE	Q1JPY8	PSPC1_DANRE	pspc1	512	Danio rerio	2:Experimental evidence at transcript level	Paraspeckle component 1	1.0	0.999	14	38	38	38	22	16	22	16	22	16	4.6294426E9	4.0784768E9	
sp|Q1JPZ3|SRC_DANRE	Q1JPZ3	SRC_DANRE	src	534	Danio rerio	1:Experimental evidence at protein level	Proto-oncogene tyrosine-protein kinase Src	1.0	0.999	12	11	11	25	7	4	7	4	14	11	4.66536096E8	3.160448E8	
sp|Q1JPZ7|PRP39_DANRE	Q1JPZ7	PRP39_DANRE	prpf39	752	Danio rerio	2:Experimental evidence at transcript level	Pre-mRNA-processing factor 39	1.0	0.999	26	91	91	91	48	43	48	43	48	43	4.26315085E9	3.25460582E9	
sp|Q1L673|VDRB_DANRE	Q1L673	VDRB_DANRE	vdrb	422	Danio rerio	2:Experimental evidence at transcript level	Vitamin D3 receptor B	1.0	0.999	4	5	1	5	4	1	1	0	4	1	1.146564E8	2.9051674E7	
sp|Q1L8D2|MANEL_DANRE	Q1L8D2	MANEL_DANRE	maneal	442	Danio rerio	3:Protein inferred from homology	Glycoprotein endo-alpha-1,2-mannosidase-like protein	0.9228	0.9964	2	2	2	2	1	1	1	1	1	1	1.8591148E7	3.3715612E7	
sp|Q1L8F4|T178B_DANRE	Q1L8F4	T178B_DANRE	tmem178b	294	Danio rerio	2:Experimental evidence at transcript level	Transmembrane protein 178B	0.9539	0.9986	1	1	1	1	1	0	1	0	1	0	3.8252044E7	0.0	
sp|Q1L8G7|GATD1_DANRE	Q1L8G7	GATD1_DANRE	gatad1	242	Danio rerio	2:Experimental evidence at transcript level	GATA zinc finger domain-containing protein 1	0.967	0.999	1	1	1	1	1	0	1	0	1	0	2.1273314E7	0.0	
sp|Q1L8L9|KAD2_DANRE	Q1L8L9	KAD2_DANRE	ak2	241	Danio rerio	2:Experimental evidence at transcript level	Adenylate kinase 2, mitochondrial	1.0	0.999	21	178	178	178	97	81	97	81	97	81	1.33731287E10	1.01716419E10	
sp|Q1L8P7|TSP3B_DANRE	Q1L8P7	TSP3B_DANRE	thbs3b	929	Danio rerio	3:Protein inferred from homology	Thrombospondin-3b	1.0	0.999	7	11	11	13	5	6	5	6	6	7	2.6720512E8	1.78498208E8	
sp|Q1L8U8|STB1A_DANRE	Q1L8U8	STB1A_DANRE	setdb1a	1436	Danio rerio	3:Protein inferred from homology	Histone-lysine N-methyltransferase SETDB1-A	0.9938	0.9986	3	3	3	3	1	2	1	2	1	2	1.2980588E7	1.87037056E8	
sp|Q1L987|ATPF1_DANRE	Q1L987	ATPF1_DANRE	atpaf1	302	Danio rerio	2:Experimental evidence at transcript level	ATP synthase mitochondrial F1 complex assembly factor 1	1.0	0.999	4	7	7	7	5	2	5	2	5	2	3.46183808E8	8.7712144E7	
sp|Q1L994|PPR37_DANRE	Q1L994	PPR37_DANRE	ppp1r37	919	Danio rerio	2:Experimental evidence at transcript level	Protein phosphatase 1 regulatory subunit 37	0.9936	0.999	1	3	3	3	1	2	1	2	1	2	1.70034656E8	4.8225304E7	
sp|Q1LU93|ABITM_DANRE	Q1LU93	ABITM_DANRE	abitram	177	Danio rerio	2:Experimental evidence at transcript level	Protein Abitram	0.9893	0.999	2	3	3	3	2	1	2	1	2	1	4.5729892E7	3.7120848E7	
sp|Q1LU99|RIPR2_DANRE	Q1LU99	RIPR2_DANRE	ripor2	1083	Danio rerio	2:Experimental evidence at transcript level	Rho family-interacting cell polarization regulator 2	0.441	0.9641	2	4	4	4	2	2	2	2	2	2	1.4049392E8	3.317856E7	
sp|Q1LUA6|TRIO_DANRE	Q1LUA6	TRIO_DANRE	trio	3028	Danio rerio	3:Protein inferred from homology	Triple functional domain protein	1.0	0.999	11	12	12	12	11	1	11	1	11	1	1.97849936E8	9388589.0	
sp|Q1LUC1|5MP1_DANRE	Q1LUC1	5MP1_DANRE	bzw2	421	Danio rerio	2:Experimental evidence at transcript level	eIF5-mimic protein 1	1.0	0.999	8	5	5	22	3	2	3	2	11	11	1.36638528E8	1.53837504E8	
sp|Q1LUC3|KAT2B_DANRE	Q1LUC3	KAT2B_DANRE	kat2b	796	Danio rerio	2:Experimental evidence at transcript level	Histone acetyltransferase KAT2B	0.9895	0.9929	3	4	3	4	3	1	2	1	3	1	1.1745888E8	6.1299284E7	
sp|Q1LUI2|HDDC2_DANRE	Q1LUI2	HDDC2_DANRE	hddc2	200	Danio rerio	2:Experimental evidence at transcript level	5'-deoxynucleotidase HDDC2	1.0	0.999	8	24	24	24	14	10	14	10	14	10	6.8035034E8	3.95085472E8	
sp|Q1LUK1|MIC13_DANRE	Q1LUK1	MIC13_DANRE	micos13	111	Danio rerio	3:Protein inferred from homology	MICOS complex subunit MIC13	1.0	0.9986	3	5	5	5	4	1	4	1	4	1	2.32027456E8	2384637.2	
sp|Q1LUM3|ENDUC_DANRE	Q1LUM3	ENDUC_DANRE	endouc	309	Danio rerio	2:Experimental evidence at transcript level	Uridylate-specific endoribonuclease C	1.0	0.9936	7	7	7	7	5	2	5	2	5	2	1.15003984E8	6.5070276E7	
sp|Q1LUS8|RBP10_DANRE	Q1LUS8	RBP10_DANRE	ranbp10	604	Danio rerio	3:Protein inferred from homology	Ran-binding protein 10	0.9669	0.999	1	1	1	1	1	0	1	0	1	0	1.7795194E7	0.0	
sp|Q1LUT1|EDC4_DANRE	Q1LUT1	EDC4_DANRE	edc4	1384	Danio rerio	3:Protein inferred from homology	Enhancer of mRNA-decapping protein 4	1.0	0.999	21	53	53	53	27	26	27	26	27	26	2.28756864E9	2.02042022E9	
sp|Q1LV17|I2BP1_DANRE	Q1LV17	I2BP1_DANRE	irf2bp1	605	Danio rerio	2:Experimental evidence at transcript level	Interferon regulatory factor 2-binding protein 1	1.0	0.999	5	7	7	7	6	1	6	1	6	1	2.77737408E8	1.13770472E8	
sp|Q1LV46|ABHEA_DANRE	Q1LV46	ABHEA_DANRE	abhd14a	270	Danio rerio	2:Experimental evidence at transcript level	Protein ABHD14A	1.0	0.999	6	9	9	9	4	5	4	5	4	5	2.4824608E8	2.3111688E8	
sp|Q1LVE8|SF3B3_DANRE	Q1LVE8	SF3B3_DANRE	sf3b3	1217	Danio rerio	2:Experimental evidence at transcript level	Splicing factor 3B subunit 3	1.0	0.999	53	192	192	192	101	91	101	91	101	91	1.76763146E10	1.09565706E10	
sp|Q1LVF0|LAMC1_DANRE	Q1LVF0	LAMC1_DANRE	lamc1	1593	Danio rerio	2:Experimental evidence at transcript level	Laminin subunit gamma-1	1.0	0.999	78	323	323	323	169	154	169	154	169	154	2.81038131E10	1.91982469E10	
sp|Q1LVI2|YJEN3_DANRE	Q1LVI2	YJEN3_DANRE	yjefn3	246	Danio rerio	1:Experimental evidence at protein level	YjeF N-terminal domain-containing 3	1.0	0.999	8	29	29	29	16	13	16	13	16	13	1.05389504E9	3.01746406E9	
sp|Q1LVN8|SELO1_DANRE	Q1LVN8	SELO1_DANRE	selenoo1	692	Danio rerio	3:Protein inferred from homology	Protein adenylyltransferase SelO-1, mitochondrial	0.996	0.9888	4	4	4	4	2	2	2	2	2	2	3.34328224E8	4.38138176E8	
sp|Q1LVP6|ABRX1_DANRE	Q1LVP6	ABRX1_DANRE	abraxas1	391	Danio rerio	2:Experimental evidence at transcript level	BRCA1-A complex subunit Abraxas 1	0.8031	0.9929	1	1	1	1	0	1	0	1	0	1	0.0	1659170.0	
sp|Q1LW01|HE12_DANRE	Q1LW01	HE12_DANRE	he1.2	263	Danio rerio	1:Experimental evidence at protein level	Hatching enzyme 1.2	1.0	0.999	9	18	18	18	11	7	11	7	11	7	7.015335E8	4.38896448E8	
sp|Q1LWB0|TXB1A_DANRE	Q1LWB0	TXB1A_DANRE	tax1bp1a	781	Danio rerio	2:Experimental evidence at transcript level	Tax1-binding protein 1 homolog A	0.6477	0.9783	2	2	1	2	2	0	1	0	2	0	2.6914112E7	0.0	
sp|Q1LWC2|T106B_DANRE	Q1LWC2	T106B_DANRE	tmem106b	267	Danio rerio	3:Protein inferred from homology	Transmembrane protein 106B	0.9929	0.9981	2	3	3	3	1	2	1	2	1	2	3.2922668E7	5.499068E7	
sp|Q1LWJ6|ARPIN_DANRE	Q1LWJ6	ARPIN_DANRE	arpin	226	Danio rerio	2:Experimental evidence at transcript level	Arpin	0.4148	0.9602	1	1	1	1	1	0	1	0	1	0	4.0551976E7	0.0	
sp|Q1LWV4|LHX9_DANRE	Q1LWV4	LHX9_DANRE	lhx9	396	Danio rerio	2:Experimental evidence at transcript level	LIM/homeobox protein Lhx9	0.9509	0.9985	1	2	2	2	2	0	2	0	2	0	3.3897348E7	0.0	
sp|Q1LWV7|MEAK7_DANRE	Q1LWV7	MEAK7_DANRE	meak7	450	Danio rerio	2:Experimental evidence at transcript level	MTOR-associated protein MEAK7	0.8536	0.995	2	2	2	2	2	0	2	0	2	0	3.4439796E7	0.0	
sp|Q1LWX3|NTAQ1_DANRE	Q1LWX3	NTAQ1_DANRE	ntaq1	202	Danio rerio	2:Experimental evidence at transcript level	Protein N-terminal glutamine amidohydrolase	0.9249	0.9951	2	3	3	3	3	0	3	0	3	0	3.5555136E7	0.0	
sp|Q1LWZ0|CLXN_DANRE	Q1LWZ0	CLXN_DANRE	clxn	210	Danio rerio	2:Experimental evidence at transcript level	Calaxin	0.9642	0.9989	1	1	1	1	1	0	1	0	1	0	2.4426258E7	0.0	
sp|Q1LXC9|INT3_DANRE	Q1LXC9	INT3_DANRE	ints3	1017	Danio rerio	2:Experimental evidence at transcript level	Integrator complex subunit 3	1.0	0.9987	5	7	7	7	5	2	5	2	5	2	1.80588147E9	1.47922022E9	
sp|Q1LXE6|TT39C_DANRE	Q1LXE6	TT39C_DANRE	ttc39c	579	Danio rerio	2:Experimental evidence at transcript level	Tetratricopeptide repeat protein 39C	0.8963	0.9621	1	24	24	24	9	15	9	15	9	15	6.8033266E10	2.93626491E10	
sp|Q1LXK4|M10B1_DANRE	Q1LXK4	M10B1_DANRE	mov10b.1	1013	Danio rerio	2:Experimental evidence at transcript level	Putative helicase mov-10-B.1	1.0	0.999	12	17	13	17	9	8	7	6	9	8	4.04926848E8	2.23611552E8	
sp|Q1LXS2|PSMG2_DANRE	Q1LXS2	PSMG2_DANRE	psmg2	260	Danio rerio	2:Experimental evidence at transcript level	Proteasome assembly chaperone 2	1.0	0.9988	5	10	10	10	6	4	6	4	6	4	2.36864336E8	1.93045936E8	
sp|Q1LY10|FSD1_DANRE	Q1LY10	FSD1_DANRE	fsd1	495	Danio rerio	3:Protein inferred from homology	Fibronectin type III and SPRY domain-containing protein 1	1.0	0.999	6	7	7	7	4	3	4	3	4	3	1.12543696E8	3.55723648E8	
sp|Q1LY46|LETM1_DANRE	Q1LY46	LETM1_DANRE	letm1	757	Danio rerio	3:Protein inferred from homology	Mitochondrial proton/calcium exchanger protein	1.0	0.999	7	11	11	11	7	4	7	4	7	4	5.0745088E8	4.11285632E8	
sp|Q1LY51|ZN704_DANRE	Q1LY51	ZN704_DANRE	znf704	501	Danio rerio	3:Protein inferred from homology	Zinc finger protein 704	0.9382	0.9981	1	2	2	2	1	1	1	1	1	1	8.3067024E7	6.1606152E7	
sp|Q1LYB6|ATF1B_DANRE	Q1LYB6	ATF1B_DANRE	atp5if1b	107	Danio rerio	3:Protein inferred from homology	ATPase inhibitor B, mitochondrial	1.0	0.999	9	15	15	15	9	6	9	6	9	6	4.28548224E8	2.97788064E8	
sp|Q1LYE3|ZN143_DANRE	Q1LYE3	ZN143_DANRE	znf143	623	Danio rerio	2:Experimental evidence at transcript level	Zinc finger protein 143	0.9906	0.9924	3	3	3	3	3	0	3	0	3	0	5.0440228E7	0.0	
sp|Q1LYG0|SPD2A_DANRE	Q1LYG0	SPD2A_DANRE	sh3pxd2a	1119	Danio rerio	3:Protein inferred from homology	SH3 and PX domain-containing protein 2A	1.0	0.9984	5	13	13	13	8	5	8	5	8	5	3.55505888E8	1.23728909E9	
sp|Q1MTD3|MCES_DANRE	Q1MTD3	MCES_DANRE	rnmt	400	Danio rerio	3:Protein inferred from homology	mRNA cap guanine-N7 methyltransferase	1.0	0.999	14	52	52	52	28	24	28	24	28	24	2.9004096E9	2.01641843E9	
sp|Q1MTE5|ARL3_DANRE	Q1MTE5	ARL3_DANRE	arl3	182	Danio rerio	2:Experimental evidence at transcript level	ADP-ribosylation factor-like protein 3	1.0	0.999	9	33	33	33	18	15	18	15	18	15	3.07978368E9	1.91674342E9	
sp|Q1MTI4|TPISA_DANRE	Q1MTI4	TPISA_DANRE	tpi1a	248	Danio rerio	2:Experimental evidence at transcript level	Triosephosphate isomerase A	1.0	0.999	21	122	122	350	62	60	62	60	183	167	1.90514115E10	1.37196308E10	
sp|Q1RLX4|TPC11_DANRE	Q1RLX4	TPC11_DANRE	trappc11	1132	Danio rerio	2:Experimental evidence at transcript level	Trafficking protein particle complex subunit 11	1.0	0.999	4	4	4	4	4	0	4	0	4	0	2.75859264E8	0.0	
sp|Q1RLY6|KMO_DANRE	Q1RLY6	KMO_DANRE	kmo	474	Danio rerio	2:Experimental evidence at transcript level	Kynurenine 3-monooxygenase	1.0	0.999	13	25	25	25	16	9	16	9	16	9	7.8848576E8	2.92558752E8	
sp|Q1RM09|BASP1_DANRE	Q1RM09	BASP1_DANRE	basp1	197	Danio rerio	2:Experimental evidence at transcript level	Brain acid soluble protein 1 homolog	1.0	0.999	4	9	9	9	6	3	6	3	6	3	3.43311264E8	2.26112176E8	
sp|Q20JQ7|SC4AB_DANRE	Q20JQ7	SC4AB_DANRE	scn4ab	1784	Danio rerio	2:Experimental evidence at transcript level	Sodium channel protein type 4 subunit alpha B	0.7095	0.9881	1	1	1	1	1	0	1	0	1	0	0.0	0.0	
sp|Q29RB1|COG4_DANRE	Q29RB1	COG4_DANRE	cog4	781	Danio rerio	1:Experimental evidence at protein level	Conserved oligomeric Golgi complex subunit 4	0.9941	0.9989	3	4	4	4	3	1	3	1	3	1	7.69872E7	2.7156846E7	
sp|Q29RB4|OLF3A_DANRE	Q29RB4	OLF3A_DANRE	olfml3a	390	Danio rerio	2:Experimental evidence at transcript level	Olfactomedin-like protein 3A	1.0	0.999	4	15	15	15	9	6	9	6	9	6	5.33552352E8	1.99370928E8	
sp|Q2I6J1|SHP2A_DANRE	Q2I6J1	SHP2A_DANRE	inppl1a	1266	Danio rerio	2:Experimental evidence at transcript level	Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2A	0.966	0.999	1	2	2	2	1	1	1	1	1	1	0.0	8.638048E7	
sp|Q2L6K8|CNPY4_DANRE	Q2L6K8	CNPY4_DANRE	cnpy4	217	Danio rerio	2:Experimental evidence at transcript level	Protein canopy 4	1.0	0.999	9	19	19	19	11	8	11	8	11	8	9.3270022E8	7.2656678E8	
sp|Q2L6L1|CNPY1_DANRE	Q2L6L1	CNPY1_DANRE	cnpy1	187	Danio rerio	1:Experimental evidence at protein level	Protein canopy-1	1.0	0.999	8	20	20	20	13	7	13	7	13	7	1.25338317E9	8.2507514E8	
sp|Q2PW47|MED24_DANRE	Q2PW47	MED24_DANRE	med24	989	Danio rerio	2:Experimental evidence at transcript level	Mediator of RNA polymerase II transcription subunit 24	0.9995	0.9988	3	3	3	3	2	1	2	1	2	1	1.6578769E7	0.0	
