Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	6hpf Spectral Count	6hpf Unique Spectral Count	6hpf Total Spectral Count	6hpf Intensity	Indistinguishable Proteins
sp|A8WHR3|YJU2_DANRE	A8WHR3	YJU2_DANRE	yju2	345	Danio rerio	1:Experimental evidence at protein level	Splicing factor YJU2	1.0	0.999	8	12	12	12	12	12	12	1.33455654E9	
sp|A8Y5U1|RIMC1_DANRE	A8Y5U1	RIMC1_DANRE	rimoc1	276	Danio rerio	2:Experimental evidence at transcript level	RAB7A-interacting MON1-CCZ1 complex subunit 1	0.9998	0.9986	4	5	5	5	5	5	5	1.50086E8	
sp|A9C3N6|CSTOS_DANRE	A9C3N6	CSTOS_DANRE	custos	236	Danio rerio	2:Experimental evidence at transcript level	Protein CUSTOS	1.0	0.999	6	9	9	9	9	9	9	9.7586381E8	
sp|A9C3P0|MLEC_DANRE	A9C3P0	MLEC_DANRE	mlec	285	Danio rerio	3:Protein inferred from homology	Malectin	1.0	0.999	19	130	130	130	130	130	130	6.0363805E10	
sp|A9C3W3|KAZRA_DANRE	A9C3W3	KAZRA_DANRE	kazna	786	Danio rerio	3:Protein inferred from homology	Kazrin-A	1.0	0.9977	6	6	6	6	6	6	6	4.96710976E8	
sp|A9JR78|TONSL_DANRE	A9JR78	TONSL_DANRE	tonsl	1427	Danio rerio	2:Experimental evidence at transcript level	Tonsoku-like protein	1.0	0.9989	17	22	22	22	22	22	22	2.73462528E9	
sp|A9JR86|COQ4_DANRE	A9JR86	COQ4_DANRE	coq4	271	Danio rerio	2:Experimental evidence at transcript level	Ubiquinone biosynthesis protein COQ4 homolog, mitochondrial	1.0	0.999	5	17	17	17	17	17	17	2.30880435E9	
sp|A9JRA0|ST7L_DANRE	A9JRA0	ST7L_DANRE	st7l	540	Danio rerio	2:Experimental evidence at transcript level	Suppressor of tumorigenicity 7 protein-like	1.0	0.999	10	17	4	17	17	4	17	4.481833E9	
sp|A9JRC7|PP4CB_DANRE	A9JRC7	PP4CB_DANRE	ppp4cb	307	Danio rerio	2:Experimental evidence at transcript level	Serine/threonine-protein phosphatase 4 catalytic subunit B	1.0	0.999	16	67	44	67	67	44	67	1.70946202E10	
sp|A9JRE2|MTNA_DANRE	A9JRE2	MTNA_DANRE	mri1	353	Danio rerio	2:Experimental evidence at transcript level	Methylthioribose-1-phosphate isomerase	1.0	0.999	9	10	10	10	10	10	10	7.3491799E9	
sp|A9JRI0|HEAT6_DANRE	A9JRI0	HEAT6_DANRE	heatr6	1201	Danio rerio	2:Experimental evidence at transcript level	HEAT repeat-containing protein 6	0.9979	0.9986	2	2	2	2	2	2	2	1.26978784E8	
sp|A9JRZ0|SMUF2_DANRE	A9JRZ0	SMUF2_DANRE	smurf2	765	Danio rerio	2:Experimental evidence at transcript level	E3 ubiquitin-protein ligase SMURF2	1.0	0.999	25	39	39	39	39	39	39	3.44340326E9	
sp|A9JTH1|NCLDA_DANRE	A9JTH1	NCLDA_DANRE	ncalda	193	Danio rerio	2:Experimental evidence at transcript level	Neurocalcin-delta A	1.0	0.999	9	17	9	17	17	9	17	4.9716157E9	
sp|A9ULR9|BACD1_DANRE	A9ULR9	BACD1_DANRE	kctd13	330	Danio rerio	2:Experimental evidence at transcript level	BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 1	0.9969	0.9962	3	5	5	5	5	5	5	1.33344717E9	
sp|B0CLX4|VSI10_DANRE	B0CLX4	VSI10_DANRE	vsig10	529	Danio rerio	2:Experimental evidence at transcript level	V-set and immunoglobulin domain-containing protein 10	1.0	0.999	9	24	24	24	24	24	24	3.92404557E9	
sp|B0JZP3|THEM6_DANRE	B0JZP3	THEM6_DANRE	them6	202	Danio rerio	2:Experimental evidence at transcript level	Protein THEM6	0.9841	0.9722	3	7	7	7	7	7	7	5.6886328E9	
sp|B0R034|DOC11_DANRE	B0R034	DOC11_DANRE	dock11	2067	Danio rerio	3:Protein inferred from homology	Dedicator of cytokinesis protein 11	1.0	0.999	17	22	22	22	22	22	22	1.47670912E9	
sp|B0R061|SMRDA_DANRE	B0R061	SMRDA_DANRE	smarcad1a	972	Danio rerio	3:Protein inferred from homology	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1A	1.0	0.999	24	48	48	48	48	48	48	1.16415375E10	
sp|B0R0B1|ZNG1_DANRE	B0R0B1	ZNG1_DANRE	zng1	366	Danio rerio	2:Experimental evidence at transcript level	Zinc-regulated GTPase metalloprotein activator 1	1.0	0.999	13	20	20	20	20	20	20	3.92100813E9	
sp|B0R0D7|COR1C_DANRE	B0R0D7	COR1C_DANRE	coro1ca	474	Danio rerio	2:Experimental evidence at transcript level	Coronin-1C-A	1.0	0.999	27	124	124	124	124	124	124	9.7022657E10	
sp|B0R0I6|CHD8_DANRE	B0R0I6	CHD8_DANRE	chd8	2511	Danio rerio	3:Protein inferred from homology	Chromodomain-helicase-DNA-binding protein 8	1.0	0.999	52	99	99	99	99	99	99	1.48105595E10	
sp|B0R0T1|VWA8_DANRE	B0R0T1	VWA8_DANRE	vwa8	1896	Danio rerio	3:Protein inferred from homology	von Willebrand factor A domain-containing protein 8	1.0	0.999	92	191	191	191	191	191	191	4.8524603E10	
sp|B0R0W9|TBC8B_DANRE	B0R0W9	TBC8B_DANRE	tbc1d8b	1108	Danio rerio	1:Experimental evidence at protein level	TBC1 domain family member 8B	1.0	0.999	34	69	69	69	69	69	69	1.97649777E10	
sp|B0R160|LRWD1_DANRE	B0R160	LRWD1_DANRE	lrwd1	763	Danio rerio	1:Experimental evidence at protein level	Leucine-rich repeat and WD repeat-containing protein 1	1.0	0.999	36	109	109	109	109	109	109	4.5543301E10	
sp|B0R1D5|SZ12B_DANRE	B0R1D5	SZ12B_DANRE	suz12b	682	Danio rerio	2:Experimental evidence at transcript level	Polycomb protein suz12-B	1.0	0.9988	8	7	7	11	7	7	11	2.30179482E9	
sp|B0S5N4|PLXA3_DANRE	B0S5N4	PLXA3_DANRE	plxna3	1892	Danio rerio	2:Experimental evidence at transcript level	Plexin A3	1.0	0.999	54	96	83	96	96	83	96	1.6600234E10	
sp|B0S6C5|RTSTL_DANRE	B0S6C5	RTSTL_DANRE	retsatl	604	Danio rerio	1:Experimental evidence at protein level	Inactive all-trans-retinol 13,14-reductase	1.0	0.999	63	3292	3292	3292	3292	3292	3292	2.76598358E12	
sp|B0S6J3|SRGP2_DANRE	B0S6J3	SRGP2_DANRE	srgap2	1100	Danio rerio	2:Experimental evidence at transcript level	SLIT-ROBO Rho GTPase-activating protein 2	0.9995	0.999	3	4	4	4	4	4	4	1.86956042E10	
sp|B0S6R1|NCKP1_DANRE	B0S6R1	NCKP1_DANRE	nckap1	1128	Danio rerio	3:Protein inferred from homology	Nck-associated protein 1	1.0	0.999	33	60	60	60	60	60	60	2.27750298E10	
sp|B0S6T2|S15A2_DANRE	B0S6T2	S15A2_DANRE	slc15a2	719	Danio rerio	1:Experimental evidence at protein level	Solute carrier family 15 member 2	1.0	0.9959	4	5	5	5	5	5	5	7.420064E8	
sp|B0S6U7|ERAL1_DANRE	B0S6U7	ERAL1_DANRE	eral1	447	Danio rerio	2:Experimental evidence at transcript level	GTPase Era, mitochondrial	1.0	0.999	24	61	61	61	61	61	61	2.05706404E10	
sp|B0S8I0|GTPB8_DANRE	B0S8I0	GTPB8_DANRE	gtpbp8	286	Danio rerio	3:Protein inferred from homology	GTP-binding protein 8	1.0	0.9986	5	9	9	9	9	9	9	1.16859226E9	
sp|B0UXP9|IMDH2_DANRE	B0UXP9	IMDH2_DANRE	impdh2	514	Danio rerio	3:Protein inferred from homology	Inosine-5'-monophosphate dehydrogenase 2	1.0	0.999	34	156	148	156	156	148	156	8.7036191E10	
sp|B0UYH6|RPAP2_DANRE	B0UYH6	RPAP2_DANRE	rpap2	601	Danio rerio	3:Protein inferred from homology	Putative RNA polymerase II subunit B1 CTD phosphatase rpap2	1.0	0.999	12	15	15	15	15	15	15	1.67103565E9	
sp|B0UYT5|MFD6B_DANRE	B0UYT5	MFD6B_DANRE	mfsd6b	747	Danio rerio	3:Protein inferred from homology	Major facilitator superfamily domain-containing protein 6-B	0.5672	0.978	1	1	1	1	1	1	1	4.75929E7	
sp|B0V0U5|URB2_DANRE	B0V0U5	URB2_DANRE	urb2	1495	Danio rerio	2:Experimental evidence at transcript level	Unhealthy ribosome biogenesis protein 2 homolog	1.0	0.999	19	22	22	22	22	22	22	2.26895334E9	
sp|B0V207|FHI1B_DANRE	B0V207	FHI1B_DANRE	fhip1b	1124	Danio rerio	3:Protein inferred from homology	FHF complex subunit HOOK-interacting protein 1B	0.9984	0.9962	3	4	4	4	4	4	4	3.0460736E8	
sp|B0V2S2|DCR1B_DANRE	B0V2S2	DCR1B_DANRE	dclre1b	571	Danio rerio	2:Experimental evidence at transcript level	5' exonuclease Apollo	0.9987	0.9978	4	5	5	5	5	5	5	9.0774568E7	
sp|B0V3F8|PRKRA_DANRE	B0V3F8	PRKRA_DANRE	prkra	282	Danio rerio	2:Experimental evidence at transcript level	Interferon-inducible double-stranded RNA-dependent protein kinase activator A homolog	1.0	0.999	14	70	70	70	70	70	70	2.36907971E10	
sp|B1H1H3|ZDH21_DANRE	B1H1H3	ZDH21_DANRE	zdhhc21	263	Danio rerio	2:Experimental evidence at transcript level	Palmitoyltransferase ZDHHC21	1.0	0.9979	4	15	15	15	15	15	15	1.0079392E9	
sp|B2ZFP3|SMAL1_DANRE	B2ZFP3	SMAL1_DANRE	smarcal1	807	Danio rerio	2:Experimental evidence at transcript level	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1	1.0	0.999	23	34	34	34	34	34	34	3.7652137E9	
sp|B3DFP2|UQCC3_DANRE	B3DFP2	UQCC3_DANRE	uqcc3	78	Danio rerio	3:Protein inferred from homology	Ubiquinol-cytochrome-c reductase complex assembly factor 3	1.0	0.9986	3	29	29	29	29	29	29	9.735766E10	
sp|B3DFV0|LYRM9_DANRE	B3DFV0	LYRM9_DANRE	lyrm9	78	Danio rerio	3:Protein inferred from homology	LYR motif-containing protein 9	1.0	0.9989	5	22	22	22	22	22	22	1.29801431E10	
sp|B3DFW5|STMP1_DANRE	B3DFW5	STMP1_DANRE	stmp1	46	Danio rerio	2:Experimental evidence at transcript level	Short transmembrane mitochondrial protein 1	0.8592	0.9863	1	4	4	4	4	4	4	8.4893245E9	
sp|B3DHU2|TMM65_DANRE	B3DHU2	TMM65_DANRE	tmem65	212	Danio rerio	1:Experimental evidence at protein level	Transmembrane protein 65	1.0	0.9986	4	7	7	7	7	7	7	1.46177344E9	
sp|B3DI94|TM186_DANRE	B3DI94	TM186_DANRE	tmem186	228	Danio rerio	2:Experimental evidence at transcript level	Transmembrane protein 186	1.0	0.999	3	5	5	5	5	5	5	4.3397056E8	
sp|B3DIY3|MMS22_DANRE	B3DIY3	MMS22_DANRE	mms22l	1240	Danio rerio	2:Experimental evidence at transcript level	Protein MMS22-like	1.0	0.9971	5	5	5	5	5	5	5	1.77203904E9	
sp|B3DJK0|TM160_DANRE	B3DJK0	TM160_DANRE	tmem160	208	Danio rerio	2:Experimental evidence at transcript level	Transmembrane protein 160	1.0	0.999	4	15	15	15	15	15	15	8.1217275E9	
sp|B3DJT0|SART3_DANRE	B3DJT0	SART3_DANRE	sart3	951	Danio rerio	2:Experimental evidence at transcript level	Squamous cell carcinoma antigen recognized by T-cells 3	1.0	0.999	36	75	75	75	75	75	75	1.51679468E10	
sp|B3F211|IBP2B_DANRE	B3F211	IBP2B_DANRE	igfbp2b	265	Danio rerio	1:Experimental evidence at protein level	Insulin-like growth factor-binding protein 2-B	0.587	0.9797	1	1	1	1	1	1	1	1.17574392E8	
sp|B5DE31|YBOX1_DANRE	B5DE31	YBOX1_DANRE	ybx1	310	Danio rerio	1:Experimental evidence at protein level	Y-box-binding protein 1	1.0	0.999	23	162	162	162	162	162	162	1.26702707E11	
sp|B7ZC77|CTNA2_DANRE	B7ZC77	CTNA2_DANRE	Ctnna2	865	Danio rerio	3:Protein inferred from homology	Catenin alpha-2	1.0	0.9989	13	3	3	59	3	3	59	6.2319904E7	
sp|B8A4F4|TDRD9_DANRE	B8A4F4	TDRD9_DANRE	tdrd9	1342	Danio rerio	2:Experimental evidence at transcript level	ATP-dependent RNA helicase TDRD9	0.9984	0.9977	2	2	2	2	2	2	2	5.624622E7	
sp|B8A556|DNPH1_DANRE	B8A556	DNPH1_DANRE	dnph1	143	Danio rerio	3:Protein inferred from homology	5-hydroxymethyl-dUMP N-hydrolase	0.9988	0.9989	3	4	4	4	4	4	4	1.14339251E9	
sp|B8A5G9|TRM5_DANRE	B8A5G9	TRM5_DANRE	trmt5	480	Danio rerio	3:Protein inferred from homology	tRNA (guanine(37)-N1)-methyltransferase	1.0	0.999	29	65	65	65	65	65	65	1.07384033E10	
sp|B8A5I7|SSBP_DANRE	B8A5I7	SSBP_DANRE	ssbp1	146	Danio rerio	1:Experimental evidence at protein level	Single-stranded DNA-binding protein, mitochondrial	1.0	0.999	14	222	222	222	222	222	222	4.4728225E11	
sp|B8A5W4|DHRSX_DANRE	B8A5W4	DHRSX_DANRE	dhrsx	324	Danio rerio	3:Protein inferred from homology	Polyprenol dehydrogenase	1.0	0.9987	8	10	10	10	10	10	10	5.5620275E8	
sp|B8JJV5|SIM13_DANRE	B8JJV5	SIM13_DANRE	smim13	88	Danio rerio	3:Protein inferred from homology	Small integral membrane protein 13	0.8158	0.9886	2	6	6	6	6	6	6	2.45372877E9	
sp|B8JKD7|RPA2_DANRE	B8JKD7	RPA2_DANRE	polr1b	1132	Danio rerio	3:Protein inferred from homology	DNA-directed RNA polymerase I subunit RPA2	1.0	0.999	24	38	38	38	38	38	38	5.2107996E9	
sp|B8JKF4|STN1_DANRE	B8JKF4	STN1_DANRE	stn1	368	Danio rerio	2:Experimental evidence at transcript level	CST complex subunit STN1	0.9629	0.9985	2	2	2	2	2	2	2	1.23753544E8	
sp|B8JLQ0|LYRM4_DANRE	B8JLQ0	LYRM4_DANRE	lyrm4	89	Danio rerio	3:Protein inferred from homology	LYR motif-containing protein 4	1.0	0.9989	9	65	65	65	65	65	65	9.1520762E10	
sp|B8JLV7|VMA21_DANRE	B8JLV7	VMA21_DANRE	vma21	104	Danio rerio	3:Protein inferred from homology	Vacuolar ATPase assembly integral membrane protein vma21	1.0	0.9988	2	10	10	10	10	10	10	3.96341325E9	
sp|B8JMH0|CAF17_DANRE	B8JMH0	CAF17_DANRE	iba57	354	Danio rerio	3:Protein inferred from homology	Putative transferase CAF17 homolog, mitochondrial	1.0	0.999	18	100	100	100	100	100	100	4.6751752E10	
sp|B8XY56|RNT2_DANRE	B8XY56	RNT2_DANRE	rnaset2	240	Danio rerio	2:Experimental evidence at transcript level	Ribonuclease T2	1.0	0.999	9	31	31	31	31	31	31	1.35986002E10	
sp|C5H5C4|NOT1A_DANRE	C5H5C4	NOT1A_DANRE	notum1a	500	Danio rerio	2:Experimental evidence at transcript level	Palmitoleoyl-protein carboxylesterase notum1a	1.0	0.999	10	12	12	12	12	12	12	7.5795955E8	
sp|C5J7W8|SMG1_DANRE	C5J7W8	SMG1_DANRE	smg1	3640	Danio rerio	2:Experimental evidence at transcript level	Serine/threonine-protein kinase SMG1	1.0	0.999	30	38	38	38	38	38	38	3.24686618E9	
sp|C6KFA3|AGRG6_DANRE	C6KFA3	AGRG6_DANRE	adgrg6	1185	Danio rerio	1:Experimental evidence at protein level	Adhesion G-protein coupled receptor G6	0.3971	0.9572	1	1	1	1	1	1	1	394892.56	
sp|E7EXZ6|UQCC6_DANRE	E7EXZ6	UQCC6_DANRE	uqcc6	65	Danio rerio	1:Experimental evidence at protein level	Ubiquinol-cytochrome-c reductase complex assembly factor 6	0.9419	0.9918	2	5	5	5	5	5	5	3.52527334E9	
sp|E7EY42|PTSS2_DANRE	E7EY42	PTSS2_DANRE	ptdss2	452	Danio rerio	3:Protein inferred from homology	Phosphatidylserine synthase 2	1.0	0.9986	6	19	19	19	19	19	19	4.20114253E9	
sp|E7EZF3|UHRF1_DANRE	E7EZF3	UHRF1_DANRE	uhrf1	776	Danio rerio	1:Experimental evidence at protein level	E3 ubiquitin-protein ligase UHRF1	1.0	0.999	43	181	181	181	181	181	181	8.2524152E10	
sp|E7F0W1|SMC5_DANRE	E7F0W1	SMC5_DANRE	smc5	1073	Danio rerio	3:Protein inferred from homology	Structural maintenance of chromosomes protein 5	1.0	0.999	14	16	16	16	16	16	16	9.7221681E10	
sp|E7F187|ARMC9_DANRE	E7F187	ARMC9_DANRE	armc9	817	Danio rerio	2:Experimental evidence at transcript level	LisH domain-containing protein ARMC9	1.0	0.999	10	11	11	17	11	11	17	6.8469312E8	
sp|E7F1H9|YTHD2_DANRE	E7F1H9	YTHD2_DANRE	ythdf2	613	Danio rerio	1:Experimental evidence at protein level	YTH domain-containing family protein 2	1.0	0.999	25	66	66	66	66	66	66	1.87263918E10	
sp|E7F1U2|DNMBP_DANRE	E7F1U2	DNMBP_DANRE	dnmbp	1673	Danio rerio	2:Experimental evidence at transcript level	Dynamin-binding protein	1.0	0.9931	6	8	8	8	8	8	8	3.40739072E9	
sp|E7F211|TTC17_DANRE	E7F211	TTC17_DANRE	ttc17	1198	Danio rerio	3:Protein inferred from homology	Tetratricopeptide repeat protein 17	1.0	0.999	26	41	41	41	41	41	41	5.2416128E9	
sp|E7F221|FRMD8_DANRE	E7F221	FRMD8_DANRE	frmd8	471	Danio rerio	2:Experimental evidence at transcript level	FERM domain-containing protein 8	1.0	0.999	8	14	14	14	14	14	14	1.91780826E9	
sp|E7F240|TPC14_DANRE	E7F240	TPC14_DANRE	trappc14	595	Danio rerio	3:Protein inferred from homology	Trafficking protein particle complex subunit 14	0.5808	0.9792	3	3	3	3	3	3	3	2.82109133E9	
sp|E7F3I6|CLP1_DANRE	E7F3I6	CLP1_DANRE	clp1	443	Danio rerio	1:Experimental evidence at protein level	Polyribonucleotide 5'-hydroxyl-kinase Clp1	1.0	0.999	14	20	20	20	20	20	20	2.42060442E9	
sp|E7F4V8|PEX2_DANRE	E7F4V8	PEX2_DANRE	pex2	312	Danio rerio	3:Protein inferred from homology	Peroxisome biogenesis factor 2	1.0	0.9944	6	7	7	7	7	7	7	1.53642125E9	
sp|E7F555|IFT43_DANRE	E7F555	IFT43_DANRE	ift43	208	Danio rerio	3:Protein inferred from homology	Intraflagellar transport protein 43 homolog	1.0	0.999	8	11	11	11	11	11	11	1.17357786E9	
sp|E7F587|ZD20B_DANRE	E7F587	ZD20B_DANRE	zdhhc20b	323	Danio rerio	3:Protein inferred from homology	Palmitoyltransferase ZDHHC20-B	0.9995	0.9982	5	6	4	6	6	4	6	5.11891008E8	
sp|E7F590|VPS41_DANRE	E7F590	VPS41_DANRE	vps41	854	Danio rerio	1:Experimental evidence at protein level	Vacuolar protein sorting-associated protein 41 homolog	1.0	0.999	18	22	22	22	22	22	22	2.06580142E10	
sp|E7F654|NOL9_DANRE	E7F654	NOL9_DANRE	nol9	713	Danio rerio	3:Protein inferred from homology	Polynucleotide 5'-hydroxyl-kinase NOL9	1.0	0.999	17	35	35	35	35	35	35	4.9264067E9	
sp|E7F6D7|ZDHC6_DANRE	E7F6D7	ZDHC6_DANRE	zdhhc6	412	Danio rerio	2:Experimental evidence at transcript level	Palmitoyltransferase ZDHHC6	1.0	0.999	6	9	9	9	9	9	9	9.1110349E8	
sp|E7F6F7|ABCB7_DANRE	E7F6F7	ABCB7_DANRE	abcb7	743	Danio rerio	3:Protein inferred from homology	Iron-sulfur clusters transporter ABCB7, mitochondrial	1.0	0.999	32	175	175	175	175	175	175	4.92551E10	
sp|E7F6H7|DCI2A_DANRE	E7F6H7	DCI2A_DANRE	dync1i2a	626	Danio rerio	3:Protein inferred from homology	Dynein, cytoplasmic 1, intermediate chain 2a	1.0	0.999	21	100	100	100	100	100	100	2.97839411E10	
sp|E7F6T8|UBP37_DANRE	E7F6T8	UBP37_DANRE	usp37	937	Danio rerio	2:Experimental evidence at transcript level	Ubiquitin carboxyl-terminal hydrolase 37	1.0	0.9985	12	14	14	14	14	14	14	5.5694659E9	
sp|E7F8F4|ASCC3_DANRE	E7F8F4	ASCC3_DANRE	ascc3	1534	Danio rerio	3:Protein inferred from homology	Activating signal cointegrator 1 complex subunit 3	1.0	0.999	43	67	67	67	67	67	67	5.9793539E10	
sp|E7F9L8|MYO1D_DANRE	E7F9L8	MYO1D_DANRE	myo1d	1004	Danio rerio	2:Experimental evidence at transcript level	Unconventional myosin-Id	1.0	0.999	25	41	41	41	41	41	41	6.4827459E9	
sp|E7F9T0|MICA1_DANRE	E7F9T0	MICA1_DANRE	mical1	1214	Danio rerio	3:Protein inferred from homology	[F-actin]-monooxygenase mical1	1.0	0.999	52	133	128	133	133	128	133	3.5128664E10	
sp|E7FA21|SMR8A_DANRE	E7FA21	SMR8A_DANRE	smcr8a	853	Danio rerio	3:Protein inferred from homology	Guanine nucleotide exchange protein smcr8a	1.0	0.999	6	10	10	10	10	10	10	6.4900378E8	
sp|E7FAG6|AMR1A_DANRE	E7FAG6	AMR1A_DANRE	ambra1a	1315	Danio rerio	2:Experimental evidence at transcript level	Activating molecule in BECN1-regulated autophagy protein 1A	0.6456	0.9841	3	2	2	3	2	2	3	7.8417808E7	
sp|E7FAM5|LIN41_DANRE	E7FAM5	LIN41_DANRE	trim71	824	Danio rerio	1:Experimental evidence at protein level	E3 ubiquitin-protein ligase TRIM71	1.0	0.999	25	34	34	34	34	34	34	4.04082202E9	
sp|E7FB98|UBIA1_DANRE	E7FB98	UBIA1_DANRE	ubiad1	336	Danio rerio	1:Experimental evidence at protein level	UbiA prenyltransferase domain-containing protein 1	0.4922	0.9705	1	1	1	1	1	1	1	2.88935392E8	
sp|E7FBU4|MMS19_DANRE	E7FBU4	MMS19_DANRE	mms19	1043	Danio rerio	3:Protein inferred from homology	MMS19 nucleotide excision repair protein homolog	1.0	0.999	33	73	73	73	73	73	73	1.75953818E10	
sp|E7FC72|EXOC7_DANRE	E7FC72	EXOC7_DANRE	exoc7	720	Danio rerio	3:Protein inferred from homology	Exocyst complex component 7	1.0	0.999	22	44	44	44	44	44	44	7.7537674E9	
sp|E7FE40|NEMP1_DANRE	E7FE40	NEMP1_DANRE	nemp1	446	Danio rerio	3:Protein inferred from homology	Nuclear envelope integral membrane protein 1	1.0	0.9977	6	10	10	10	10	10	10	3.63258266E9	
sp|E7FEV0|WDR81_DANRE	E7FEV0	WDR81_DANRE	wdr81	2065	Danio rerio	2:Experimental evidence at transcript level	WD repeat-containing protein 81	1.0	0.999	8	10	10	10	10	10	10	1.35036941E9	
sp|E7FGT5|FOCAD_DANRE	E7FGT5	FOCAD_DANRE	focad	1806	Danio rerio	3:Protein inferred from homology	Focadhesin	1.0	0.999	54	131	131	131	131	131	131	3.09860352E10	
sp|E7FGY2|GID8B_DANRE	E7FGY2	GID8B_DANRE	gid8b	229	Danio rerio	2:Experimental evidence at transcript level	Glucose-induced degradation protein 8-B homolog	1.0	0.999	11	20	2	20	20	2	20	2.2572631E9	
sp|E7FH11|ZD18A_DANRE	E7FH11	ZD18A_DANRE	zdhhc18a	467	Danio rerio	2:Experimental evidence at transcript level	Palmitoyltransferase ZDHHC18-A	1.0	0.9989	10	31	29	31	31	29	31	4.18753024E9	
sp|E7FH61|CNDG2_DANRE	E7FH61	CNDG2_DANRE	ncapg2	1140	Danio rerio	3:Protein inferred from homology	Condensin-2 complex subunit G2	1.0	0.999	21	37	37	37	37	37	37	5.0038129E9	
sp|E9QG68|UBP45_DANRE	E9QG68	UBP45_DANRE	usp45	803	Danio rerio	2:Experimental evidence at transcript level	Ubiquitin carboxyl-terminal hydrolase 45	1.0	0.999	11	12	12	12	12	12	12	1.8826633E9	
sp|E9QHE3|RN207_DANRE	E9QHE3	RN207_DANRE	rnf207b	634	Danio rerio	3:Protein inferred from homology	RING finger protein 207	0.4402	0.9639	1	1	1	1	1	1	1	1.11526656E8	
sp|E9QHT9|PERP_DANRE	E9QHT9	PERP_DANRE	perp	185	Danio rerio	2:Experimental evidence at transcript level	p53 apoptosis effector related to PMP-22	0.7325	0.9735	3	5	5	5	5	5	5	1.18110438E9	
sp|E9QI36|HARS1_DANRE	E9QI36	HARS1_DANRE	hars	513	Danio rerio	3:Protein inferred from homology	Histidine--tRNA ligase	1.0	0.999	40	226	200	226	226	200	226	1.24453913E11	
sp|E9QJ05|PT117_DANRE	E9QJ05	PT117_DANRE	pet117	80	Danio rerio	3:Protein inferred from homology	Protein PET117 homolog, mitochondrial	0.9901	0.9971	2	7	7	7	7	7	7	7.7647217E9	
sp|F1Q4S1|ATP9B_DANRE	F1Q4S1	ATP9B_DANRE	atp9b	1125	Danio rerio	3:Protein inferred from homology	Probable phospholipid-transporting ATPase IIB	1.0	0.999	36	88	88	88	88	88	88	1.51855124E10	
sp|F1Q506|SNXAA_DANRE	F1Q506	SNXAA_DANRE	snx10a	229	Danio rerio	1:Experimental evidence at protein level	Sorting nexin-10A	0.9619	0.9988	2	2	2	2	2	2	2	2.03883424E8	
sp|F1Q514|EXO5_DANRE	F1Q514	EXO5_DANRE	exo5	394	Danio rerio	3:Protein inferred from homology	Exonuclease V	0.7505	0.9903	1	1	1	1	1	1	1	2.435365E7	
sp|F1Q575|NNRD_DANRE	F1Q575	NNRD_DANRE	naxd	330	Danio rerio	3:Protein inferred from homology	ATP-dependent (S)-NAD(P)H-hydrate dehydratase	1.0	0.999	18	103	103	103	103	103	103	4.6669062E10	
sp|F1Q749|DKC1_DANRE	F1Q749	DKC1_DANRE	dkc1	506	Danio rerio	2:Experimental evidence at transcript level	H/ACA ribonucleoprotein complex subunit DKC1	1.0	0.999	27	107	107	107	107	107	107	3.4938712E10	
sp|F1Q7H8|ZD20A_DANRE	F1Q7H8	ZD20A_DANRE	zdhhc20a	357	Danio rerio	2:Experimental evidence at transcript level	Palmitoyltransferase ZDHHC20-A	0.8978	0.9886	2	2	2	2	2	2	2	3.99728512E8	
sp|F1Q8J0|RNPC3_DANRE	F1Q8J0	RNPC3_DANRE	rnpc3	505	Danio rerio	2:Experimental evidence at transcript level	RNA-binding region-containing protein 3	0.9951	0.9765	4	5	5	5	5	5	5	3.39245312E8	
sp|F1Q8W0|CATIN_DANRE	F1Q8W0	CATIN_DANRE	cactin	835	Danio rerio	2:Experimental evidence at transcript level	Splicing factor Cactin	1.0	0.999	15	21	21	21	21	21	21	3.05232742E9	
sp|F1Q8X5|FERM2_DANRE	F1Q8X5	FERM2_DANRE	fermt2	684	Danio rerio	2:Experimental evidence at transcript level	Fermitin family homolog 2	1.0	0.999	26	54	54	54	54	54	54	4.3167076E10	
sp|F1QAJ4|GATA_DANRE	F1QAJ4	GATA_DANRE	qrsl1	536	Danio rerio	2:Experimental evidence at transcript level	Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial	1.0	0.999	31	127	127	127	127	127	127	4.2066383E10	
sp|F1QAM1|ZDHC4_DANRE	F1QAM1	ZDHC4_DANRE	zdhhc4	345	Danio rerio	2:Experimental evidence at transcript level	Palmitoyltransferase ZDHHC4	1.0	0.999	5	11	11	11	11	11	11	1.88273178E9	
sp|F1QB30|AMFR_DANRE	F1QB30	AMFR_DANRE	amfra	620	Danio rerio	1:Experimental evidence at protein level	E3 ubiquitin-protein ligase AMFR	1.0	0.999	7	16	14	16	16	14	16	8.9976596E9	
