Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	E Spectral Count	L Spectral Count	E Unique Spectral Count	L Unique Spectral Count	E Total Spectral Count	L Total Spectral Count	E Intensity	L Intensity	Indistinguishable Proteins
sp|Q6IQM2|CYC_DANRE	Q6IQM2	CYC_DANRE	cyc	104	Danio rerio	3:Protein inferred from homology	Cytochrome c	1.0	0.999	5	18	17	18	0	18	0	17	0	18	0.0	2.0260585E9	
sp|Q6IQP3|CALUA_DANRE	Q6IQP3	CALUA_DANRE	calua	315	Danio rerio	2:Experimental evidence at transcript level	Calumenin-A	0.9999	0.9976	1	4	4	4	0	4	0	4	0	4	0.0	1.05063728E8	
sp|Q6NUW5|AN32E_DANRE	Q6NUW5	AN32E_DANRE	anp32e	250	Danio rerio	1:Experimental evidence at protein level	Acidic leucine-rich nuclear phosphoprotein 32 family member E	1.0	0.9975	3	6	6	6	0	6	0	6	0	6	0.0	5.18111712E8	
sp|Q6NUW9|FGGY_DANRE	Q6NUW9	FGGY_DANRE	fggy	545	Danio rerio	2:Experimental evidence at transcript level	FGGY carbohydrate kinase domain-containing protein	0.9052	0.9734	1	2	2	2	0	2	0	2	0	2	0.0	3.620212E7	
sp|Q6NWE0|CK054_DANRE	Q6NWE0	CK054_DANRE	zgc:85789	319	Danio rerio	2:Experimental evidence at transcript level	Ester hydrolase C11orf54 homolog	1.0	0.999	9	20	20	20	0	20	0	20	0	20	0.0	1.76623283E9	
sp|Q6NWF6|K2C8_DANRE	Q6NWF6	K2C8_DANRE	krt8	520	Danio rerio	1:Experimental evidence at protein level	Keratin, type II cytoskeletal 8	1.0	0.999	23	80	71	80	0	80	0	71	0	80	0.0	1.6615721E10	
sp|Q6NX89|IF5A1_DANRE	Q6NX89	IF5A1_DANRE	eif5a	155	Danio rerio	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 5A-1	1.0	0.9784	4	4	4	4	0	4	0	4	0	4	0.0	1.12015168E9	
sp|Q6NXA4|ILF3_DANRE	Q6NXA4	ILF3_DANRE	ilf3	833	Danio rerio	1:Experimental evidence at protein level	Interleukin enhancer-binding factor 3 homolog	0.9518	0.998	1	1	1	1	0	1	0	1	0	1	0.0	2.6226466E7	
sp|Q6NY77|HOGA1_DANRE	Q6NY77	HOGA1_DANRE	zgc:77082	324	Danio rerio	2:Experimental evidence at transcript level	4-hydroxy-2-oxoglutarate aldolase, mitochondrial	1.0	0.9987	5	15	15	15	0	15	0	15	0	15	0.0	4.58148864E8	
sp|Q6NYA0|SRS1B_DANRE	Q6NYA0	SRS1B_DANRE	srsf1b	245	Danio rerio	2:Experimental evidence at transcript level	Serine/arginine-rich splicing factor 1B	0.9986	0.9896	2	4	0	4	0	4	0	0	0	4	0.0	2.727449E7	sp|Q7SXP4|SRS1A_DANRE
sp|Q6NYG8|DPYD_DANRE	Q6NYG8	DPYD_DANRE	dpyd	1022	Danio rerio	2:Experimental evidence at transcript level	Dihydropyrimidine dehydrogenase [NADP(+)]	1.0	0.999	12	37	37	37	0	37	0	37	0	37	0.0	3.2744535E9	
sp|Q6NYL3|ECHP_DANRE	Q6NYL3	ECHP_DANRE	ehhadh	718	Danio rerio	2:Experimental evidence at transcript level	Peroxisomal bifunctional enzyme	0.9514	0.9823	1	1	1	1	0	1	0	1	0	1	0.0	7.8827888E7	
sp|Q6NYL5|ALAT2_DANRE	Q6NYL5	ALAT2_DANRE	gpt2l	549	Danio rerio	2:Experimental evidence at transcript level	Alanine aminotransferase 2-like	1.0	0.999	8	19	19	19	0	19	0	19	0	19	0.0	2.01401574E9	
sp|Q6NYS8|OST48_DANRE	Q6NYS8	OST48_DANRE	ddost	441	Danio rerio	2:Experimental evidence at transcript level	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit	1.0	0.9963	7	15	15	15	0	15	0	15	0	15	0.0	2.43075866E9	
sp|Q6NZ06|ILF2_DANRE	Q6NZ06	ILF2_DANRE	ilf2	387	Danio rerio	2:Experimental evidence at transcript level	Interleukin enhancer-binding factor 2 homolog	0.8943	0.9607	1	1	1	1	0	1	0	1	0	1	0.0	1.887792E8	
sp|Q6P0D9|CIAO1_DANRE	Q6P0D9	CIAO1_DANRE	ciao1	330	Danio rerio	2:Experimental evidence at transcript level	Probable cytosolic iron-sulfur protein assembly protein ciao1	0.5296	0.9666	1	1	1	1	0	1	0	1	0	1	0.0	4.5094644E7	
sp|Q6P0E5|DDRGK_DANRE	Q6P0E5	DDRGK_DANRE	ddrgk1	300	Danio rerio	2:Experimental evidence at transcript level	DDRGK domain-containing protein 1	0.9997	0.9977	1	2	2	2	0	2	0	2	0	2	0.0	1.1140636E7	
sp|Q6P0V6|RL8_DANRE	Q6P0V6	RL8_DANRE	rpl8	257	Danio rerio	1:Experimental evidence at protein level	Large ribosomal subunit protein uL2	0.9997	0.9927	1	1	1	1	0	1	0	1	0	1	0.0	5.07821472E8	
sp|Q6P3J5|EF2_DANRE	Q6P3J5	EF2_DANRE	eef2b	858	Danio rerio	1:Experimental evidence at protein level	Elongation factor 2b	1.0	0.999	46	305	305	305	4	301	4	301	4	301	2.6940012E7	9.0906853E10	
sp|Q6P5L3|RL19_DANRE	Q6P5L3	RL19_DANRE	rpl19	196	Danio rerio	1:Experimental evidence at protein level	Large ribosomal subunit protein eL19	0.9457	0.9978	1	1	1	1	0	1	0	1	0	1	0.0	1.10310488E8	
sp|Q6P5L8|HSDL2_DANRE	Q6P5L8	HSDL2_DANRE	hsdl2	415	Danio rerio	2:Experimental evidence at transcript level	Hydroxysteroid dehydrogenase-like protein 2	1.0	0.999	11	23	23	23	0	23	0	23	0	23	0.0	2.7023424E9	
sp|Q6P5M2|SKI8_DANRE	Q6P5M2	SKI8_DANRE	skic8	305	Danio rerio	2:Experimental evidence at transcript level	Superkiller complex protein 8	0.9717	0.9989	1	2	2	2	0	2	0	2	0	2	0.0	4644477.5	
sp|Q6P963|GLO2_DANRE	Q6P963	GLO2_DANRE	hagh	303	Danio rerio	2:Experimental evidence at transcript level	Hydroxyacylglutathione hydrolase, mitochondrial	1.0	0.999	7	23	23	23	0	23	0	23	0	23	0.0	1.62883584E9	
sp|Q6PBI5|RS25_DANRE	Q6PBI5	RS25_DANRE	rps25	124	Danio rerio	1:Experimental evidence at protein level	Small ribosomal subunit protein eS25	1.0	0.998	4	4	4	4	0	4	0	4	0	4	0.0	2.97271296E9	
sp|Q6PBP3|PXL2A_DANRE	Q6PBP3	PXL2A_DANRE	prxl2a	212	Danio rerio	2:Experimental evidence at transcript level	Peroxiredoxin-like 2A	0.9999	0.9973	2	6	6	6	0	6	0	6	0	6	0.0	5.1243264E8	
sp|Q6PBY1|RS3A_DANRE	Q6PBY1	RS3A_DANRE	rps3a	267	Danio rerio	1:Experimental evidence at protein level	Small ribosomal subunit protein eS1	1.0	0.9973	3	4	4	4	0	4	0	4	0	4	0.0	8.6220032E8	
sp|Q6PC14|RL23_DANRE	Q6PC14	RL23_DANRE	rpl23	140	Danio rerio	1:Experimental evidence at protein level	Large ribosomal subunit protein uL14	0.9721	0.9989	1	1	1	1	0	1	0	1	0	1	0.0	0.0	
sp|Q6PC69|RL10A_DANRE	Q6PC69	RL10A_DANRE	rpl10a	216	Danio rerio	2:Experimental evidence at transcript level	Large ribosomal subunit protein uL1	1.0	0.9985	4	4	4	4	0	4	0	4	0	4	0.0	1.1051287E9	
sp|Q6PE25|EF1G_DANRE	Q6PE25	EF1G_DANRE	eef1g	442	Danio rerio	2:Experimental evidence at transcript level	Elongation factor 1-gamma	1.0	0.999	15	59	59	59	0	59	0	59	0	59	0.0	1.36141517E10	
sp|Q6PEH1|ERD22_DANRE	Q6PEH1	ERD22_DANRE	kdelr2	212	Danio rerio	2:Experimental evidence at transcript level	ER lumen protein-retaining receptor 2	0.9872	0.997	1	1	1	1	0	1	0	1	0	1	0.0	0.0	
sp|Q6PFQ2|EIF3C_DANRE	Q6PFQ2	EIF3C_DANRE	eif3c	926	Danio rerio	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 3 subunit C	0.9623	0.9885	1	2	2	2	0	2	0	2	0	2	0.0	1.73209472E8	
sp|Q6PH19|GATM_DANRE	Q6PH19	GATM_DANRE	gatm	422	Danio rerio	2:Experimental evidence at transcript level	Glycine amidinotransferase, mitochondrial	1.0	0.9976	2	6	6	6	0	6	0	6	0	6	0.0	2.99574816E8	
sp|Q6PH57|GBB1_DANRE	Q6PH57	GBB1_DANRE	gnb1	340	Danio rerio	2:Experimental evidence at transcript level	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	1.0	0.9956	2	3	3	3	0	3	0	3	0	3	0.0	2.7088848E8	
sp|Q6PHD9|SBP1_DANRE	Q6PHD9	SBP1_DANRE	selenbp1	457	Danio rerio	2:Experimental evidence at transcript level	Methanethiol oxidase	1.0	0.9988	8	17	17	17	0	17	0	17	0	17	0.0	1.38057114E9	
sp|Q6PI20|H33_DANRE	Q6PI20	H33_DANRE	h3f3a	136	Danio rerio	2:Experimental evidence at transcript level	Histone H3.3	1.0	0.999	2	10	10	12	0	10	0	10	0	12	0.0	3.60675584E8	
sp|Q6PUF3|DHI1L_DANRE	Q6PUF3	DHI1L_DANRE	hsd11b1l	287	Danio rerio	2:Experimental evidence at transcript level	Hydroxysteroid 11-beta-dehydrogenase 1-like protein	1.0	0.9967	3	6	6	6	0	6	0	6	0	6	0.0	4.67182144E8	
sp|Q6Q415|RL36_DANRE	Q6Q415	RL36_DANRE	rpl36	105	Danio rerio	1:Experimental evidence at protein level	Large ribosomal subunit protein eL36	0.996	0.9695	2	2	2	2	0	2	0	2	0	2	0.0	3.04284672E8	
sp|Q6Q420|RS15A_DANRE	Q6Q420	RS15A_DANRE	rps15a	130	Danio rerio	1:Experimental evidence at protein level	Small ribosomal subunit protein uS8	1.0	0.9985	3	4	4	4	0	4	0	4	0	4	0.0	2.35267456E9	
sp|Q6QA33|DH12B_DANRE	Q6QA33	DH12B_DANRE	hsd17b12b	311	Danio rerio	2:Experimental evidence at transcript level	Very-long-chain 3-oxoacyl-CoA reductase-B	0.9998	0.9896	2	3	3	3	0	3	0	3	0	3	0.0	1.10412518E9	
sp|Q6TGS6|SYYC_DANRE	Q6TGS6	SYYC_DANRE	yars1	529	Danio rerio	2:Experimental evidence at transcript level	Tyrosine--tRNA ligase, cytoplasmic	1.0	0.9983	4	6	6	6	0	6	0	6	0	6	0.0	5.08670592E8	
sp|Q6TGZ5|HPPD_DANRE	Q6TGZ5	HPPD_DANRE	hpd	397	Danio rerio	2:Experimental evidence at transcript level	4-hydroxyphenylpyruvate dioxygenase	1.0	0.999	25	157	157	157	0	157	0	157	0	157	0.0	8.5526487E10	
sp|Q6TH15|EIF3D_DANRE	Q6TH15	EIF3D_DANRE	eif3d	552	Danio rerio	2:Experimental evidence at transcript level	Eukaryotic translation initiation factor 3 subunit D	1.0	0.9974	3	5	5	5	0	5	0	5	0	5	0.0	4.44693184E8	
sp|Q6TLF6|RGN_DANRE	Q6TLF6	RGN_DANRE	rgn	295	Danio rerio	2:Experimental evidence at transcript level	Regucalcin	1.0	0.9989	12	39	39	39	0	39	0	39	0	39	0.0	5.3324918E9	
sp|Q6VN46|MYG_DANRE	Q6VN46	MYG_DANRE	mb	147	Danio rerio	2:Experimental evidence at transcript level	Myoglobin	1.0	0.9974	5	14	14	14	0	14	0	14	0	14	0.0	1.79758413E9	
sp|Q71N41|GAMT_DANRE	Q71N41	GAMT_DANRE	gamt	234	Danio rerio	2:Experimental evidence at transcript level	Guanidinoacetate N-methyltransferase	1.0	0.999	5	24	24	24	0	24	0	24	0	24	0.0	9.4239478E9	
sp|Q7SX99|FUMH_DANRE	Q7SX99	FUMH_DANRE	fh	509	Danio rerio	2:Experimental evidence at transcript level	Fumarate hydratase, mitochondrial	1.0	0.9986	6	10	10	10	0	10	0	10	0	10	0.0	1.14925965E9	
sp|Q7SXK5|HUTI_DANRE	Q7SXK5	HUTI_DANRE	amdhd1	433	Danio rerio	2:Experimental evidence at transcript level	Probable imidazolonepropionase	1.0	0.9989	4	7	7	7	0	7	0	7	0	7	0.0	8.2068883E8	
sp|Q7SXP0|S22BB_DANRE	Q7SXP0	S22BB_DANRE	sec22bb	215	Danio rerio	2:Experimental evidence at transcript level	Vesicle-trafficking protein SEC22b-B	0.9986	0.9806	1	1	1	1	0	1	0	1	0	1	0.0	7.6767328E7	
sp|Q7SY23|AL4A1_DANRE	Q7SY23	AL4A1_DANRE	aldh4a1	556	Danio rerio	2:Experimental evidence at transcript level	Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial	1.0	0.999	13	42	42	42	0	42	0	42	0	42	0.0	2.82085325E9	
sp|Q7SYD5|SC31A_DANRE	Q7SYD5	SC31A_DANRE	sec31a	1254	Danio rerio	2:Experimental evidence at transcript level	Protein transport protein Sec31A	0.9999	0.9963	2	3	3	3	0	3	0	3	0	3	0.0	1.07135296E8	
sp|Q7SYK7|AATM_DANRE	Q7SYK7	AATM_DANRE	got2a	428	Danio rerio	2:Experimental evidence at transcript level	Aspartate aminotransferase, mitochondrial	1.0	0.999	14	50	50	50	0	50	0	50	0	50	0.0	1.01373635E10	
sp|Q7SZE5|SC23A_DANRE	Q7SZE5	SC23A_DANRE	sec23a	765	Danio rerio	2:Experimental evidence at transcript level	Protein transport protein Sec23A	0.9997	0.9859	2	3	3	3	0	3	0	3	0	3	0.0	8.3958984E7	
sp|Q7T2A5|EIF3L_DANRE	Q7T2A5	EIF3L_DANRE	eif3l	576	Danio rerio	2:Experimental evidence at transcript level	Eukaryotic translation initiation factor 3 subunit L	1.0	0.999	4	14	14	14	0	14	0	14	0	14	0.0	4.19521344E8	
sp|Q7T356|143BB_DANRE	Q7T356	143BB_DANRE	ywhabb	242	Danio rerio	2:Experimental evidence at transcript level	14-3-3 protein beta/alpha-B	1.0	0.999	14	21	18	48	0	21	0	18	1	47	0.0	2.15495475E9	
sp|Q7T3A4|RAB13_DANRE	Q7T3A4	RAB13_DANRE	rab13	200	Danio rerio	1:Experimental evidence at protein level	Ras-related protein Rab-13	0.7465	0.987	1	5	5	5	0	5	0	5	0	5	0.0	1.11667981E9	
sp|Q7T3H9|HYI_DANRE	Q7T3H9	HYI_DANRE	hyi	276	Danio rerio	2:Experimental evidence at transcript level	Putative hydroxypyruvate isomerase	1.0	0.999	5	13	13	13	0	13	0	13	0	13	0.0	2.39627187E9	
sp|Q7ZT42|SND1_DANRE	Q7ZT42	SND1_DANRE	snd1	897	Danio rerio	2:Experimental evidence at transcript level	Staphylococcal nuclease domain-containing protein 1	1.0	0.999	32	119	119	119	0	119	0	119	0	119	0.0	1.98480302E10	
sp|Q7ZTS4|K1C18_DANRE	Q7ZTS4	K1C18_DANRE	krt18	431	Danio rerio	1:Experimental evidence at protein level	Keratin, type I cytoskeletal 18	1.0	0.999	24	107	103	107	0	107	0	103	0	107	0.0	2.03796521E10	
sp|Q7ZTY4|RBBP7_DANRE	Q7ZTY4	RBBP7_DANRE	rbbp7	426	Danio rerio	2:Experimental evidence at transcript level	Histone-binding protein RBBP7	0.5248	0.9659	1	3	3	3	0	3	0	3	0	3	0.0	5.9292344E7	
sp|Q7ZU42|OLA1_DANRE	Q7ZU42	OLA1_DANRE	ola1	396	Danio rerio	2:Experimental evidence at transcript level	Obg-like ATPase 1	1.0	0.999	10	28	28	28	0	28	0	28	0	28	0.0	3.09237197E9	
sp|Q7ZU99|TERA_DANRE	Q7ZU99	TERA_DANRE	vcp	806	Danio rerio	1:Experimental evidence at protein level	Transitional endoplasmic reticulum ATPase	1.0	0.999	11	33	33	33	0	33	0	33	0	33	0.0	3.70968346E9	
sp|Q7ZUG0|RUXE_DANRE	Q7ZUG0	RUXE_DANRE	snrpe	92	Danio rerio	3:Protein inferred from homology	Small nuclear ribonucleoprotein E	0.5865	0.9733	1	2	2	2	0	2	0	2	0	2	0.0	2.24309792E8	
sp|Q7ZUG5|RS21_DANRE	Q7ZUG5	RS21_DANRE	rps21	81	Danio rerio	1:Experimental evidence at protein level	Small ribosomal subunit protein eS21	0.9998	0.9948	2	3	3	3	0	3	0	3	0	3	0.0	7.3586944E8	
sp|Q7ZUH1|RTRAF_DANRE	Q7ZUH1	RTRAF_DANRE	rtraf	242	Danio rerio	2:Experimental evidence at transcript level	RNA transcription, translation and transport factor protein	0.9956	0.9623	2	2	2	2	0	2	0	2	0	2	0.0	4.6963704E7	
sp|Q7ZUP0|AN32A_DANRE	Q7ZUP0	AN32A_DANRE	anp32a	254	Danio rerio	2:Experimental evidence at transcript level	Acidic leucine-rich nuclear phosphoprotein 32 family member A	0.9962	0.999	1	4	4	4	0	4	0	4	0	4	0.0	5.02542976E8	
sp|Q7ZUW2|HYOU1_DANRE	Q7ZUW2	HYOU1_DANRE	hyou1	980	Danio rerio	2:Experimental evidence at transcript level	Hypoxia up-regulated protein 1	1.0	0.9982	6	18	18	18	0	18	0	18	0	18	0.0	2.02753318E9	
sp|Q7ZUY3|H2AX_DANRE	Q7ZUY3	H2AX_DANRE	h2ax	142	Danio rerio	2:Experimental evidence at transcript level	Histone H2AX	1.0	0.999	4	21	18	21	0	21	0	18	0	21	0.0	1.47598356E10	
sp|Q7ZV55|EIF3I_DANRE	Q7ZV55	EIF3I_DANRE	eif3i	325	Danio rerio	2:Experimental evidence at transcript level	Eukaryotic translation initiation factor 3 subunit I	0.9999	0.9976	2	9	9	9	0	9	0	9	0	9	0.0	3.44287648E8	
sp|Q7ZV68|VPS29_DANRE	Q7ZV68	VPS29_DANRE	vps29	182	Danio rerio	2:Experimental evidence at transcript level	Vacuolar protein sorting-associated protein 29	0.9788	0.9913	1	2	2	2	0	2	0	2	0	2	0.0	5.035814E7	
sp|Q7ZV96|RL10_DANRE	Q7ZV96	RL10_DANRE	rpl10	215	Danio rerio	1:Experimental evidence at protein level	Large ribosomal subunit protein uL16	0.9609	0.9694	1	1	1	1	0	1	0	1	0	1	0.0	2.1539974E7	
sp|Q7ZVA6|IF4A3_DANRE	Q7ZVA6	IF4A3_DANRE	eif4a3	406	Danio rerio	2:Experimental evidence at transcript level	Eukaryotic initiation factor 4A-III	1.0	0.9983	3	6	6	6	0	6	0	6	0	6	0.0	7.3909894E8	
sp|Q7ZVB2|A9A1A_DANRE	Q7ZVB2	A9A1A_DANRE	aldh9a1a	508	Danio rerio	2:Experimental evidence at transcript level	4-trimethylaminobutyraldehyde dehydrogenase A	1.0	0.9979	4	7	5	7	0	7	0	5	0	7	0.0	6.7115085E8	
sp|Q7ZVE0|GAR1_DANRE	Q7ZVE0	GAR1_DANRE	gar1	226	Danio rerio	2:Experimental evidence at transcript level	H/ACA ribonucleoprotein complex subunit 1	0.9994	0.9954	2	2	2	2	0	2	0	2	0	2	0.0	4.2563008E8	
sp|Q7ZVF3|SDHA_DANRE	Q7ZVF3	SDHA_DANRE	sdha	661	Danio rerio	2:Experimental evidence at transcript level	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial	0.9994	0.9855	2	3	3	3	0	3	0	3	0	3	0.0	5.319628E7	
sp|Q7ZVF9|ACTB2_DANRE	Q7ZVF9	ACTB2_DANRE	actbb	375	Danio rerio	1:Experimental evidence at protein level	Actin, cytoplasmic 2	1.0	0.999	15	105	2	105	20	85	0	2	20	85	3.06141312E9	3.42230692E10	
sp|Q7ZVK3|SIR2_DANRE	Q7ZVK3	SIR2_DANRE	sirt2	379	Danio rerio	1:Experimental evidence at protein level	NAD-dependent protein deacetylase sirtuin-2	0.7612	0.9879	1	1	1	1	0	1	0	1	0	1	0.0	7.8909048E7	
sp|Q7ZVN5|SRP54_DANRE	Q7ZVN5	SRP54_DANRE	srp54	504	Danio rerio	2:Experimental evidence at transcript level	Signal recognition particle subunit SRP54	0.9698	0.9988	1	1	1	1	0	1	0	1	0	1	0.0	1.16701144E8	
sp|Q7ZVY5|CISY_DANRE	Q7ZVY5	CISY_DANRE	cs	468	Danio rerio	2:Experimental evidence at transcript level	Citrate synthase, mitochondrial	1.0	0.9885	4	5	5	5	0	5	0	5	0	5	0.0	8.4785446E8	
sp|Q7ZW02|CHPT1_DANRE	Q7ZW02	CHPT1_DANRE	chpt1	382	Danio rerio	2:Experimental evidence at transcript level	Cholinephosphotransferase 1	0.6003	0.9747	1	1	1	1	0	1	0	1	0	1	0.0	7.4252224E7	
sp|Q7ZWJ3|OSTC_DANRE	Q7ZWJ3	OSTC_DANRE	ostc	149	Danio rerio	2:Experimental evidence at transcript level	Oligosaccharyltransferase complex subunit ostc	0.9645	0.9986	1	4	4	4	0	4	0	4	0	4	0.0	1.85491312E8	
sp|Q7ZWJ4|RL18A_DANRE	Q7ZWJ4	RL18A_DANRE	rpl18a	176	Danio rerio	1:Experimental evidence at protein level	Large ribosomal subunit protein eL20	1.0	0.9928	3	3	3	3	0	3	0	3	0	3	0.0	5.7973024E8	
sp|Q7ZZ03|FUCM_DANRE	Q7ZZ03	FUCM_DANRE	fuom	153	Danio rerio	2:Experimental evidence at transcript level	Fucose mutarotase	1.0	0.999	2	12	12	12	0	12	0	12	0	12	0.0	6.7681766E8	
sp|Q802W2|A9A1B_DANRE	Q802W2	A9A1B_DANRE	aldh9a1b	518	Danio rerio	2:Experimental evidence at transcript level	4-trimethylaminobutyraldehyde dehydrogenase B	0.9999	0.9988	2	4	4	6	0	4	0	4	0	6	0.0	2.11045696E8	
sp|Q803F5|APMAP_DANRE	Q803F5	APMAP_DANRE	apmap	415	Danio rerio	2:Experimental evidence at transcript level	Adipocyte plasma membrane-associated protein	1.0	0.999	4	7	7	7	0	7	0	7	0	7	0.0	1.15823488E9	
sp|Q803F6|RSSA_DANRE	Q803F6	RSSA_DANRE	rpsa	308	Danio rerio	1:Experimental evidence at protein level	Small ribosomal subunit protein uS2	1.0	0.999	8	21	21	21	0	21	0	21	0	21	0.0	6.2177485E9	
sp|Q803Y4|UFM1_DANRE	Q803Y4	UFM1_DANRE	ufm1	90	Danio rerio	3:Protein inferred from homology	Ubiquitin-fold modifier 1	0.9494	0.9753	1	2	2	2	0	2	0	2	0	2	0.0	0.0	
sp|Q8JGS9|RS18_DANRE	Q8JGS9	RS18_DANRE	rps18	152	Danio rerio	1:Experimental evidence at protein level	Small ribosomal subunit protein uS13	1.0	0.9976	6	10	10	10	0	10	0	10	0	10	0.0	3.32833382E9	
sp|Q8JH71|ALDOB_DANRE	Q8JH71	ALDOB_DANRE	aldob	364	Danio rerio	2:Experimental evidence at transcript level	Fructose-bisphosphate aldolase B	1.0	0.999	17	126	118	126	0	126	0	118	0	126	0.0	5.4715576E10	
sp|Q90473|HSP7C_DANRE	Q90473	HSP7C_DANRE	hspa8	649	Danio rerio	2:Experimental evidence at transcript level	Heat shock cognate 71 kDa protein	1.0	0.999	19	85	85	85	2	83	2	83	2	83	6.475826E7	1.96600013E10	
sp|Q90486|HBB1_DANRE	Q90486	HBB1_DANRE	ba1	148	Danio rerio	1:Experimental evidence at protein level	Hemoglobin subunit beta-1	1.0	0.999	11	576	52	576	1	575	1	51	1	575	8.1546096E7	2.50180207E11	
sp|Q90487|HBA_DANRE	Q90487	HBA_DANRE	hbaa1	143	Danio rerio	2:Experimental evidence at transcript level	Hemoglobin subunit alpha	1.0	0.999	9	175	175	175	1	174	1	174	1	174	1.8621128E7	2.25977238E11	
sp|Q90XG0|TPISB_DANRE	Q90XG0	TPISB_DANRE	tpi1b	248	Danio rerio	2:Experimental evidence at transcript level	Triosephosphate isomerase B	1.0	0.999	12	69	40	69	1	68	0	40	1	68	7.5325248E7	1.90820864E10	
sp|Q90Z10|RL13_DANRE	Q90Z10	RL13_DANRE	rpl13	211	Danio rerio	1:Experimental evidence at protein level	Large ribosomal subunit protein eL13	1.0	0.9923	3	5	5	5	0	5	0	5	0	5	0.0	9.7043418E8	
sp|Q90ZM2|S61A1_DANRE	Q90ZM2	S61A1_DANRE	sec61al1	476	Danio rerio	2:Experimental evidence at transcript level	Protein transport protein Sec61 subunit alpha-like 1	1.0	0.999	9	29	2	29	0	29	0	2	0	29	0.0	4.6819973E9	
sp|Q92005|EF1A_DANRE	Q92005	EF1A_DANRE	eef1a	462	Danio rerio	2:Experimental evidence at transcript level	Elongation factor 1-alpha	1.0	0.999	19	277	277	277	1	276	1	276	1	276	2.775301E7	9.6549249E10	
sp|Q92051|CAHZ_DANRE	Q92051	CAHZ_DANRE	cahz	260	Danio rerio	1:Experimental evidence at protein level	Carbonic anhydrase	1.0	0.999	7	20	20	20	0	20	0	20	0	20	0.0	3.43551846E9	
sp|Q9DEX7|FADS2_DANRE	Q9DEX7	FADS2_DANRE	fads2	444	Danio rerio	1:Experimental evidence at protein level	Acyl-CoA 6-desaturase	1.0	0.9989	6	14	14	14	0	14	0	14	0	14	0.0	3.08463974E9	
sp|Q9DGJ3|NPC2_DANRE	Q9DGJ3	NPC2_DANRE	npc2	149	Danio rerio	2:Experimental evidence at transcript level	NPC intracellular cholesterol transporter 2	0.9981	0.985	2	3	3	3	0	3	0	3	0	3	0.0	2.9837888E8	
sp|Q9DGK4|TCTP_DANRE	Q9DGK4	TCTP_DANRE	tpt1	171	Danio rerio	2:Experimental evidence at transcript level	Translationally-controlled tumor protein homolog	1.0	0.999	7	28	28	28	1	27	1	27	1	27	4.7778972E7	8.4048338E9	
sp|Q9I8L5|FA10A_DANRE	Q9I8L5	FA10A_DANRE	fabp10a	126	Danio rerio	1:Experimental evidence at protein level	Fatty acid-binding protein 10-A, liver basic	1.0	0.999	9	289	289	289	0	289	0	289	0	289	0.0	1.74651294E11	
sp|Q9PT92|CATA_DANRE	Q9PT92	CATA_DANRE	cat	526	Danio rerio	2:Experimental evidence at transcript level	Catalase	1.0	0.999	20	136	117	136	5	131	5	112	5	131	3.2518168E7	4.972218E10	
sp|Q9PTF3|NDK3_DANRE	Q9PTF3	NDK3_DANRE	nme3	169	Danio rerio	2:Experimental evidence at transcript level	Nucleoside diphosphate kinase 3	1.0	0.999	2	38	38	38	2	36	2	36	2	36	5.0933976E7	1.07814103E10	
sp|Q9PTS2|DCUP_DANRE	Q9PTS2	DCUP_DANRE	urod	369	Danio rerio	1:Experimental evidence at protein level	Uroporphyrinogen decarboxylase	1.0	0.9989	6	14	14	14	0	14	0	14	0	14	0.0	1.29037056E9	
sp|Q9PUE4|COPG2_DANRE	Q9PUE4	COPG2_DANRE	copg2	873	Danio rerio	2:Experimental evidence at transcript level	Coatomer subunit gamma-2	1.0	0.9987	2	4	4	4	0	4	0	4	0	4	0.0	1.17204112E8	
sp|Q9PV90|RLA0_DANRE	Q9PV90	RLA0_DANRE	rplp0	319	Danio rerio	2:Experimental evidence at transcript level	Large ribosomal subunit protein uL10	1.0	0.9979	2	3	3	3	0	3	0	3	0	3	0.0	3.054128E8	
sp|Q9PVK4|LDHBA_DANRE	Q9PVK4	LDHBA_DANRE	ldhba	334	Danio rerio	2:Experimental evidence at transcript level	L-lactate dehydrogenase B-A chain	1.0	0.999	7	16	16	34	2	14	2	14	3	31	1.90251024E8	1.27117453E9	
