Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	Set_1_1 Spectral Count	Set_1_2 Spectral Count	Set_1_3 Spectral Count	Set_2_1 Spectral Count	Set_2_2 Spectral Count	Set_2_3 Spectral Count	Set_1_1 Unique Spectral Count	Set_1_2 Unique Spectral Count	Set_1_3 Unique Spectral Count	Set_2_1 Unique Spectral Count	Set_2_2 Unique Spectral Count	Set_2_3 Unique Spectral Count	Set_1_1 Total Spectral Count	Set_1_2 Total Spectral Count	Set_1_3 Total Spectral Count	Set_2_1 Total Spectral Count	Set_2_2 Total Spectral Count	Set_2_3 Total Spectral Count	Set_1_1 Intensity	Set_1_2 Intensity	Set_1_3 Intensity	Set_2_1 Intensity	Set_2_2 Intensity	Set_2_3 Intensity	Set_1_1 MaxLFQ Intensity	Set_1_2 MaxLFQ Intensity	Set_1_3 MaxLFQ Intensity	Set_2_1 MaxLFQ Intensity	Set_2_2 MaxLFQ Intensity	Set_2_3 MaxLFQ Intensity	Indistinguishable Proteins
sp|O42182|FBLN1_DANRE	O42182	FBLN1_DANRE	fbln1	681	Danio rerio	2:Experimental evidence at transcript level	Fibulin-1	1.0	0.999	15	564	564	564	105	92	90	93	93	91	105	92	90	93	93	91	105	92	90	93	93	91	1.16990976E8	1.10785784E8	1.2296236E8	1.07938784E8	1.29546456E8	1.18881984E8	1.7296008E7	1.7126828E7	1.6804056E7	1.7706216E7	1.8527082E7	1.6471024E7	
sp|O42248|GBLP_DANRE	O42248	GBLP_DANRE	gnb2l1	317	Danio rerio	1:Experimental evidence at protein level	Small ribosomal subunit protein RACK1	1.0	0.999	21	1077	1077	1077	209	199	202	156	149	162	209	199	202	156	149	162	209	199	202	156	149	162	2.35391616E9	2.37886797E9	2.32207821E9	1.90527027E9	1.91607104E9	1.85921152E9	2.66514784E8	2.61676272E8	2.58693824E8	2.1078536E8	2.17885152E8	2.07084992E8	
sp|O42363|APOA1_DANRE	O42363	APOA1_DANRE	apoa1a	262	Danio rerio	1:Experimental evidence at protein level	Apolipoprotein A-Ia	1.0	0.999	14	178	178	178	42	44	47	17	12	16	42	44	47	17	12	16	42	44	47	17	12	16	1.2090588E8	1.15839088E8	1.26199072E8	3.5380676E7	3.6711616E7	4.3452248E7	1.7028696E7	1.6139205E7	1.7521908E7	8418095.0	8565228.0	7985266.5	
sp|O57474|CXA1_DANRE	O57474	CXA1_DANRE	gja1	381	Danio rerio	1:Experimental evidence at protein level	Gap junction alpha-1 protein	1.0	0.999	7	74	74	74	4	3	3	22	22	20	4	3	3	22	22	20	4	3	3	22	22	20	184098.97	623531.6	100762.84	3.080262E7	2.8647492E7	2.8676942E7	486880.56	431727.78	266484.22	5368136.0	4927633.5	5111124.5	
sp|O57521|HS90B_DANRE	O57521	HS90B_DANRE	hsp90ab1	725	Danio rerio	1:Experimental evidence at protein level	Heat shock protein HSP 90-beta	1.0	0.999	46	1622	1235	1622	241	235	240	308	301	297	185	176	175	241	232	226	241	235	240	308	301	297	1.25227699E9	1.15974989E9	1.2178656E9	1.76211917E9	1.76185818E9	1.7763648E9	1.791904E8	1.73672704E8	1.79641936E8	2.53572016E8	2.4845536E8	2.53646816E8	
sp|O73715|LDB1A_DANRE	O73715	LDB1A_DANRE	ldb1a	374	Danio rerio	2:Experimental evidence at transcript level	LIM domain-binding protein 1-A	1.0	0.9985	3	45	45	45	5	9	7	6	9	9	5	9	7	6	9	9	5	9	7	6	9	9	1.302728E7	1.5414502E7	1.3193938E7	5576171.5	6135433.5	7219006.0	5484592.5	6086467.0	6269325.5	4733610.0	4954032.0	5706628.0	
sp|O73872|SODC_DANRE	O73872	SODC_DANRE	sod1	154	Danio rerio	2:Experimental evidence at transcript level	Superoxide dismutase [Cu-Zn]	1.0	0.999	11	446	446	446	75	72	78	73	75	73	75	72	78	73	75	73	75	72	78	73	75	73	3.30384352E8	3.2245568E8	3.25547008E8	3.30531424E8	3.26388672E8	3.33901344E8	7.9459472E7	7.7992648E7	7.8735992E7	7.626616E7	7.6733376E7	7.9336264E7	
sp|O73878|EPB4B_DANRE	O73878	EPB4B_DANRE	ephb4b	976	Danio rerio	1:Experimental evidence at protein level	Ephrin type-B receptor 4b	1.0	0.9872	3	4	3	8	0	1	1	2	0	0	0	1	1	1	0	0	1	1	2	3	0	1	0.0	0.0	471032.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O93409|MLRSA_DANRE	O93409	MLRSA_DANRE	mylpfa	169	Danio rerio	1:Experimental evidence at protein level	Myosin regulatory light chain 2, skeletal muscle isoform A	1.0	0.999	14	327	151	327	46	42	48	61	64	66	19	20	21	28	31	32	46	42	48	61	64	66	1.3288092E8	9.9794136E7	9.7646848E7	2.1243488E8	2.21093248E8	2.1966576E8	3.6449828E7	3.59894E7	3.4733196E7	5.2680984E7	5.4121364E7	5.1276564E7	
sp|P0CH95|PHF8_DANRE	P0CH95	PHF8_DANRE	phf8	1032	Danio rerio	1:Experimental evidence at protein level	Histone lysine demethylase PHF8	1.0	0.9981	5	43	43	43	8	5	5	8	9	8	8	5	5	8	9	8	8	5	5	8	9	8	5173200.0	5162998.0	5917093.0	1.304067E7	9701848.0	1.0448336E7	3113456.2	2939434.5	3433054.2	3690536.5	3134303.2	3220677.5	
sp|P13104|TPM1_DANRE	P13104	TPM1_DANRE	tpma	284	Danio rerio	2:Experimental evidence at transcript level	Tropomyosin alpha-1 chain	1.0	0.999	19	340	340	340	61	52	49	64	61	53	61	52	49	64	61	53	61	52	49	64	61	53	1.34842112E8	1.27888552E8	1.85283264E8	1.77548624E8	1.80299072E8	1.66322144E8	3.7601608E7	3.9534364E7	4.3522396E7	4.3969524E7	4.6255532E7	4.2914516E7	
sp|P17561|EPD_DANRE	P17561	EPD_DANRE	epd	217	Danio rerio	2:Experimental evidence at transcript level	Ependymin	1.0	0.999	4	151	151	151	19	26	26	26	26	28	19	26	26	26	26	28	19	26	26	26	26	28	6.4007684E7	6.4281532E7	6.5568544E7	7.5051672E7	6.997372E7	7.3095312E7	2.9413444E7	3.0529944E7	2.9960838E7	3.127795E7	3.208894E7	3.2460282E7	
sp|P35359|OPSD_DANRE	P35359	OPSD_DANRE	rho	354	Danio rerio	1:Experimental evidence at protein level	Rhodopsin	1.0	0.999	6	572	572	572	112	113	97	82	87	81	112	113	97	82	87	81	112	113	97	82	87	81	1.05497555E9	1.02321024E9	1.0016096E9	8.9040301E8	9.0785856E8	8.8449824E8	2.66345552E8	2.58070768E8	2.49321456E8	2.10922176E8	2.17599568E8	1.98688336E8	
sp|P58239|CNMD_DANRE	P58239	CNMD_DANRE	cnmd	286	Danio rerio	2:Experimental evidence at transcript level	Leukocyte cell-derived chemotaxin 1	1.0	0.999	3	167	167	167	25	32	26	27	29	28	25	32	26	27	29	28	25	32	26	27	29	28	6.4348836E7	6.7126288E7	6.5844724E7	7.3071968E7	7.3995432E7	7.4686096E7	4.10179E7	4.276756E7	4.2016144E7	4.2372016E7	4.0910824E7	4.2130036E7	
sp|P58781|ADA2_DANRE	P58781	ADA2_DANRE	ada2a	503	Danio rerio	2:Experimental evidence at transcript level	Adenosine deaminase 2-A	1.0	0.9988	4	57	57	57	10	11	9	8	10	9	10	11	9	8	10	9	10	11	9	8	10	9	1.6241676E7	1.703242E7	1.8794078E7	1.5115582E7	1.4503917E7	1.3123559E7	5687079.5	5946185.5	6330711.0	5128146.5	5128201.0	4430636.0	
sp|P61485|RL36A_DANRE	P61485	RL36A_DANRE	rpl36a	106	Danio rerio	1:Experimental evidence at protein level	Large ribosomal subunit protein eL42	1.0	0.9988	5	109	109	109	19	18	21	18	16	17	19	18	21	18	16	17	19	18	21	18	16	17	1.3919256E8	1.42019392E8	1.43474512E8	1.095618E8	1.09142528E8	1.05431952E8	7.5650632E7	7.9185056E7	7.972608E7	5.9896E7	6.13422E7	5.8304312E7	
sp|P62084|RS7_DANRE	P62084	RS7_DANRE	rps7	194	Danio rerio	1:Experimental evidence at protein level	Small ribosomal subunit protein eS7	1.0	0.999	11	339	339	339	57	57	55	56	56	58	57	57	55	56	56	58	57	57	55	56	56	58	7.0803232E8	7.6953523E8	7.4654778E8	7.0282778E8	6.8433382E8	7.0218086E8	2.82025984E8	2.95251904E8	2.86991552E8	2.5718384E8	2.61820416E8	2.61714512E8	
sp|P62247|RS8_DANRE	P62247	RS8_DANRE	rps8	208	Danio rerio	1:Experimental evidence at protein level	Small ribosomal subunit protein eS8	1.0	0.999	11	399	399	399	72	69	72	62	62	62	72	69	72	62	62	62	72	69	72	62	62	62	1.10776102E9	1.08430976E9	1.12456154E9	1.19595046E9	1.26738944E9	1.21167322E9	2.07667712E8	2.0648912E8	2.08189968E8	2.25081312E8	2.2909544E8	2.20948336E8	
sp|P79732|RIR1_DANRE	P79732	RIR1_DANRE	rrm1	794	Danio rerio	2:Experimental evidence at transcript level	Ribonucleoside-diphosphate reductase large subunit	1.0	0.9972	4	30	30	30	12	10	8	0	0	0	12	10	8	0	0	0	12	10	8	0	0	0	1.2453608E7	1.3870299E7	1.3731722E7	777827.7	0.0	482764.62	4250838.0	4052222.0	4346528.5	1042099.3	0.0	646786.8	
sp|P79735|RAN_DANRE	P79735	RAN_DANRE	ran	215	Danio rerio	2:Experimental evidence at transcript level	GTP-binding nuclear protein Ran	1.0	0.999	16	429	429	429	65	69	69	75	74	77	65	69	69	75	74	77	65	69	69	75	74	77	6.3984333E8	6.2501786E8	6.1673216E8	7.493641E8	7.5878778E8	7.7222214E8	9.1210864E7	8.896596E7	8.7931352E7	1.11992496E8	1.05272992E8	1.10296448E8	
sp|P79741|PESC_DANRE	P79741	PESC_DANRE	pes	583	Danio rerio	2:Experimental evidence at transcript level	Pescadillo	1.0	0.9987	5	11	11	11	1	0	0	4	3	3	1	0	0	4	3	3	1	0	0	4	3	3	7419472.5	7024714.0	7377790.0	7672675.5	4376745.5	7688788.0	3995553.8	7024714.0	5537413.5	6471490.0	4462897.5	7143638.5	
sp|P79745|P3F3B_DANRE	P79745	P3F3B_DANRE	pou3f3b	443	Danio rerio	1:Experimental evidence at protein level	POU domain, class 3, transcription factor 3-B	0.9998	0.9983	4	35	2	35	6	6	7	6	5	5	0	0	0	1	0	1	6	6	7	6	5	5	1438615.5	1655151.4	1852950.6	3059805.8	2998442.5	2949048.8	1438615.5	1655151.4	1852950.6	3059805.8	2998442.5	2949048.8	
sp|P83571|RUVB2_DANRE	P83571	RUVB2_DANRE	ruvbl2	463	Danio rerio	1:Experimental evidence at protein level	RuvB-like 2	1.0	0.999	19	307	307	307	40	39	43	60	61	64	40	39	43	60	61	64	40	39	43	60	61	64	7.9253184E7	7.5673344E7	9.1432624E7	1.46924064E8	1.52523344E8	1.487348E8	1.2309943E7	1.1701818E7	1.2210325E7	1.8471594E7	1.9084156E7	1.8314266E7	
sp|Q05AM4|FAH2B_DANRE	Q05AM4	FAH2B_DANRE	faah2b	526	Danio rerio	2:Experimental evidence at transcript level	Fatty-acid amide hydrolase 2-B	1.0	0.999	5	41	41	41	12	10	13	2	2	2	12	10	13	2	2	2	12	10	13	2	2	2	1.1225125E7	1.2117084E7	8514748.0	2826755.2	3601491.0	3735831.5	4956615.5	5703353.0	4453035.0	2029050.9	2368224.8	2716374.8	
sp|Q05AM5|ELP2_DANRE	Q05AM5	ELP2_DANRE	elp2	821	Danio rerio	2:Experimental evidence at transcript level	Elongator complex protein 2	1.0	0.999	5	37	37	37	7	12	9	6	1	2	7	12	9	6	1	2	7	12	9	6	1	2	1258342.9	1276329.5	1245985.0	1869252.8	1758496.8	1164964.4	1258342.9	1276329.5	1245985.0	1111565.4	1055274.0	756337.75	
sp|Q06725|N2F1A_DANRE	Q06725	N2F1A_DANRE	nr2f1a	411	Danio rerio	2:Experimental evidence at transcript level	Nuclear receptor subfamily 2 group F member 1-A	0.9999	0.9987	5	36	27	36	3	1	1	11	12	8	3	1	1	8	8	6	3	1	1	11	12	8	5023956.5	7756187.0	951353.2	1.0178423E7	7987592.0	8632786.0	1402073.2	3803390.0	1940961.8	6401163.5	5349962.0	5267059.5	
sp|Q08BB1|EFGM_DANRE	Q08BB1	EFGM_DANRE	gfm1	745	Danio rerio	2:Experimental evidence at transcript level	Elongation factor G, mitochondrial	1.0	0.9989	12	90	90	90	20	20	27	7	8	8	20	20	27	7	8	8	20	20	27	7	8	8	2.2240202E7	2.727784E7	2.4232192E7	1.2958513E7	1.2032378E7	1.2146136E7	5448336.5	5763139.0	5290937.0	3804622.2	3467055.5	3476799.0	
sp|Q08BB5|CTL2A_DANRE	Q08BB5	CTL2A_DANRE	ctdspl2a	469	Danio rerio	2:Experimental evidence at transcript level	CTD small phosphatase-like protein 2-A	1.0	0.999	3	8	6	8	1	0	0	2	1	4	0	0	0	2	0	4	1	0	0	2	1	4	0.0	0.0	0.0	0.0	753316.75	538629.25	0.0	0.0	0.0	0.0	329479.0	914172.4	
sp|Q08BI9|MCU_DANRE	Q08BI9	MCU_DANRE	mcu	376	Danio rerio	1:Experimental evidence at protein level	Calcium uniporter protein, mitochondrial	1.0	0.999	10	147	147	147	27	21	21	29	22	27	27	21	21	29	22	27	27	21	21	29	22	27	1.02051776E8	9.1584016E7	9.7301096E7	1.27961064E8	1.35647424E8	1.27194416E8	3.1324592E7	2.8880028E7	2.9801726E7	3.8444804E7	4.0711932E7	3.919586E7	
sp|Q08BJ2|KHDR2_DANRE	Q08BJ2	KHDR2_DANRE	khdrbs2	346	Danio rerio	2:Experimental evidence at transcript level	KH domain-containing, RNA-binding, signal transduction-associated protein 2	0.9774	0.9897	2	7	7	7	2	0	1	1	1	2	2	0	1	1	1	2	2	0	1	1	1	2	1.0642433E7	1.0764444E7	1.1806258E7	944679.8	1788810.9	1987843.8	1.0642433E7	1.0764444E7	1.1806258E7	944679.8	1788810.9	1987843.8	
sp|Q08BL7|GLCTK_DANRE	Q08BL7	GLCTK_DANRE	glyctk	502	Danio rerio	2:Experimental evidence at transcript level	Glycerate kinase	1.0	0.999	9	90	90	90	13	12	10	20	18	17	13	12	10	20	18	17	13	12	10	20	18	17	1.7332222E7	1.4712015E7	1.515602E7	3.3406336E7	3.7061404E7	3.3994896E7	7170064.0	7219421.0	6774519.0	1.2687433E7	1.3780019E7	1.2572837E7	
sp|Q08BR4|STB1B_DANRE	Q08BR4	STB1B_DANRE	setdb1b	1216	Danio rerio	2:Experimental evidence at transcript level	Histone-lysine N-methyltransferase SETDB1-B	0.995	0.9958	1	18	18	18	6	6	5	0	1	0	6	6	5	0	1	0	6	6	5	0	1	0	1972297.8	1923680.8	1939963.9	0.0	0.0	1603448.6	1972297.8	1923680.8	1939963.9	0.0	0.0	1603448.6	
sp|Q08BY0|NDUF7_DANRE	Q08BY0	NDUF7_DANRE	ndufaf7	422	Danio rerio	2:Experimental evidence at transcript level	Protein arginine methyltransferase NDUFAF7, mitochondrial	0.9919	0.9983	1	2	2	2	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0.0	177479.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q08BY1|MED17_DANRE	Q08BY1	MED17_DANRE	med17	643	Danio rerio	2:Experimental evidence at transcript level	Mediator of RNA polymerase II transcription subunit 17	1.0	0.9988	4	30	30	30	5	4	6	5	5	5	5	4	6	5	5	5	5	4	6	5	5	5	1013584.44	1134022.5	1014882.9	1623874.0	1550458.8	3703865.5	1171631.0	1310848.8	1173131.9	899956.8	835588.25	1008814.06	
sp|Q08C33|ISOC1_DANRE	Q08C33	ISOC1_DANRE	isoc1	283	Danio rerio	2:Experimental evidence at transcript level	Isochorismatase domain-containing protein 1	1.0	0.9985	3	20	20	20	1	1	1	5	7	5	1	1	1	5	7	5	1	1	1	5	7	5	3828063.2	3314970.5	3736685.8	1.4680572E7	1.3273253E7	1.5333264E7	3317004.0	2827652.2	3246092.8	5118427.5	5387122.0	5514526.5	
sp|Q08C72|CWC22_DANRE	Q08C72	CWC22_DANRE	cwc22	985	Danio rerio	2:Experimental evidence at transcript level	Pre-mRNA-splicing factor CWC22 homolog	0.9999	0.9971	3	31	31	31	8	7	8	4	2	2	8	7	8	4	2	2	8	7	8	4	2	2	2710128.2	2621483.0	3504353.0	2307986.8	2060498.8	1167307.4	1406099.2	1405050.0	1851258.1	1293307.6	1163815.0	1458955.2	
sp|Q08C75|VACHA_DANRE	Q08C75	VACHA_DANRE	slc18a3a	513	Danio rerio	2:Experimental evidence at transcript level	Probable vesicular acetylcholine transporter-A	0.9999	0.9968	2	6	6	6	0	0	2	2	1	1	0	0	2	2	1	1	0	0	2	2	1	1	1131344.4	2579673.5	1209701.9	2199208.8	3766572.5	4352930.0	1180740.4	1356019.9	1262519.1	2529360.2	2073958.8	2398403.8	
sp|Q08C76|SSUH2_DANRE	Q08C76	SSUH2_DANRE	ssuh2	361	Danio rerio	2:Experimental evidence at transcript level	Protein SSUH2 homolog	1.0	0.999	11	441	441	441	74	73	72	74	77	71	74	73	72	74	77	71	74	73	72	74	77	71	3.29987552E8	3.46193152E8	3.40416736E8	3.5063968E8	3.12933056E8	3.26304096E8	5.7267064E7	6.2953384E7	5.7773568E7	6.3697332E7	6.4598152E7	6.3659528E7	
sp|Q08C93|ABD12_DANRE	Q08C93	ABD12_DANRE	abhd12	382	Danio rerio	2:Experimental evidence at transcript level	Lysophosphatidylserine lipase ABHD12	1.0	0.9929	5	9	9	9	3	3	2	0	0	1	3	3	2	0	0	1	3	3	2	0	0	1	1.2560481E7	5409312.5	1.1823325E7	1004136.44	1028203.25	1043811.6	2506080.5	2321932.0	2659766.8	1627146.6	1666145.6	1691438.1	
sp|Q08CH8|ZTRF1_DANRE	Q08CH8	ZTRF1_DANRE	zftraf1	382	Danio rerio	2:Experimental evidence at transcript level	Zinc finger TRAF-type-containing protein 1	0.9336	0.9962	1	6	6	6	2	0	0	2	1	1	2	0	0	2	1	1	2	0	0	2	1	1	111960.14	0.0	170262.77	539215.0	496828.34	499950.5	111960.14	0.0	170262.77	539215.0	496828.34	499950.5	
sp|Q08CI4|CCYL1_DANRE	Q08CI4	CCYL1_DANRE	ccnyl1	339	Danio rerio	2:Experimental evidence at transcript level	Cyclin-Y-like protein 1	1.0	0.9949	3	11	11	11	1	0	2	3	2	3	1	0	2	3	2	3	1	0	2	3	2	3	840645.1	0.0	1044198.9	3487368.5	4563234.0	3754796.0	951891.56	0.0	544366.25	1867949.4	2524473.8	2000918.6	
sp|Q08CK7|IF2B1_DANRE	Q08CK7	IF2B1_DANRE	igf2bp1	598	Danio rerio	1:Experimental evidence at protein level	Insulin-like growth factor 2 mRNA-binding protein 1	1.0	0.999	30	1140	1020	1140	171	171	160	214	211	213	152	152	140	194	190	192	171	171	160	214	211	213	5.8757754E8	5.8160909E8	5.882736E8	1.14125056E9	1.1253847E9	1.12908672E9	8.3383504E7	8.3825648E7	8.411732E7	1.49004528E8	1.47154576E8	1.51019456E8	
sp|Q08CL8|CNO10_DANRE	Q08CL8	CNO10_DANRE	cnot10	624	Danio rerio	2:Experimental evidence at transcript level	CCR4-NOT transcription complex subunit 10	1.0	0.996	4	15	15	15	3	5	5	0	1	1	3	5	5	0	1	1	3	5	5	0	1	1	1806739.2	1819450.2	2191667.8	1583547.2	1448246.9	1404966.9	1296211.1	1304574.2	1567794.0	1583547.2	1448246.9	1404966.9	
sp|Q0E671|NEUAA_DANRE	Q0E671	NEUAA_DANRE	cmasa	430	Danio rerio	1:Experimental evidence at protein level	N-acylneuraminate cytidylyltransferase A	1.0	0.999	7	102	102	102	17	15	14	18	19	19	17	15	14	18	19	19	17	15	14	18	19	19	2.0830296E7	1.9133808E7	2.0705534E7	2.1392108E7	2.0616314E7	2.0047056E7	4782000.0	4445608.0	4848213.5	6678432.5	6507486.5	6197677.0	
sp|Q0IIP8|CRP_DANRE	Q0IIP8	CRP_DANRE	crp	225	Danio rerio	1:Experimental evidence at protein level	C-reactive protein	1.0	0.999	5	103	103	103	19	18	17	17	16	16	19	18	17	17	16	16	19	18	17	17	16	16	6.6957732E7	6.4311784E7	6.5237916E7	4.8931076E7	4.8574304E7	5.6664272E7	3.4441624E7	3.269E7	3.458068E7	2.7079498E7	2.9027372E7	3.311624E7	
sp|Q0P3Z2|PTER_DANRE	Q0P3Z2	PTER_DANRE	pter	349	Danio rerio	2:Experimental evidence at transcript level	Phosphotriesterase-related protein	1.0	0.999	10	169	169	169	26	30	27	26	28	32	26	30	27	26	28	32	26	30	27	26	28	32	3.7885636E7	4.1562888E7	4.3802364E7	5.1855064E7	4.985696E7	4.9370304E7	8948079.0	9277032.0	9929648.0	1.165867E7	1.1295164E7	1.1216277E7	
sp|Q0P483|S2542_DANRE	Q0P483	S2542_DANRE	slc25a42	321	Danio rerio	2:Experimental evidence at transcript level	Mitochondrial coenzyme A transporter SLC25A42	0.8877	0.9866	1	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q0P487|NB5R2_DANRE	Q0P487	NB5R2_DANRE	cyb5r2	309	Danio rerio	2:Experimental evidence at transcript level	NADH-cytochrome b5 reductase 2	1.0	0.999	9	104	104	104	20	18	24	13	15	14	20	18	24	13	15	14	20	18	24	13	15	14	3.527058E7	3.9004344E7	3.6552092E7	1.6247005E7	1.8318724E7	1.6028758E7	1.7553598E7	1.6048683E7	1.5906413E7	9162572.0	9168803.0	1.0058222E7	
sp|Q0P4F7|ACSF2_DANRE	Q0P4F7	ACSF2_DANRE	acsf2	606	Danio rerio	2:Experimental evidence at transcript level	Medium-chain acyl-CoA ligase ACSF2, mitochondrial	1.0	0.999	24	411	411	411	50	58	49	82	94	78	50	58	49	82	94	78	50	58	49	82	94	78	1.24313656E8	1.11398136E8	1.22829792E8	2.15452288E8	2.19706384E8	2.10035616E8	2.294731E7	2.1235262E7	2.1864612E7	3.6748872E7	3.6514276E7	3.7219024E7	
sp|Q0VIL3|OTOMP_DANRE	Q0VIL3	OTOMP_DANRE	otomp	371	Danio rerio	2:Experimental evidence at transcript level	Otolith matrix protein 1	1.0	0.999	9	143	143	143	30	25	30	21	20	17	30	25	30	21	20	17	30	25	30	21	20	17	2.8720676E7	3.1881972E7	3.0422558E7	1.723782E7	2.0722062E7	2.1872786E7	9404316.0	1.0210653E7	9931119.0	5955893.5	5998109.5	6910557.0	
sp|Q155U0|VPS51_DANRE	Q155U0	VPS51_DANRE	vps51	827	Danio rerio	2:Experimental evidence at transcript level	Vacuolar protein sorting-associated protein 51 homolog	1.0	0.999	3	31	31	31	4	5	3	6	8	5	4	5	3	6	8	5	4	5	3	6	8	5	2.2834204E7	1.9473302E7	2.2212286E7	2.2196984E7	2.2648882E7	2.2725328E7	2.2526238E7	1.5941409E7	1.4521836E7	2.540586E7	2.3944388E7	2.7112424E7	
sp|Q1JPX3|SYFA_DANRE	Q1JPX3	SYFA_DANRE	farsa	497	Danio rerio	2:Experimental evidence at transcript level	Phenylalanine--tRNA ligase alpha subunit	1.0	0.999	10	117	117	117	24	15	14	24	20	20	24	15	14	24	20	20	24	15	14	24	20	20	2.8417932E7	2.9648668E7	3.052314E7	5.1346104E7	4.9406088E7	5.299222E7	7771912.5	7909595.0	7580136.5	9541384.0	9434553.0	9993414.0	
sp|Q1JPY5|CYP51_DANRE	Q1JPY5	CYP51_DANRE	cyp51	499	Danio rerio	1:Experimental evidence at protein level	Lanosterol 14-alpha demethylase	1.0	0.9984	4	22	22	22	5	7	9	0	0	1	5	7	9	0	0	1	5	7	9	0	0	1	2463586.5	2792969.5	2872799.5	0.0	0.0	0.0	1154417.6	1126916.6	1110669.5	0.0	0.0	0.0	
sp|Q1JPY8|PSPC1_DANRE	Q1JPY8	PSPC1_DANRE	pspc1	512	Danio rerio	2:Experimental evidence at transcript level	Paraspeckle component 1	1.0	0.999	6	130	130	130	22	22	24	22	21	19	22	22	24	22	21	19	22	22	24	22	21	19	1.36158192E8	1.5635064E8	1.39018688E8	9.3884168E7	8.5838824E7	1.03817736E8	1.03183224E8	9.5967928E7	9.0469432E7	1.09289224E8	8.9951248E7	9.8483152E7	
sp|Q1JPZ3|SRC_DANRE	Q1JPZ3	SRC_DANRE	src	534	Danio rerio	1:Experimental evidence at protein level	Proto-oncogene tyrosine-protein kinase Src	1.0	0.997	7	15	15	64	1	5	4	2	1	2	1	5	4	2	1	2	6	11	10	14	13	10	5213982.5	5039451.0	3962265.0	3295691.5	4256252.5	4207299.0	2456973.8	1972474.6	1539484.6	1961453.4	2685311.0	2617774.8	
sp|Q1JPZ7|PRP39_DANRE	Q1JPZ7	PRP39_DANRE	prpf39	752	Danio rerio	2:Experimental evidence at transcript level	Pre-mRNA-processing factor 39	1.0	0.999	30	661	661	661	114	130	116	105	100	96	114	130	116	105	100	96	114	130	116	105	100	96	2.7213136E8	2.6231744E8	2.61066704E8	1.89684816E8	1.90340288E8	1.9324832E8	3.9134364E7	3.7506472E7	3.7238868E7	3.2805166E7	3.2721236E7	3.3621924E7	
sp|Q1L673|VDRB_DANRE	Q1L673	VDRB_DANRE	vdrb	422	Danio rerio	2:Experimental evidence at transcript level	Vitamin D3 receptor B	1.0	0.9989	5	22	7	22	0	0	0	7	8	7	0	0	0	2	3	2	0	0	0	7	8	7	255794.64	836850.5	462739.5	7461696.0	7612803.5	7601397.0	255794.64	836850.5	462739.5	4320599.5	4371198.5	4444051.5	
sp|Q1L8L9|KAD2_DANRE	Q1L8L9	KAD2_DANRE	ak2	241	Danio rerio	2:Experimental evidence at transcript level	Adenylate kinase 2, mitochondrial	1.0	0.999	13	304	304	304	50	50	53	49	51	51	50	50	53	49	51	51	50	50	53	49	51	51	9.2022848E7	9.138464E7	9.3728952E7	9.2436624E7	9.8730456E7	9.9107536E7	2.304178E7	2.2960148E7	2.4367676E7	2.0818154E7	2.2050464E7	2.2151934E7	
sp|Q1L8P7|TSP3B_DANRE	Q1L8P7	TSP3B_DANRE	thbs3b	929	Danio rerio	3:Protein inferred from homology	Thrombospondin-3b	0.9998	0.9953	2	10	10	10	3	2	2	0	3	0	3	2	2	0	3	0	3	2	2	0	3	0	2171176.2	1495424.2	1295513.4	1462238.0	1667333.5	1738304.0	1329153.5	1495424.2	1295513.4	1462238.0	1667333.5	1738304.0	
sp|Q1L987|ATPF1_DANRE	Q1L987	ATPF1_DANRE	atpaf1	302	Danio rerio	2:Experimental evidence at transcript level	ATP synthase mitochondrial F1 complex assembly factor 1	0.9942	0.9895	2	3	3	3	0	1	1	0	0	1	0	1	1	0	0	1	0	1	1	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q1LUA6|TRIO_DANRE	Q1LUA6	TRIO_DANRE	trio	3028	Danio rerio	3:Protein inferred from homology	Triple functional domain protein	1.0	0.9843	7	10	10	10	2	2	1	4	0	1	2	2	1	4	0	1	2	2	1	4	0	1	1010732.4	1104521.1	2375627.5	3815605.5	3531999.5	3921258.2	976344.56	1324450.4	1549427.8	1620341.6	1251763.0	1525041.8	
sp|Q1LUC1|5MP1_DANRE	Q1LUC1	5MP1_DANRE	bzw2	421	Danio rerio	2:Experimental evidence at transcript level	eIF5-mimic protein 1	1.0	0.9886	7	38	23	63	9	10	6	6	4	3	5	5	2	4	4	3	11	14	11	11	8	8	2890688.0	2422346.0	2164951.8	3026595.2	3276740.0	2520673.0	1691809.2	1414148.6	1278467.6	1785970.9	1910338.0	1493541.5	
