Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	120h_1 Spectral Count	120h_10 Spectral Count	120h_11 Spectral Count	120h_12 Spectral Count	120h_2 Spectral Count	120h_3 Spectral Count	120h_4 Spectral Count	120h_5 Spectral Count	120h_6 Spectral Count	120h_7 Spectral Count	120h_8 Spectral Count	120h_9 Spectral Count	72h_1 Spectral Count	72h_10 Spectral Count	72h_11 Spectral Count	72h_12 Spectral Count	72h_2 Spectral Count	72h_3 Spectral Count	72h_4 Spectral Count	72h_5 Spectral Count	72h_6 Spectral Count	72h_7 Spectral Count	72h_8 Spectral Count	72h_9 Spectral Count	120h_1 Unique Spectral Count	120h_10 Unique Spectral Count	120h_11 Unique Spectral Count	120h_12 Unique Spectral Count	120h_2 Unique Spectral Count	120h_3 Unique Spectral Count	120h_4 Unique Spectral Count	120h_5 Unique Spectral Count	120h_6 Unique Spectral Count	120h_7 Unique Spectral Count	120h_8 Unique Spectral Count	120h_9 Unique Spectral Count	72h_1 Unique Spectral Count	72h_10 Unique Spectral Count	72h_11 Unique Spectral Count	72h_12 Unique Spectral Count	72h_2 Unique Spectral Count	72h_3 Unique Spectral Count	72h_4 Unique Spectral Count	72h_5 Unique Spectral Count	72h_6 Unique Spectral Count	72h_7 Unique Spectral Count	72h_8 Unique Spectral Count	72h_9 Unique Spectral Count	120h_1 Total Spectral Count	120h_10 Total Spectral Count	120h_11 Total Spectral Count	120h_12 Total Spectral Count	120h_2 Total Spectral Count	120h_3 Total Spectral Count	120h_4 Total Spectral Count	120h_5 Total Spectral Count	120h_6 Total Spectral Count	120h_7 Total Spectral Count	120h_8 Total Spectral Count	120h_9 Total Spectral Count	72h_1 Total Spectral Count	72h_10 Total Spectral Count	72h_11 Total Spectral Count	72h_12 Total Spectral Count	72h_2 Total Spectral Count	72h_3 Total Spectral Count	72h_4 Total Spectral Count	72h_5 Total Spectral Count	72h_6 Total Spectral Count	72h_7 Total Spectral Count	72h_8 Total Spectral Count	72h_9 Total Spectral Count	120h_1 Intensity	120h_10 Intensity	120h_11 Intensity	120h_12 Intensity	120h_2 Intensity	120h_3 Intensity	120h_4 Intensity	120h_5 Intensity	120h_6 Intensity	120h_7 Intensity	120h_8 Intensity	120h_9 Intensity	72h_1 Intensity	72h_10 Intensity	72h_11 Intensity	72h_12 Intensity	72h_2 Intensity	72h_3 Intensity	72h_4 Intensity	72h_5 Intensity	72h_6 Intensity	72h_7 Intensity	72h_8 Intensity	72h_9 Intensity	120h_1 MaxLFQ Intensity	120h_10 MaxLFQ Intensity	120h_11 MaxLFQ Intensity	120h_12 MaxLFQ Intensity	120h_2 MaxLFQ Intensity	120h_3 MaxLFQ Intensity	120h_4 MaxLFQ Intensity	120h_5 MaxLFQ Intensity	120h_6 MaxLFQ Intensity	120h_7 MaxLFQ Intensity	120h_8 MaxLFQ Intensity	120h_9 MaxLFQ Intensity	72h_1 MaxLFQ Intensity	72h_10 MaxLFQ Intensity	72h_11 MaxLFQ Intensity	72h_12 MaxLFQ Intensity	72h_2 MaxLFQ Intensity	72h_3 MaxLFQ Intensity	72h_4 MaxLFQ Intensity	72h_5 MaxLFQ Intensity	72h_6 MaxLFQ Intensity	72h_7 MaxLFQ Intensity	72h_8 MaxLFQ Intensity	72h_9 MaxLFQ Intensity	Indistinguishable Proteins
sp|Q6NYV8|LCLT1_DANRE	Q6NYV8	LCLT1_DANRE	lclat1	388	Danio rerio	1:Experimental evidence at protein level	Lysocardiolipin acyltransferase 1	0.9077	0.9975	1	2	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q6NYV9|LEO1_DANRE	Q6NYV9	LEO1_DANRE	leo1	696	Danio rerio	1:Experimental evidence at protein level	RNA polymerase-associated protein LEO1	1.0	0.999	5	65	65	65	1	1	1	0	4	3	0	0	1	1	1	2	6	5	6	1	4	7	2	4	1	4	7	3	1	1	1	0	4	3	0	0	1	1	1	2	6	5	6	1	4	7	2	4	1	4	7	3	1	1	1	0	4	3	0	0	1	1	1	2	6	5	6	1	4	7	2	4	1	4	7	3	3.3611548E7	3.4490432E7	2.9024358E7	2.3605396E7	2.5594496E7	2.8011444E7	2.5091562E7	2.9131898E7	2.739831E7	2.3577924E7	2.4400192E7	4.1302308E7	3.4002564E7	3.9083656E7	4.6604752E7	4.1581416E7	3.73916E7	3.734118E7	3.7149112E7	2.997103E7	2.9459358E7	3.9393088E7	3.4799936E7	3.312347E7	2.2490754E7	2.334894E7	1.8419606E7	2.2893644E7	1.7260966E7	1.9114994E7	1.1579818E7	1.7141408E7	2.6572194E7	2.2867E7	2.3664476E7	2.7177398E7	2.2700554E7	2.801863E7	3.1520858E7	2.8253034E7	2.5195004E7	2.6695846E7	2.614426E7	2.1017784E7	6.8652816E7	2.6460778E7	2.4612628E7	2.170072E7	
sp|Q6NYW6|CLAP2_DANRE	Q6NYW6	CLAP2_DANRE	clasp2	1288	Danio rerio	2:Experimental evidence at transcript level	CLIP-associating protein 2	1.0	0.999	34	327	327	327	13	9	6	10	15	17	9	9	11	12	8	13	17	19	16	18	18	18	17	16	3	18	19	16	13	9	6	10	15	17	9	9	11	12	8	13	17	19	16	18	18	18	17	16	3	18	19	16	13	9	6	10	15	17	9	9	11	12	8	13	17	19	16	18	18	18	17	16	3	18	19	16	9.6532424E7	5.7521708E7	5.956444E7	5.1617644E7	1.0875928E8	1.01842856E8	7.2282816E7	7.2147056E7	6.1204892E7	6.7087216E7	6.4174972E7	5.9368984E7	2.04001872E8	2.10369968E8	1.93869184E8	2.35679472E8	1.67176832E8	1.51521232E8	2.26717696E8	2.34652048E8	5.1975616E7	1.90427056E8	1.82781744E8	1.6942536E8	1.7063116E7	1.2916089E7	1.1165609E7	1.3438629E7	2.1322456E7	1.7059344E7	1.5359099E7	1.4571459E7	1.70539E7	1.4617754E7	1.2985724E7	1.1583167E7	2.3818444E7	2.4118796E7	2.315501E7	2.5483206E7	2.0468246E7	1.8608538E7	2.4562242E7	2.5080344E7	1.846644E7	1.9858172E7	1.8356106E7	1.9296154E7	
sp|Q6NYX8|PITH1_DANRE	Q6NYX8	PITH1_DANRE	pithd1	210	Danio rerio	2:Experimental evidence at transcript level	PITH domain-containing protein 1	1.0	0.999	5	53	53	53	2	1	2	2	2	2	1	1	1	1	1	1	2	4	4	3	3	4	3	2	2	4	4	1	2	1	2	2	2	2	1	1	1	1	1	1	2	4	4	3	3	4	3	2	2	4	4	1	2	1	2	2	2	2	1	1	1	1	1	1	2	4	4	3	3	4	3	2	2	4	4	1	7228572.5	5724929.0	3251148.8	5527500.5	5721879.0	5615668.5	4966148.5	6742702.0	7422023.5	4000275.8	2510857.2	5274064.0	3.1319568E7	3.4234816E7	3.4265048E7	3.7742736E7	1.2202677E7	3.2649888E7	5.042132E7	3.4261848E7	6.5769132E7	2.1767868E7	1.7678212E7	2.5222552E7	8292855.0	6567826.0	3729824.2	6341329.5	6564327.0	6442478.5	5697328.0	7735448.5	8514788.0	4589247.5	2880537.5	6050579.0	1.112188E7	1.2928374E7	1.1830107E7	1.4099712E7	4381539.0	1.0793349E7	1.8284452E7	1.0012965E7	3.4392132E7	8154042.5	6985144.0	8941078.0	
sp|Q6NYY4|AS1BA_DANRE	Q6NYY4	AS1BA_DANRE	asf1ba	197	Danio rerio	2:Experimental evidence at transcript level	Histone chaperone asf1b-A	0.9999	0.999	4	12	12	15	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	1	1	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	1	1	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	1	2	1	1	1	0	1	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7810100.0	7131564.0	8727333.0	5042989.0	5015430.5	6502944.0	7014137.0	6379486.0	0.0	5011684.0	3549597.2	7204035.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6146191.0	5589574.5	8727333.0	5042989.0	3915950.0	5121070.5	7014137.0	4822859.5	0.0	5011684.0	3549597.2	7204035.0	
sp|Q6NYY9|VMP1_DANRE	Q6NYY9	VMP1_DANRE	vmp1	406	Danio rerio	2:Experimental evidence at transcript level	Vacuole membrane protein 1	1.0	0.999	5	61	61	61	4	2	3	2	4	4	3	3	5	3	1	4	0	6	2	2	1	1	0	0	0	3	5	3	4	2	3	2	4	4	3	3	5	3	1	4	0	6	2	2	1	1	0	0	0	3	5	3	4	2	3	2	4	4	3	3	5	3	1	4	0	6	2	2	1	1	0	0	0	3	5	3	3.2564322E7	4.0289088E7	1.788E7	2.44935E7	2.551289E7	5.1060532E7	2.6343332E7	2.4606304E7	4.771702E7	4.9868528E7	2.5689268E7	2.6101484E7	1.0187005E7	2.3004752E7	2.0651328E7	1.3968825E7	1.6150804E7	5178191.0	3625347.0	6590523.0	0.0	1.3006758E7	1.8268568E7	1.3467828E7	1.2241079E7	1.0837547E7	1.0211297E7	1.3947684E7	1.7172066E7	2.002046E7	1.7579964E7	1.6031818E7	1.9309574E7	1.8337268E7	1.5191207E7	1.7415714E7	1.6431072E7	1.1969853E7	8560380.0	6857358.0	1.1335809E7	8968059.0	6278704.0	1.1414064E7	0.0	8767238.0	1.2567706E7	9434603.0	
sp|Q6NZ03|FBSP1_DANRE	Q6NZ03	FBSP1_DANRE	fbxo45	291	Danio rerio	2:Experimental evidence at transcript level	F-box/SPRY domain-containing protein 1	0.9992	0.998	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	3147278.0	2632130.0	4476556.5	3675821.2	4307938.0	2029259.2	3862752.2	3370128.5	0.0	2639299.0	4660804.0	4467454.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3147278.0	2632130.0	4476556.5	3675821.2	4307938.0	2029259.2	3862752.2	3370128.5	0.0	2639299.0	4660804.0	4467454.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q6NZ06|ILF2_DANRE	Q6NZ06	ILF2_DANRE	ilf2	387	Danio rerio	2:Experimental evidence at transcript level	Interleukin enhancer-binding factor 2 homolog	1.0	0.999	20	975	975	975	39	36	31	47	40	41	32	42	32	35	31	34	51	50	51	50	42	39	49	47	18	46	49	43	39	36	31	47	40	41	32	42	32	35	31	34	51	50	51	50	42	39	49	47	18	46	49	43	39	36	31	47	40	41	32	42	32	35	31	34	51	50	51	50	42	39	49	47	18	46	49	43	3.35526912E9	3.43320346E9	3.34235213E9	3.27837798E9	3.72073574E9	3.20186163E9	3.22682189E9	3.25243213E9	2.94969114E9	2.88004838E9	3.07545882E9	3.32304077E9	3.53276826E9	3.49907584E9	3.65444966E9	3.08942182E9	3.17825203E9	3.13830144E9	3.39699558E9	3.63806976E9	2.79210778E9	3.2967849E9	3.20180966E9	3.02574899E9	5.20297152E8	5.4138592E8	5.6094899E8	5.4292768E8	5.595497E8	5.7068704E8	4.82323872E8	5.06413024E8	5.04312032E8	4.77054464E8	4.9577008E8	5.31332736E8	5.16421952E8	5.7144518E8	5.3754061E8	5.28826848E8	5.375936E8	5.35814496E8	5.3691373E8	5.2567536E8	4.35902848E8	5.13917472E8	5.4857626E8	5.4652947E8	
sp|Q6NZ07|NCLN_DANRE	Q6NZ07	NCLN_DANRE	ncln	572	Danio rerio	2:Experimental evidence at transcript level	BOS complex subunit ncln	1.0	0.999	13	165	165	165	7	8	6	6	7	8	5	7	4	5	7	8	6	6	8	8	9	5	6	8	3	7	10	11	7	8	6	6	7	8	5	7	4	5	7	8	6	6	8	8	9	5	6	8	3	7	10	11	7	8	6	6	7	8	5	7	4	5	7	8	6	6	8	8	9	5	6	8	3	7	10	11	2.68493184E8	2.48777328E8	2.03223424E8	2.58922352E8	1.61225664E8	2.7799584E8	2.3605104E8	2.29610048E8	1.65560176E8	1.890004E8	2.1374256E8	3.1244656E8	2.26042912E8	2.5758216E8	3.17552576E8	2.3109208E8	2.42129888E8	2.19037056E8	1.57759216E8	2.14341792E8	4.5588348E7	2.3842592E8	2.69299936E8	2.8124128E8	5.624444E7	4.713244E7	4.5310108E7	4.2603684E7	4.3640844E7	5.4506492E7	5.0046832E7	4.933824E7	4.3722748E7	5.136114E7	4.8737284E7	5.2469256E7	3.7080112E7	3.9624664E7	4.3225388E7	4.3974768E7	4.537722E7	4.19691E7	3.7098176E7	3.736138E7	2.4339854E7	3.9309604E7	4.4770508E7	4.1833084E7	
sp|Q6NZ09|ADRM1_DANRE	Q6NZ09	ADRM1_DANRE	adrm1b	410	Danio rerio	1:Experimental evidence at protein level	Proteasomal ubiquitin receptor ADRM1	1.0	0.999	3	49	49	49	2	2	4	2	2	2	2	1	1	2	3	2	2	3	4	2	2	2	1	2	0	2	1	3	2	2	4	2	2	2	2	1	1	2	3	2	2	3	4	2	2	2	1	2	0	2	1	3	2	2	4	2	2	2	2	1	1	2	3	2	2	3	4	2	2	2	1	2	0	2	1	3	1.03583048E8	8.7218832E7	8.6258808E7	1.01957592E8	1.06383112E8	1.04874688E8	9.4111112E7	9.6843976E7	6.6510808E7	8.0209336E7	8.8577752E7	9.4693648E7	1.24502496E8	1.24668856E8	1.007256E8	1.25882352E8	1.04125744E8	1.17332296E8	1.15189992E8	1.07153312E8	8.206048E7	1.13904024E8	1.06293568E8	1.21111184E8	6.5040388E7	5.8579316E7	6.2821172E7	6.3505004E7	6.3287196E7	6.7132904E7	6.0191156E7	5.8345756E7	2.011035E7	3.813104E7	4.9859328E7	6.1440956E7	7.6784848E7	7.7446672E7	6.2649112E7	8.2827616E7	6.5266596E7	7.3560104E7	7.0500656E7	6.6336132E7	5.9538676E7	7.1218192E7	6.5196732E7	7.653668E7	
sp|Q6NZ18|KHDC4_DANRE	Q6NZ18	KHDC4_DANRE	khdc4	570	Danio rerio	2:Experimental evidence at transcript level	KH homology domain-containing protein 4	1.0	0.999	4	8	8	8	0	0	1	0	0	1	1	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	1	5801672.0	4425760.5	2.71702304E8	3391089.2	5333888.0	4936312.5	3996571.5	5289578.5	3135148.2	3629149.8	0.0	4384222.0	6268107.0	5778312.0	4820958.0	6148431.0	5327030.5	7104133.0	6231767.5	6371788.0	0.0	7345136.0	6241484.0	6834913.0	7005471.0	5344069.5	5101780.0	4094712.2	6440626.0	5960556.5	4825827.0	6387122.5	3785665.8	4382168.5	0.0	5293912.0	7568687.5	6977264.0	5821267.0	7424180.0	6432345.5	8578182.0	7524808.0	7693881.5	0.0	8869191.0	7536540.5	8253101.0	
sp|Q6NZ22|MET14_DANRE	Q6NZ22	MET14_DANRE	mettl14	455	Danio rerio	2:Experimental evidence at transcript level	N6-adenosine-methyltransferase non-catalytic subunit	1.0	0.999	4	33	33	33	1	1	0	1	1	0	1	1	1	2	1	1	4	2	1	3	1	2	2	1	0	3	2	1	1	1	0	1	1	0	1	1	1	2	1	1	4	2	1	3	1	2	2	1	0	3	2	1	1	1	0	1	1	0	1	1	1	2	1	1	4	2	1	3	1	2	2	1	0	3	2	1	0.0	0.0	0.0	864503.75	4100045.8	0.0	0.0	1116120.1	0.0	0.0	0.0	0.0	3753282.0	7231805.5	1053714.6	2388229.8	2831237.8	4851286.0	6016445.5	3470366.5	0.0	3304615.0	4233807.5	4660209.0	0.0	0.0	0.0	893044.8	4235406.0	0.0	0.0	1152968.1	0.0	0.0	0.0	0.0	2429570.8	4596531.0	1088502.4	1207187.6	2924709.2	3090971.8	3900755.5	5937815.5	0.0	3413714.8	2721046.2	2839239.5	
sp|Q6NZS4|RTCB_DANRE	Q6NZS4	RTCB_DANRE	rtcb	505	Danio rerio	2:Experimental evidence at transcript level	RNA-splicing ligase RtcB homolog	1.0	0.999	20	278	278	278	11	8	9	12	11	13	11	10	7	10	6	10	16	16	13	12	12	17	16	17	2	14	15	10	11	8	9	12	11	13	11	10	7	10	6	10	16	16	13	12	12	17	16	17	2	14	15	10	11	8	9	12	11	13	11	10	7	10	6	10	16	16	13	12	12	17	16	17	2	14	15	10	1.79578272E8	1.57018176E8	2.30387184E8	2.05590288E8	1.56172848E8	1.93715776E8	2.14033568E8	2.02247712E8	1.37335488E8	1.96159168E8	1.52980848E8	1.62021472E8	3.25282048E8	5.4118413E8	4.9022416E8	2.5418408E8	3.38714304E8	3.05130304E8	3.17655808E8	3.09099008E8	1.94615648E8	2.85864256E8	2.53105376E8	2.40347152E8	4.4806132E7	5.1208396E7	6.0486928E7	5.42858E7	5.0357964E7	5.1035404E7	5.9477936E7	5.1680296E7	4.8426084E7	6.3426788E7	5.6973312E7	5.184496E7	5.1351324E7	5.3982272E7	3.6642424E7	5.3120532E7	5.6701772E7	5.5253868E7	5.951902E7	6.1855992E7	4.3276716E7	5.3606692E7	5.1072292E7	4.6590824E7	
sp|Q6NZT2|CDR2L_DANRE	Q6NZT2	CDR2L_DANRE	cdr2l	464	Danio rerio	2:Experimental evidence at transcript level	Cerebellar degeneration-related protein 2-like	0.9999	0.999	2	9	9	9	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	2	0	0	0	1	1	2	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	2	0	0	0	1	1	2	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	2	0	0	0	1	1	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3877885.0	1460432.8	787938.06	0.0	0.0	0.0	2537822.8	0.0	0.0	0.0	0.0	2050345.5	1672381.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3877885.0	1460432.8	787938.06	0.0	0.0	0.0	2537822.8	0.0	0.0	0.0	0.0	2050345.5	1672381.1	
sp|Q6NZT6|I2B2A_DANRE	Q6NZT6	I2B2A_DANRE	irf2bp2a	491	Danio rerio	2:Experimental evidence at transcript level	Interferon regulatory factor 2-binding protein 2-A	1.0	0.999	7	61	19	61	2	1	0	1	3	1	0	3	4	2	2	3	4	5	2	2	2	5	1	1	1	6	3	7	1	0	0	0	2	0	0	1	2	1	0	2	1	1	0	0	1	1	0	1	0	1	1	3	2	1	0	1	3	1	0	3	4	2	2	3	4	5	2	2	2	5	1	1	1	6	3	7	1.3810044E7	6713578.5	0.0	1.1162324E7	1.743511E7	1.7330106E7	8067246.0	1.70642E7	2.0739078E7	1.3243516E7	6341463.0	1.3887539E7	4.1987012E7	3.0694724E7	3.753046E7	1.2449974E7	3.0806502E7	5.5776448E7	1.85912E7	3.6958504E7	1.0377137E7	3.871888E7	3.1583398E7	6.6758824E7	1.2943332E7	1.0010563E7	0.0	1.0043799E7	1.3937888E7	1.1033077E7	4671694.5	8147382.0	1.1830083E7	1.2596028E7	9455705.0	7224655.5	1.3996673E7	1.0429159E7	1.3341588E7	9196613.0	1.2443596E7	1.3292236E7	7953996.5	7755771.0	1.713526E7	1.7812822E7	1.3805815E7	1.73578E7	
sp|Q6NZW0|C102A_DANRE	Q6NZW0	C102A_DANRE	ccdc102a	581	Danio rerio	2:Experimental evidence at transcript level	Coiled-coil domain-containing protein 102A	1.0	0.9989	4	9	9	9	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	2	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	2	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	2	1	0	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.153158E8	6.0740608E7	4.7761788E7	2996899.5	1.15837984E8	1.33986208E8	1.24995632E8	1.43990112E8	2.32769136E8	8.2343712E7	1.13602368E8	8.432072E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.6774336E7	5.965124E7	3.5940412E7	1.0059952E8	7.6998056E7	7.0653752E7	9.1689968E7	1.09222992E8	1.64998016E8	6.252556E7	8.5484992E7	6.0554032E7	
sp|Q6NZW8|AR8BA_DANRE	Q6NZW8	AR8BA_DANRE	arl8ba	186	Danio rerio	2:Experimental evidence at transcript level	ADP-ribosylation factor-like protein 8B-A	1.0	0.999	8	102	102	102	4	6	4	5	6	3	5	4	3	2	2	2	5	8	7	6	3	2	6	5	1	4	5	4	4	6	4	5	6	3	5	4	3	2	2	2	5	8	7	6	3	2	6	5	1	4	5	4	4	6	4	5	6	3	5	4	3	2	2	2	5	8	7	6	3	2	6	5	1	4	5	4	4.7825244E7	4.2687604E7	4.949698E7	4.3066832E7	7.3123768E7	4.0592592E7	2.9702044E7	4.8784904E7	3.7204928E7	3.438992E7	2.4381476E7	4.331772E7	4.0531716E7	1.31581456E8	5.8781332E7	6.5355664E7	3.4726488E7	4.8814024E7	4.339036E7	5.9847544E7	5.2368568E7	4.4258816E7	4.1857696E7	1.9604844E7	2.1455538E7	2.1131926E7	2.0163974E7	2.3211224E7	2.6935942E7	2.4994952E7	2.1743646E7	2.1896214E7	1.8099468E7	1.4607852E7	1.8885402E7	1.9368386E7	1.3381922E7	2.3958142E7	1.5690912E7	1.9295332E7	1.7397404E7	1.6827278E7	1.7158502E7	2.0128158E7	1.61985296E8	1.492487E7	1.7603428E7	1.608591E7	
sp|Q6NZZ3|CF120_DANRE	Q6NZZ3	CF120_DANRE	zgc:77929	186	Danio rerio	2:Experimental evidence at transcript level	UPF0669 protein C6orf120 homolog	0.951	0.9987	1	2	2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q6NZZ9|RBM22_DANRE	Q6NZZ9	RBM22_DANRE	rbm22	425	Danio rerio	2:Experimental evidence at transcript level	Pre-mRNA-splicing factor RBM22	1.0	0.999	10	86	86	86	5	2	0	2	4	4	1	3	3	1	4	3	6	3	5	3	3	5	4	4	0	7	7	7	5	2	0	2	4	4	1	3	3	1	4	3	6	3	5	3	3	5	4	4	0	7	7	7	5	2	0	2	4	4	1	3	3	1	4	3	6	3	5	3	3	5	4	4	0	7	7	7	4.555952E7	2.0551734E7	1.7217902E7	2.3243266E7	3.5109212E7	3.0839624E7	1.9001924E7	3.2055616E7	2.7313112E7	3.2642338E7	4.1171568E7	3.0153426E7	5.820786E7	5.4237096E7	3.5203608E7	4.9713912E7	7.2524816E7	6.3383588E7	5.524242E7	5.0046584E7	0.0	8.2268976E7	7.5862904E7	8.865652E7	1.75965E7	1.3076343E7	1.0980422E7	1.6347698E7	2.520758E7	1.9820766E7	1.2738314E7	1.1950017E7	1.1406311E7	1.1487948E7	1.4690667E7	1.3786314E7	2.8481312E7	1.9329114E7	2.0928774E7	1.6036714E7	2.5569164E7	2.4979284E7	1.7807032E7	1.7923624E7	0.0	2.7608052E7	2.5069056E7	2.8284396E7	
sp|Q6P011|EMC4_DANRE	Q6P011	EMC4_DANRE	emc4	189	Danio rerio	2:Experimental evidence at transcript level	ER membrane protein complex subunit 4	0.9999	0.999	3	38	38	38	3	2	0	2	1	2	0	2	2	0	2	2	2	1	3	2	1	1	2	0	0	2	3	3	3	2	0	2	1	2	0	2	2	0	2	2	2	1	3	2	1	1	2	0	0	2	3	3	3	2	0	2	1	2	0	2	2	0	2	2	2	1	3	2	1	1	2	0	0	2	3	3	1.1963884E7	6993362.0	0.0	1.4029584E7	2.3391868E7	2.1216396E7	5590628.0	1.2041881E7	1.8202256E7	7015297.0	0.0	1.8904552E7	2.1141742E7	2.0965284E7	1.1180198E7	5722821.0	1.91297E7	1.3999628E7	4056741.0	4302058.0	0.0	1.799221E7	1.3283258E7	1.5908911E7	8771806.0	5373244.5	0.0	1.4029584E7	1.4750065E7	1.5902346E7	3863872.2	8941597.0	1.3783059E7	7015297.0	0.0	1.375443E7	1.6241748E7	1.5472397E7	8599328.0	4391127.5	1.3911456E7	1.084988E7	4056741.0	4302058.0	0.0	1.293328E7	9531687.0	8476090.0	
sp|Q6P026|BAF_DANRE	Q6P026	BAF_DANRE	banf1	90	Danio rerio	1:Experimental evidence at protein level	Barrier-to-autointegration factor	1.0	0.999	7	163	163	163	6	8	7	7	7	6	6	7	7	7	9	6	5	5	8	7	6	5	7	6	13	6	6	6	6	8	7	7	7	6	6	7	7	7	9	6	5	5	8	7	6	5	7	6	13	6	6	6	6	8	7	7	7	6	6	7	7	7	9	6	5	5	8	7	6	5	7	6	13	6	6	6	5.6364762E8	5.967223E8	6.2259264E8	5.5972013E8	4.1795136E8	4.84586048E8	4.60787072E8	5.4105088E8	6.2905536E8	4.7375472E8	5.7705306E8	5.9080467E8	3.13380032E8	4.68005824E8	4.9405552E8	4.11505088E8	4.5113904E8	3.47829216E8	6.3457069E8	3.93506496E8	2.77882496E9	4.4569312E8	3.32426272E8	3.97996512E8	2.11937792E8	2.334988E8	2.61076384E8	2.29370304E8	1.56895632E8	1.77389552E8	1.78035712E8	2.042832E8	2.38103232E8	1.94049152E8	2.3572896E8	2.32569312E8	1.21521112E8	1.90840896E8	1.8892352E8	1.65848128E8	1.77002272E8	1.40784688E8	2.79977344E8	1.57836448E8	1.36553779E9	1.78142544E8	1.4582288E8	1.67642096E8	
