Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	24hpf_FT1_1 Spectral Count	24hpf_FT1_2 Spectral Count	24hpf_FT1_3 Spectral Count	24hpf_pH11_1 Spectral Count	24hpf_pH11_2 Spectral Count	24hpf_pH11_3 Spectral Count	24hpf_pH2_1 Spectral Count	24hpf_pH2_2 Spectral Count	24hpf_pH2_3 Spectral Count	24hpf_pH5_1 Spectral Count	24hpf_pH5_2 Spectral Count	24hpf_pH5_3 Spectral Count	24hpf_pH8_1 Spectral Count	24hpf_pH8_2 Spectral Count	24hpf_pH8_3 Spectral Count	24hpf_FT1_1 Unique Spectral Count	24hpf_FT1_2 Unique Spectral Count	24hpf_FT1_3 Unique Spectral Count	24hpf_pH11_1 Unique Spectral Count	24hpf_pH11_2 Unique Spectral Count	24hpf_pH11_3 Unique Spectral Count	24hpf_pH2_1 Unique Spectral Count	24hpf_pH2_2 Unique Spectral Count	24hpf_pH2_3 Unique Spectral Count	24hpf_pH5_1 Unique Spectral Count	24hpf_pH5_2 Unique Spectral Count	24hpf_pH5_3 Unique Spectral Count	24hpf_pH8_1 Unique Spectral Count	24hpf_pH8_2 Unique Spectral Count	24hpf_pH8_3 Unique Spectral Count	24hpf_FT1_1 Total Spectral Count	24hpf_FT1_2 Total Spectral Count	24hpf_FT1_3 Total Spectral Count	24hpf_pH11_1 Total Spectral Count	24hpf_pH11_2 Total Spectral Count	24hpf_pH11_3 Total Spectral Count	24hpf_pH2_1 Total Spectral Count	24hpf_pH2_2 Total Spectral Count	24hpf_pH2_3 Total Spectral Count	24hpf_pH5_1 Total Spectral Count	24hpf_pH5_2 Total Spectral Count	24hpf_pH5_3 Total Spectral Count	24hpf_pH8_1 Total Spectral Count	24hpf_pH8_2 Total Spectral Count	24hpf_pH8_3 Total Spectral Count	24hpf_FT1_1 Intensity	24hpf_FT1_2 Intensity	24hpf_FT1_3 Intensity	24hpf_pH11_1 Intensity	24hpf_pH11_2 Intensity	24hpf_pH11_3 Intensity	24hpf_pH2_1 Intensity	24hpf_pH2_2 Intensity	24hpf_pH2_3 Intensity	24hpf_pH5_1 Intensity	24hpf_pH5_2 Intensity	24hpf_pH5_3 Intensity	24hpf_pH8_1 Intensity	24hpf_pH8_2 Intensity	24hpf_pH8_3 Intensity	24hpf_FT1_1 MaxLFQ Intensity	24hpf_FT1_2 MaxLFQ Intensity	24hpf_FT1_3 MaxLFQ Intensity	24hpf_pH11_1 MaxLFQ Intensity	24hpf_pH11_2 MaxLFQ Intensity	24hpf_pH11_3 MaxLFQ Intensity	24hpf_pH2_1 MaxLFQ Intensity	24hpf_pH2_2 MaxLFQ Intensity	24hpf_pH2_3 MaxLFQ Intensity	24hpf_pH5_1 MaxLFQ Intensity	24hpf_pH5_2 MaxLFQ Intensity	24hpf_pH5_3 MaxLFQ Intensity	24hpf_pH8_1 MaxLFQ Intensity	24hpf_pH8_2 MaxLFQ Intensity	24hpf_pH8_3 MaxLFQ Intensity	Indistinguishable Proteins
sp|F1Q514|EXO5_DANRE	F1Q514	EXO5_DANRE	exo5	394	Danio rerio	3:Protein inferred from homology	Exonuclease V	0.9691	0.9962	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|F1Q575|NNRD_DANRE	F1Q575	NNRD_DANRE	naxd	330	Danio rerio	3:Protein inferred from homology	ATP-dependent (S)-NAD(P)H-hydrate dehydratase	1.0	0.999	13	70	70	70	3	1	1	4	6	6	11	7	9	4	6	4	4	1	3	3	1	1	4	6	6	11	7	9	4	6	4	4	1	3	3	1	1	4	6	6	11	7	9	4	6	4	4	1	3	4.0074128E7	1.3884124E7	0.0	5.8994616E7	6.2724088E7	3.0799942E7	1.43742752E8	2.7828182E7	2.83530112E8	4.0646936E7	3.3536328E7	1.0265639E7	4.4495948E7	4.2680936E7	5.2580832E7	1.39081008E8	2.09784192E8	0.0	3.9867628E7	2.2921672E7	2.1968252E7	7944312.0	1.1117197E7	4.3589936E7	1.7719604E7	5.297494E7	1.9390354E7	1.596609E7	3.1867718E7	2.0458918E7	
sp|F1Q749|DKC1_DANRE	F1Q749	DKC1_DANRE	dkc1	506	Danio rerio	2:Experimental evidence at transcript level	H/ACA ribonucleoprotein complex subunit DKC1	1.0	0.999	18	170	170	170	10	9	6	15	13	12	19	23	16	13	4	5	7	11	7	10	9	6	15	13	12	19	23	16	13	4	5	7	11	7	10	9	6	15	13	12	19	23	16	13	4	5	7	11	7	8.4528848E7	1.1518344E8	3.8195932E7	4.08421184E8	1.52733376E8	1.09007064E8	8.6128826E8	1.9550121E9	1.26444224E9	5.7257779E8	1.1617036E8	4.3840832E7	1.97583488E8	1.61917776E8	8.2006144E7	1.10456544E8	1.09327928E8	4.9926132E7	1.29370984E8	6.0277504E7	3.3917612E7	8.3596936E7	2.16094096E8	2.0256296E8	1.5823312E8	1.1263828E8	3.7288864E7	3.2750464E7	4.3583224E7	6.3784376E7	
sp|F1Q7H8|ZD20A_DANRE	F1Q7H8	ZD20A_DANRE	zdhhc20a	357	Danio rerio	2:Experimental evidence at transcript level	Palmitoyltransferase ZDHHC20-A	0.9986	0.9878	3	4	4	4	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0.0	0.0	0.0	0.0	1114313.1	0.0	0.0	0.0	0.0	0.0	5800970.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|F1Q8J0|RNPC3_DANRE	F1Q8J0	RNPC3_DANRE	rnpc3	505	Danio rerio	2:Experimental evidence at transcript level	RNA-binding region-containing protein 3	0.9999	0.9987	4	7	7	7	0	0	0	1	0	0	1	0	0	1	0	0	2	1	1	0	0	0	1	0	0	1	0	0	1	0	0	2	1	1	0	0	0	1	0	0	1	0	0	1	0	0	2	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1217423E7	0.0	0.0	1.2632243E7	1.0640134E7	8958875.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2632243E7	1.0640134E7	8958875.0	
sp|F1Q8R9|POMT2_DANRE	F1Q8R9	POMT2_DANRE	pomt2	756	Danio rerio	1:Experimental evidence at protein level	Protein O-mannosyl-transferase 2	0.9999	0.9987	3	3	3	3	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0.0	137109.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6094141.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|F1Q8W0|CATIN_DANRE	F1Q8W0	CATIN_DANRE	cactin	835	Danio rerio	2:Experimental evidence at transcript level	Splicing factor Cactin	1.0	0.999	19	136	136	136	2	4	2	21	15	12	2	8	6	11	10	9	9	12	13	2	4	2	21	15	12	2	8	6	11	10	9	9	12	13	2	4	2	21	15	12	2	8	6	11	10	9	9	12	13	1118133.2	181777.39	6330543.5	2.1068512E8	4.9584308E7	3.6746108E7	7.757456E7	2.67575296E8	2.22794672E8	3.23003328E8	2.10546416E8	1.08404784E8	8.0297456E7	1.0592452E8	9.0090704E7	1118133.2	0.0	6330543.5	4.6086404E7	1.776639E7	1.6819806E7	1.52892896E8	8.0289592E7	1.71634832E8	5.105012E7	2.9896778E7	2.7693774E7	3.1752764E7	3.2770016E7	2.2281966E7	
sp|F1Q8X5|FERM2_DANRE	F1Q8X5	FERM2_DANRE	fermt2	684	Danio rerio	2:Experimental evidence at transcript level	Fermitin family homolog 2	1.0	0.999	24	116	116	116	4	7	7	8	9	7	13	13	14	5	6	5	4	9	5	4	7	7	8	9	7	13	13	14	5	6	5	4	9	5	4	7	7	8	9	7	13	13	14	5	6	5	4	9	5	2.5242086E7	3.6833516E7	2.0270288E7	7.6476288E7	2.7023286E7	2.3271324E7	5.3984448E8	1.75650144E8	4.9805264E8	1.90475968E8	5.6581172E7	4.776204E7	6.0293784E7	8.1987616E7	3.6212968E7	1.0844852E8	8.7028088E7	6.432578E7	2.6818884E7	7842211.0	7996329.0	2.31388736E8	6.9780088E7	3.04126656E8	3.602754E7	1.8028386E7	1.5576054E7	4.454146E7	2.889293E7	1.3572661E7	
sp|F1QAJ4|GATA_DANRE	F1QAJ4	GATA_DANRE	qrsl1	536	Danio rerio	2:Experimental evidence at transcript level	Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial	1.0	0.999	14	50	50	50	1	2	2	3	4	4	5	12	6	4	2	2	2	1	0	1	2	2	3	4	4	5	12	6	4	2	2	2	1	0	1	2	2	3	4	4	5	12	6	4	2	2	2	1	0	0.0	398514.78	0.0	3.458314E7	1.7579762E7	1.9782608E7	4.3160508E7	1.22546536E8	7227422.0	1.0964359E7	1.52034E7	3511414.0	0.0	1.0550031E7	0.0	0.0	0.0	0.0	1.7679348E7	9024729.0	8360767.0	3.8853188E7	3.4945548E7	4352763.0	1.7649322E7	1.52034E7	3511414.0	0.0	0.0	0.0	
sp|F1QAM1|ZDHC4_DANRE	F1QAM1	ZDHC4_DANRE	zdhhc4	345	Danio rerio	2:Experimental evidence at transcript level	Palmitoyltransferase ZDHHC4	0.9741	0.999	2	5	5	5	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6674379E7	0.0	4496637.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|F1QB30|AMFR_DANRE	F1QB30	AMFR_DANRE	amfra	620	Danio rerio	1:Experimental evidence at protein level	E3 ubiquitin-protein ligase AMFR	0.9999	0.999	3	8	8	8	0	2	2	0	0	0	1	2	1	0	0	0	0	0	0	0	2	2	0	0	0	1	2	1	0	0	0	0	0	0	0	2	2	0	0	0	1	2	1	0	0	0	0	0	0	0.0	4324962.0	2952205.5	0.0	0.0	0.0	0.0	4526457.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4324962.0	2634768.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|F1QB54|PABPA_DANRE	F1QB54	PABPA_DANRE	pabpc1a	634	Danio rerio	1:Experimental evidence at protein level	Polyadenylate-binding protein 1A	1.0	0.999	32	404	404	404	21	15	23	26	26	31	31	29	37	29	31	34	22	24	25	21	15	23	26	26	31	31	29	37	29	31	34	22	24	25	21	15	23	26	26	31	31	29	37	29	31	34	22	24	25	2.76059072E8	2.75906432E8	2.31110032E8	1.04982144E9	7.3185523E8	6.1011488E8	6.0193766E9	6.7006956E9	6.0791404E9	2.33494682E9	1.1032791E9	1.38323725E9	2.2945321E9	1.09636928E9	8.7402771E8	1.9578408E8	1.98104752E8	1.01648352E8	5.8515635E8	3.3247472E8	2.565156E8	2.09795856E8	3.45798144E8	4.87735488E8	5.5767264E8	3.4666704E8	3.08300704E8	6.5644429E8	4.27642144E8	3.47360928E8	
sp|F1QBY1|NIPLB_DANRE	F1QBY1	NIPLB_DANRE	nipblb	2876	Danio rerio	2:Experimental evidence at transcript level	Nipped-B-like protein B	1.0	0.999	50	198	164	198	12	17	16	18	22	18	12	16	10	6	8	9	4	15	15	9	16	15	13	18	15	11	13	8	5	7	8	3	11	12	12	17	16	18	22	18	12	16	10	6	8	9	4	15	15	4.637632E7	5.2034416E7	2.4920066E7	1.52735264E8	6.0272464E7	3.4091012E7	2.57575952E8	3.07216352E8	1.28827952E8	3.5648188E7	1.18694608E8	8.9727376E7	9.86384E7	2.01968272E8	1.64073904E8	2.1957206E7	5966780.0	3315473.8	6.1193992E7	2.308759E7	1.9523124E7	9.4386968E7	5.4905088E7	2.2003218E7	2.528958E7	6.6856976E7	4.4935252E7	4.00998E7	4.0616152E7	3.076317E7	
sp|F1QC17|EMI1A_DANRE	F1QC17	EMI1A_DANRE	emilin1a	1014	Danio rerio	3:Protein inferred from homology	EMILIN-1-A	1.0	0.9989	4	5	5	5	0	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0.0	134146.12	0.0	0.0	3398123.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|F1QC45|XRP2_DANRE	F1QC45	XRP2_DANRE	rp2	376	Danio rerio	1:Experimental evidence at protein level	Protein XRP2	1.0	0.999	4	21	21	21	3	2	4	1	3	6	1	0	1	0	0	0	0	0	0	3	2	4	1	3	6	1	0	1	0	0	0	0	0	0	3	2	4	1	3	6	1	0	1	0	0	0	0	0	0	844098.8	255921.27	2169817.0	0.0	3249289.8	4138798.5	3.8859308E7	0.0	9.26118E7	0.0	0.0	0.0	0.0	0.0	0.0	1563037.8	473895.44	176449.14	0.0	6016786.5	7663911.0	3.8859308E7	0.0	8.785248E7	0.0	0.0	0.0	0.0	0.0	0.0	
sp|F1QCN0|GAL3A_DANRE	F1QCN0	GAL3A_DANRE	gatd3	262	Danio rerio	3:Protein inferred from homology	Glutamine amidotransferase-like class 1 domain-containing protein 3, mitochondrial	1.0	0.999	10	129	129	129	4	8	5	8	7	4	6	9	11	12	15	14	13	7	6	4	8	5	8	7	4	6	9	11	12	15	14	13	7	6	4	8	5	8	7	4	6	9	11	12	15	14	13	7	6	6.1751696E7	9.2739648E7	5.0160996E7	1.90775776E8	1.4629832E8	7.3474976E7	6.9592864E7	2.09533472E8	2.9739392E8	5.5483968E8	3.77991904E8	2.78848288E8	3.0521152E8	1.700052E8	1.30910336E8	3.9588112E7	5.7767696E7	8.26664E7	1.26020712E8	8.3297104E7	7.8474704E7	9880767.0	3.3130762E7	3.7267704E7	9.6758952E7	1.03588136E8	4.20641E7	7.2002904E7	8.0825232E7	6.7058428E7	
sp|F1QCV2|HDA10_DANRE	F1QCV2	HDA10_DANRE	hdac10	675	Danio rerio	1:Experimental evidence at protein level	Polyamine deacetylase HDAC10	1.0	0.999	19	102	102	102	3	2	3	9	5	2	10	12	9	2	11	7	5	9	13	3	2	3	9	5	2	10	12	9	2	11	7	5	9	13	3	2	3	9	5	2	10	12	9	2	11	7	5	9	13	6315847.0	4302690.5	6940910.0	3.3531784E7	1.850307E7	6245058.5	3.82815424E8	2.66623424E8	4.07457248E8	4.023384E7	1.19583792E8	8.2086768E7	1.70760864E8	1.34142496E8	8.14946E7	1.9164366E7	3.6906296E7	3.2363106E7	1.8808668E7	8371990.0	5153287.5	2.4990442E7	3.8608264E7	4.5625332E7	4.9620336E7	2.9611442E7	2.500108E7	6.2225644E7	2.551866E7	1.4575361E7	
sp|F1QCY8|SPAT2_DANRE	F1QCY8	SPAT2_DANRE	spata2	550	Danio rerio	2:Experimental evidence at transcript level	Spermatogenesis-associated protein 2	0.6684	0.9736	2	2	2	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|F1QDI9|MCM9_DANRE	F1QDI9	MCM9_DANRE	mcm9	1133	Danio rerio	3:Protein inferred from homology	DNA helicase MCM9	0.9989	0.9633	3	4	4	4	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.8987992E7	0.0	1.8424688E7	4.5401376E7	2.8593596E7	2.7015652E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.8987992E7	0.0	1.8424688E7	4.5401376E7	2.8593596E7	2.7015652E7	
sp|F1QEB7|WDR11_DANRE	F1QEB7	WDR11_DANRE	wdr11	1239	Danio rerio	2:Experimental evidence at transcript level	WD repeat-containing protein 11	1.0	0.999	15	64	64	64	0	3	1	7	6	4	0	4	2	4	6	10	8	7	2	0	3	1	7	6	4	0	4	2	4	6	10	8	7	2	0	3	1	7	6	4	0	4	2	4	6	10	8	7	2	0.0	990423.8	470594.88	4.2407964E7	2.1437798E7	8236788.0	0.0	8202482.5	5870154.0	6.6752312E7	6.957748E7	3.5826816E7	3.616658E7	3.7869664E7	3.3738496E7	0.0	1213461.6	0.0	2.1253442E7	9253904.0	4569995.5	0.0	1.2510272E7	5.5253192E7	4.0391264E7	1.2906276E7	6659061.0	1.6720833E7	7131992.0	1.0720064E7	
sp|F1QEG2|KL41B_DANRE	F1QEG2	KL41B_DANRE	klhl41b	605	Danio rerio	2:Experimental evidence at transcript level	Kelch-like protein 41b	1.0	0.999	24	138	136	138	8	7	6	8	6	4	21	21	19	5	8	7	6	4	8	8	7	6	8	6	4	21	21	19	5	8	6	6	4	7	8	7	6	8	6	4	21	21	19	5	8	7	6	4	8	1.18493312E8	6.5919052E7	3.2565588E7	2.13569152E8	9.260868E7	6.54591E7	1.15668595E9	2.04230963E9	1.79833523E9	3.62239456E8	2.03734176E8	1.34233056E8	4.80017792E8	2.72687328E8	1.08682552E8	1.99056512E8	1.65614E8	2.04089536E8	1.27206672E8	7.9338496E7	5.1851128E7	3.461906E7	8.4571208E7	3.3184208E7	1.59742144E8	1.04078176E8	5.3164196E7	1.41154608E8	7.1959024E7	7.1142384E7	
sp|F1QF89|POMT1_DANRE	F1QF89	POMT1_DANRE	pomt1	720	Danio rerio	1:Experimental evidence at protein level	Protein O-mannosyl-transferase 1	0.9995	0.9978	2	8	8	8	0	0	0	1	0	1	0	0	0	0	2	3	1	0	0	0	0	0	1	0	1	0	0	0	0	2	3	1	0	0	0	0	0	1	0	1	0	0	0	0	2	3	1	0	0	0.0	0.0	0.0	8585686.0	0.0	0.0	0.0	0.0	0.0	0.0	7159693.0	7532825.5	8059136.5	0.0	0.0	0.0	0.0	0.0	8585686.0	0.0	0.0	0.0	0.0	0.0	0.0	7159693.0	7532825.5	8059136.5	0.0	0.0	
sp|F1QFS9|UBP13_DANRE	F1QFS9	UBP13_DANRE	usp13	860	Danio rerio	2:Experimental evidence at transcript level	Ubiquitin carboxyl-terminal hydrolase 13	1.0	0.999	20	66	66	66	1	3	1	4	1	1	19	12	12	4	3	2	3	0	0	1	3	1	4	1	1	19	12	12	4	3	2	3	0	0	1	3	1	4	1	1	19	12	12	4	3	2	3	0	0	0.0	3010203.5	4332051.5	0.0	0.0	9479407.0	2.74256864E8	1.33019912E8	1.33875448E8	3.1722656E7	1.1865901E7	1.6703952E7	3.6259384E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2003082E7	1.708232E7	1.0688141E7	2.299199E7	4.549142E7	3.1355438E7	6.2947404E7	0.0	0.0	
sp|F1QGC8|DTD1_DANRE	F1QGC8	DTD1_DANRE	dtd1	207	Danio rerio	1:Experimental evidence at protein level	D-aminoacyl-tRNA deacylase 1	1.0	0.999	3	11	11	11	2	1	2	2	1	2	0	1	0	0	0	0	0	0	0	2	1	2	2	1	2	0	1	0	0	0	0	0	0	0	2	1	2	2	1	2	0	1	0	0	0	0	0	0	0	1.1850815E7	7852933.5	1.0684283E7	1.8170366E7	9392508.0	1.2469033E7	0.0	1265894.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0914226E7	1.3858796E7	1.434747E7	8884068.0	6431846.0	6205952.5	0.0	866865.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|F1QGD2|ZDH24_DANRE	F1QGD2	ZDH24_DANRE	zdhhc24	295	Danio rerio	2:Experimental evidence at transcript level	Probable palmitoyltransferase ZDHHC24	0.9683	0.9988	1	13	13	13	0	0	0	2	1	3	0	0	0	0	2	2	1	1	1	0	0	0	2	1	3	0	0	0	0	2	2	1	1	1	0	0	0	2	1	3	0	0	0	0	2	2	1	1	1	0.0	0.0	0.0	1.9701544E7	714305.3	944461.1	0.0	0.0	0.0	0.0	9850233.0	0.0	5942128.5	1.1104338E7	0.0	0.0	0.0	0.0	1.9701544E7	714305.3	944461.1	0.0	0.0	0.0	0.0	9850233.0	0.0	5942128.5	1.1104338E7	0.0	
sp|F1QGH6|AMER2_DANRE	F1QGH6	AMER2_DANRE	amer2	654	Danio rerio	2:Experimental evidence at transcript level	APC membrane recruitment protein 2	0.6702	0.9594	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|F1QGH7|CTNB1_DANRE	F1QGH7	CTNB1_DANRE	ctnnb1	780	Danio rerio	1:Experimental evidence at protein level	Catenin beta-1	1.0	0.999	26	247	241	247	19	28	26	21	21	18	8	13	13	8	14	15	13	16	14	19	28	26	20	21	18	8	13	13	8	13	14	12	15	13	19	28	26	21	21	18	8	13	13	8	14	15	13	16	14	1.1766828E8	2.0820448E8	1.1224164E8	3.6928304E8	1.266032E8	8.4820208E7	5.29275488E8	3.70787616E8	5.7009037E8	3.2130656E8	2.18640256E8	1.48931344E8	5.01751328E8	2.08717152E8	1.40444992E8	3.3344486E7	6.6277708E7	3.0870758E7	1.03252552E8	6.839124E7	5.489178E7	1.3074279E7	2.2877686E7	1.19783576E8	1.60516832E8	8.0517992E7	6.8593992E7	1.24020536E8	6.9094864E7	7.3942176E7	
sp|F1QGH9|PS11B_DANRE	F1QGH9	PS11B_DANRE	psmd11b	422	Danio rerio	2:Experimental evidence at transcript level	26S proteasome non-ATPase regulatory subunit 11B	1.0	0.999	26	92	92	193	6	6	2	5	4	2	8	10	9	10	8	5	9	4	4	6	6	2	5	4	2	8	10	9	10	8	5	9	4	4	13	14	10	12	12	9	11	14	14	19	14	12	18	10	11	2.6401022E7	4.7904528E7	1.145982E7	2.7660726E7	2.9681152E7	1.7205528E7	4.5246864E8	4.65187264E8	3.311544E8	3.40744352E8	1.7209856E8	6.1783684E7	2.13574272E8	8.026096E7	5.7131584E7	3.3847124E7	3.6395832E7	2.5798612E7	7.3816432E7	2.4748296E7	2.5032186E7	8.2548E7	2.37611264E8	1.4953373E7	2.59588656E8	4.48522E7	3.9751076E7	6.7999264E7	3.0099138E7	3.7291736E7	
sp|F1QGW6|IF2G_DANRE	F1QGW6	IF2G_DANRE	eif2s3	472	Danio rerio	3:Protein inferred from homology	Eukaryotic translation initiation factor 2 subunit 3	1.0	0.999	22	275	275	275	20	20	19	23	20	17	13	17	16	21	18	17	20	20	14	20	20	19	23	20	17	13	17	16	21	18	17	20	20	14	20	20	19	23	20	17	13	17	16	21	18	17	20	20	14	3.04855488E8	3.72010016E8	2.05145888E8	6.6931494E8	3.48829408E8	2.5131464E8	8.038352E8	1.38051725E9	1.60788838E9	9.6028864E8	3.64788992E8	4.09270816E8	9.6268358E8	4.73220096E8	3.77648512E8	1.25851296E8	1.48926256E8	6.9146528E7	1.44624064E8	1.02062944E8	1.0165796E8	1.16451616E8	1.36006736E8	1.27917808E8	1.54206544E8	8.3063512E7	8.5529272E7	1.58151376E8	1.1089156E8	8.8563712E7	
sp|F1QGZ6|MELK_DANRE	F1QGZ6	MELK_DANRE	melk	676	Danio rerio	2:Experimental evidence at transcript level	Maternal embryonic leucine zipper kinase	1.0	0.9988	3	8	8	8	0	0	0	1	2	1	0	0	0	1	0	0	0	1	2	0	0	0	1	2	1	0	0	0	1	0	0	0	1	2	0	0	0	1	2	1	0	0	0	1	0	0	0	1	2	0.0	0.0	0.0	1.3953616E7	4265411.5	5632840.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4818196E7	2.0110742E7	0.0	0.0	0.0	6364956.0	2.0502738E7	2.7075616E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1320845E7	8377463.0	
sp|F1QH17|MCA3A_DANRE	F1QH17	MCA3A_DANRE	mical3a	1994	Danio rerio	2:Experimental evidence at transcript level	Protein-methionine sulfoxide oxidase mical3a	0.9994	0.9976	3	2	2	9	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	2	4	0	0	0	0.0	0.0	0.0	0.0	3075158.2	0.0	0.0	0.0	0.0	0.0	0.0	535564.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|F1QIC4|PHR4A_DANRE	F1QIC4	PHR4A_DANRE	phactr4a	725	Danio rerio	3:Protein inferred from homology	Phosphatase and actin regulator 4A	1.0	0.999	9	16	16	16	1	0	0	1	1	3	5	2	1	0	1	0	0	1	0	1	0	0	1	1	3	5	2	1	0	1	0	0	1	0	1	0	0	1	1	3	5	2	1	0	1	0	0	1	0	801644.3	0.0	0.0	0.0	785664.1	1142040.6	2.1702912E7	9911552.0	9873612.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	785664.1	890000.25	1.1936847E7	9911552.0	9873612.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|F1QJX5|UBR3_DANRE	F1QJX5	UBR3_DANRE	ubr3	1863	Danio rerio	2:Experimental evidence at transcript level	E3 ubiquitin-protein ligase ubr3	1.0	0.999	16	38	38	38	0	2	1	4	1	1	7	4	3	1	6	2	2	3	1	0	2	1	4	1	1	7	4	3	1	6	2	2	3	1	0	2	1	4	1	1	7	4	3	1	6	2	2	3	1	0.0	4490569.0	1103392.2	1.2716074E7	8078073.0	7008747.5	9.309352E7	5.8658152E7	3.8564764E7	1.9546758E7	5.1151448E7	1.1773985E7	7189173.5	1.704099E7	7975081.0	0.0	0.0	0.0	8924690.0	5891036.5	5111217.5	2.6093674E7	3.6365524E7	2.9375788E7	0.0	2.04670112E8	1.4718808E8	5242795.0	7537383.0	5815928.0	
