Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	Bad_oocyte_1 Spectral Count	Good_oocyte_1 Spectral Count	Bad_oocyte_1 Unique Spectral Count	Good_oocyte_1 Unique Spectral Count	Bad_oocyte_1 Total Spectral Count	Good_oocyte_1 Total Spectral Count	Bad_oocyte_1 Intensity	Good_oocyte_1 Intensity	Indistinguishable Proteins
sp|Q6IQE5|GET3_DANRE	Q6IQE5	GET3_DANRE	get3	341	Danio rerio	1:Experimental evidence at protein level	ATPase GET3	1.0	0.9986	3	4	4	4	3	1	3	1	3	1	6.3854904E7	7077364.0	
sp|Q6IQM2|CYC_DANRE	Q6IQM2	CYC_DANRE	cyc	104	Danio rerio	3:Protein inferred from homology	Cytochrome c	1.0	0.9952	3	5	5	5	3	2	3	2	3	2	1.1623628E8	9.586824E7	
sp|Q6IQS6|SAE1_DANRE	Q6IQS6	SAE1_DANRE	sae1	348	Danio rerio	2:Experimental evidence at transcript level	SUMO-activating enzyme subunit 1	1.0	0.9987	11	21	21	21	10	11	10	11	10	11	6.093817E8	2.48646032E8	
sp|Q6NUW5|AN32E_DANRE	Q6NUW5	AN32E_DANRE	anp32e	250	Danio rerio	1:Experimental evidence at protein level	Acidic leucine-rich nuclear phosphoprotein 32 family member E	0.9998	0.991	3	4	4	4	3	1	3	1	3	1	4.6085168E7	4.0775504E7	
sp|Q6NW76|AURKB_DANRE	Q6NW76	AURKB_DANRE	aurkb	320	Danio rerio	2:Experimental evidence at transcript level	Aurora kinase B	0.9136	0.9937	1	1	1	1	1	0	1	0	1	0	5133938.0	0.0	
sp|Q6NWE0|CK054_DANRE	Q6NWE0	CK054_DANRE	zgc:85789	319	Danio rerio	2:Experimental evidence at transcript level	Ester hydrolase C11orf54 homolog	1.0	0.9981	3	3	3	3	1	2	1	2	1	2	1.0591422E7	1.1224052E7	
sp|Q6NX08|WDR12_DANRE	Q6NX08	WDR12_DANRE	wdr12	422	Danio rerio	2:Experimental evidence at transcript level	Ribosome biogenesis protein wdr12	1.0	0.9617	3	3	3	3	1	2	1	2	1	2	7.1513256E7	1.9291086E7	
sp|Q6NXA9|UBXN1_DANRE	Q6NXA9	UBXN1_DANRE	ubxn1	294	Danio rerio	2:Experimental evidence at transcript level	UBX domain-containing protein 1	0.7544	0.9788	1	2	2	2	1	1	1	1	1	1	4186960.0	1698307.5	
sp|Q6NY64|2ABD_DANRE	Q6NY64	2ABD_DANRE	ppp2r2d	447	Danio rerio	2:Experimental evidence at transcript level	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B delta isoform	1.0	0.9788	5	6	6	6	2	4	2	4	2	4	3.7004916E7	2.2868876E7	
sp|Q6NY74|RFA1_DANRE	Q6NY74	RFA1_DANRE	rpa1	601	Danio rerio	1:Experimental evidence at protein level	Replication protein A 70 kDa DNA-binding subunit	1.0	0.9944	8	10	10	10	3	7	3	7	3	7	1.060678E8	1.08966616E8	
sp|Q6NYD7|OCAD1_DANRE	Q6NYD7	OCAD1_DANRE	ociad1	266	Danio rerio	2:Experimental evidence at transcript level	OCIA domain-containing protein 1	1.0	0.9985	5	6	6	6	4	2	4	2	4	2	7.2281152E7	6328747.5	
sp|Q6NYS8|OST48_DANRE	Q6NYS8	OST48_DANRE	ddost	441	Danio rerio	2:Experimental evidence at transcript level	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit	1.0	0.999	15	21	21	21	19	2	19	2	19	2	8.1127795E8	4.7760352E7	
sp|Q6P026|BAF_DANRE	Q6P026	BAF_DANRE	banf1	90	Danio rerio	1:Experimental evidence at protein level	Barrier-to-autointegration factor	1.0	0.9952	3	4	4	4	2	2	2	2	2	2	1.8087516E7	4.1347492E7	
sp|Q6P0D9|CIAO1_DANRE	Q6P0D9	CIAO1_DANRE	ciao1	330	Danio rerio	2:Experimental evidence at transcript level	Probable cytosolic iron-sulfur protein assembly protein ciao1	1.0	0.9981	3	4	4	4	2	2	2	2	2	2	1.1611001E7	8159094.5	
sp|Q6P0E5|DDRGK_DANRE	Q6P0E5	DDRGK_DANRE	ddrgk1	300	Danio rerio	2:Experimental evidence at transcript level	DDRGK domain-containing protein 1	0.9993	0.9966	2	2	2	2	2	0	2	0	2	0	3598439.0	0.0	
sp|Q6P0H6|CSN4_DANRE	Q6P0H6	CSN4_DANRE	cops4	406	Danio rerio	2:Experimental evidence at transcript level	COP9 signalosome complex subunit 4	1.0	0.999	9	11	11	11	8	3	8	3	8	3	1.44446704E8	4856226.5	
sp|Q6P0I8|EXOS6_DANRE	Q6P0I8	EXOS6_DANRE	exosc6	271	Danio rerio	2:Experimental evidence at transcript level	Exosome complex component MTR3	0.6497	0.9654	1	1	1	1	1	0	1	0	1	0	0.0	0.0	
sp|Q6P0V6|RL8_DANRE	Q6P0V6	RL8_DANRE	rpl8	257	Danio rerio	1:Experimental evidence at protein level	Large ribosomal subunit protein uL2	1.0	0.9905	4	4	4	4	0	4	0	4	0	4	0.0	3761843.5	
sp|Q6P298|NUBP1_DANRE	Q6P298	NUBP1_DANRE	nubp1	321	Danio rerio	2:Experimental evidence at transcript level	Cytosolic Fe-S cluster assembly factor nubp1	1.0	0.9975	3	5	5	5	3	2	3	2	3	2	4117753.5	3526781.0	
sp|Q6P2U9|CSN3_DANRE	Q6P2U9	CSN3_DANRE	cops3	423	Danio rerio	2:Experimental evidence at transcript level	COP9 signalosome complex subunit 3	1.0	0.9979	4	7	7	7	5	2	5	2	5	2	5.5031364E7	2.1786646E7	
sp|Q6P3H7|RBBP4_DANRE	Q6P3H7	RBBP4_DANRE	rbbp4	424	Danio rerio	2:Experimental evidence at transcript level	Histone-binding protein RBBP4	1.0	0.9988	6	10	7	10	3	7	2	5	3	7	1.19580648E8	3.4794448E8	
sp|Q6P3J5|EF2_DANRE	Q6P3J5	EF2_DANRE	eef2b	858	Danio rerio	1:Experimental evidence at protein level	Elongation factor 2b	1.0	0.9625	10	15	15	15	6	9	6	9	6	9	4.71937216E8	3.83503072E8	
sp|Q6P5L8|HSDL2_DANRE	Q6P5L8	HSDL2_DANRE	hsdl2	415	Danio rerio	2:Experimental evidence at transcript level	Hydroxysteroid dehydrogenase-like protein 2	1.0	0.999	24	38	38	38	31	7	31	7	31	7	1.1374336E9	7.27384E7	
sp|Q6P5M2|SKI8_DANRE	Q6P5M2	SKI8_DANRE	skic8	305	Danio rerio	2:Experimental evidence at transcript level	Superkiller complex protein 8	1.0	0.9987	3	3	3	3	3	0	3	0	3	0	3.6870968E7	9027994.0	
sp|Q6PBU0|F136A_DANRE	Q6PBU0	F136A_DANRE	fam136a	138	Danio rerio	2:Experimental evidence at transcript level	Protein FAM136A	0.991	0.9952	1	2	2	2	1	1	1	1	1	1	7389717.0	5106980.5	
sp|Q6PBX5|MTND_DANRE	Q6PBX5	MTND_DANRE	adi1	181	Danio rerio	2:Experimental evidence at transcript level	Acireductone dioxygenase	0.7045	0.9729	1	1	1	1	0	1	0	1	0	1	0.0	2.0447012E7	
sp|Q6PBY1|RS3A_DANRE	Q6PBY1	RS3A_DANRE	rps3a	267	Danio rerio	1:Experimental evidence at protein level	Small ribosomal subunit protein eS1	1.0	0.9983	6	9	9	9	7	2	7	2	7	2	1.34267184E8	1.978939E7	
sp|Q6PC30|CSN5_DANRE	Q6PC30	CSN5_DANRE	cops5	334	Danio rerio	2:Experimental evidence at transcript level	COP9 signalosome complex subunit 5	1.0	0.999	7	8	8	8	4	4	4	4	4	4	3.1809996E7	7565040.0	
sp|Q6PD83|5MP2A_DANRE	Q6PD83	5MP2A_DANRE	bzw1a	419	Danio rerio	2:Experimental evidence at transcript level	eIF5-mimic protein 2-A	1.0	0.999	15	20	12	20	18	2	10	2	18	2	7.6561267E8	1.5568836E7	
sp|Q6PE25|EF1G_DANRE	Q6PE25	EF1G_DANRE	eef1g	442	Danio rerio	2:Experimental evidence at transcript level	Elongation factor 1-gamma	1.0	0.999	16	47	47	47	18	29	18	29	18	29	4.8772813E9	2.38862106E9	
sp|Q6PFS7|ATG3_DANRE	Q6PFS7	ATG3_DANRE	atg3	317	Danio rerio	2:Experimental evidence at transcript level	Ubiquitin-like-conjugating enzyme ATG3	1.0	0.9989	3	7	7	7	4	3	4	3	4	3	7.8876584E7	5655509.0	
sp|Q6PG29|SKAP2_DANRE	Q6PG29	SKAP2_DANRE	skap2	341	Danio rerio	2:Experimental evidence at transcript level	Src kinase-associated phosphoprotein 2	0.9995	0.9987	2	2	2	2	2	0	2	0	2	0	2.202909E7	0.0	
sp|Q6PGV1|VA0D1_DANRE	Q6PGV1	VA0D1_DANRE	atp6v0d1	350	Danio rerio	1:Experimental evidence at protein level	V-type proton ATPase subunit d 1	1.0	0.9988	6	8	8	8	4	4	4	4	4	4	5.5754376E7	1.9830122E7	
sp|Q6PH57|GBB1_DANRE	Q6PH57	GBB1_DANRE	gnb1	340	Danio rerio	2:Experimental evidence at transcript level	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	1.0	0.998	4	11	11	11	6	5	6	5	6	5	7.5980912E7	2.4207498E7	
sp|Q6PHD9|SBP1_DANRE	Q6PHD9	SBP1_DANRE	selenbp1	457	Danio rerio	2:Experimental evidence at transcript level	Methanethiol oxidase	1.0	0.996	4	5	5	5	1	4	1	4	1	4	1.293323E7	1.29749728E8	
sp|Q6PHE8|CC124_DANRE	Q6PHE8	CC124_DANRE	ccdc124	216	Danio rerio	2:Experimental evidence at transcript level	Coiled-coil domain-containing protein 124	1.0	0.9806	2	2	2	2	2	0	2	0	2	0	1.4973802E7	8479384.0	
sp|Q6PHG2|HEMO_DANRE	Q6PHG2	HEMO_DANRE	hpx	447	Danio rerio	2:Experimental evidence at transcript level	Hemopexin	1.0	0.9744	3	3	3	3	0	3	0	3	0	3	0.0	2.0212224E7	
sp|Q6PHK6|PURB_DANRE	Q6PHK6	PURB_DANRE	purb	297	Danio rerio	2:Experimental evidence at transcript level	Transcriptional regulator protein Pur-beta	0.9982	0.9717	2	2	2	2	2	0	2	0	2	0	1.0951694E7	0.0	
sp|Q6Q415|RL36_DANRE	Q6Q415	RL36_DANRE	rpl36	105	Danio rerio	1:Experimental evidence at protein level	Large ribosomal subunit protein eL36	1.0	0.9952	3	4	4	4	1	3	1	3	1	3	0.0	1.0892016E7	
sp|Q6QA33|DH12B_DANRE	Q6QA33	DH12B_DANRE	hsd17b12b	311	Danio rerio	2:Experimental evidence at transcript level	Very-long-chain 3-oxoacyl-CoA reductase-B	1.0	0.9977	4	5	3	5	4	1	2	1	4	1	8.4531736E7	4.3148308E7	
sp|Q6TGS6|SYYC_DANRE	Q6TGS6	SYYC_DANRE	yars1	529	Danio rerio	2:Experimental evidence at transcript level	Tyrosine--tRNA ligase, cytoplasmic	1.0	0.9963	8	12	12	12	5	7	5	7	5	7	2.0664848E8	8.9477776E7	
sp|Q6TGU2|SEH1_DANRE	Q6TGU2	SEH1_DANRE	seh1l	364	Danio rerio	2:Experimental evidence at transcript level	Nucleoporin SEH1	0.9999	0.9948	2	2	2	2	2	0	2	0	2	0	7096415.5	0.0	
sp|Q6TGV7|ABRAL_DANRE	Q6TGV7	ABRAL_DANRE	abracl	81	Danio rerio	3:Protein inferred from homology	Costars family protein ABRACL	0.9999	0.9952	2	2	2	2	2	0	2	0	2	0	5.7659804E7	0.0	
sp|Q6TH47|STBPA_DANRE	Q6TH47	STBPA_DANRE	stambpa	418	Danio rerio	2:Experimental evidence at transcript level	STAM-binding protein-like A	0.9471	0.9963	1	1	1	1	1	0	1	0	1	0	738169.3	0.0	
sp|Q6TNU4|FEN1A_DANRE	Q6TNU4	FEN1A_DANRE	fen1	380	Danio rerio	2:Experimental evidence at transcript level	Flap endonuclease 1	1.0	0.9989	7	9	9	9	8	1	8	1	8	1	7.3456024E7	1097080.9	
sp|Q7SX99|FUMH_DANRE	Q7SX99	FUMH_DANRE	fh	509	Danio rerio	2:Experimental evidence at transcript level	Fumarate hydratase, mitochondrial	1.0	0.999	13	28	28	28	9	19	9	19	9	19	7.8880531E8	6.799328E8	
sp|Q7SXF6|CREL2_DANRE	Q7SXF6	CREL2_DANRE	creld2	341	Danio rerio	2:Experimental evidence at transcript level	Cysteine-rich with EGF-like domain protein 2	1.0	0.9969	4	6	6	6	4	2	4	2	4	2	3.0642054E7	1.1231112E7	
sp|Q7SXP2|ULA1_DANRE	Q7SXP2	ULA1_DANRE	nae1	533	Danio rerio	2:Experimental evidence at transcript level	NEDD8-activating enzyme E1 regulatory subunit	1.0	0.9904	4	4	4	4	0	4	0	4	0	4	0.0	1.4545079E7	
sp|Q7SXP4|SRS1A_DANRE	Q7SXP4	SRS1A_DANRE	srsf1a	257	Danio rerio	2:Experimental evidence at transcript level	Serine/arginine-rich splicing factor 1A	1.0	0.9868	5	6	2	6	5	1	1	1	5	1	2.9634594E7	9630759.0	
sp|Q7SXS8|HPF1_DANRE	Q7SXS8	HPF1_DANRE	hpf1	348	Danio rerio	2:Experimental evidence at transcript level	Histone PARylation factor 1	0.9991	0.9957	2	3	3	3	1	2	1	2	1	2	1.1856862E7	1.9539806E7	
sp|Q7SXV9|CALUB_DANRE	Q7SXV9	CALUB_DANRE	calub	315	Danio rerio	2:Experimental evidence at transcript level	Calumenin-B	1.0	0.9987	4	9	9	9	4	5	4	5	4	5	1.44923392E8	5.184128E7	
sp|Q7SXW6|ARP2A_DANRE	Q7SXW6	ARP2A_DANRE	actr2a	394	Danio rerio	2:Experimental evidence at transcript level	Actin-related protein 2-A	1.0	0.9966	6	10	2	10	4	6	1	1	4	6	1.36015648E8	8.7195512E7	
sp|Q7SYK7|AATM_DANRE	Q7SYK7	AATM_DANRE	got2a	428	Danio rerio	2:Experimental evidence at transcript level	Aspartate aminotransferase, mitochondrial	1.0	0.999	22	56	56	56	19	37	19	37	19	37	3.79132774E9	2.07218214E9	
sp|Q7T2A5|EIF3L_DANRE	Q7T2A5	EIF3L_DANRE	eif3l	576	Danio rerio	2:Experimental evidence at transcript level	Eukaryotic translation initiation factor 3 subunit L	1.0	0.9987	14	22	22	22	7	15	7	15	7	15	1.395228E8	2.30703696E8	
sp|Q7T2B9|MTPN_DANRE	Q7T2B9	MTPN_DANRE	mtpn	118	Danio rerio	3:Protein inferred from homology	Myotrophin	1.0	0.9952	4	5	5	5	2	3	2	3	2	3	4.4817184E7	2.5137174E7	
sp|Q7T339|CHMP5_DANRE	Q7T339	CHMP5_DANRE	chmp5	220	Danio rerio	2:Experimental evidence at transcript level	Charged multivesicular body protein 5	0.9977	0.9989	1	1	1	1	1	0	1	0	1	0	3.1927272E7	0.0	
sp|Q7T370|CDV3_DANRE	Q7T370	CDV3_DANRE	cdv3	236	Danio rerio	2:Experimental evidence at transcript level	Protein CDV3 homolog	1.0	0.9989	3	4	4	4	3	1	3	1	3	1	3.8188396E7	5091323.5	
sp|Q7T385|VTC1A_DANRE	Q7T385	VTC1A_DANRE	atp6v1c1a	383	Danio rerio	2:Experimental evidence at transcript level	V-type proton ATPase subunit C 1-A	1.0	0.9986	3	5	3	5	3	2	2	1	3	2	2.7194294E7	8115648.0	
sp|Q7T394|LIS1A_DANRE	Q7T394	LIS1A_DANRE	pafah1b1a	410	Danio rerio	2:Experimental evidence at transcript level	Lissencephaly-1 homolog A	1.0	0.999	15	19	10	19	17	2	9	1	17	2	3.21847872E8	1.0828383E7	
sp|Q7T3B0|EIF3M_DANRE	Q7T3B0	EIF3M_DANRE	eif3m	375	Danio rerio	2:Experimental evidence at transcript level	Eukaryotic translation initiation factor 3 subunit M	1.0	0.9988	5	10	10	10	6	4	6	4	6	4	1.14589784E8	6.460062E7	
sp|Q7T3C7|RT4I1_DANRE	Q7T3C7	RT4I1_DANRE	rtn4ip1	387	Danio rerio	2:Experimental evidence at transcript level	Reticulon-4-interacting protein 1 homolog, mitochondrial	1.0	0.9982	3	3	3	3	1	2	1	2	1	2	1.589617E7	2.1812172E7	
sp|Q7T3E5|KAT3_DANRE	Q7T3E5	KAT3_DANRE	kyat3	450	Danio rerio	2:Experimental evidence at transcript level	Kynurenine--oxoglutarate transaminase 3	0.7623	0.9797	1	1	1	1	1	0	1	0	1	0	4.0380884E7	0.0	
sp|Q7T3F7|CHRD1_DANRE	Q7T3F7	CHRD1_DANRE	chordc1	341	Danio rerio	2:Experimental evidence at transcript level	Cysteine and histidine-rich domain-containing protein 1	1.0	0.9764	4	4	4	4	2	2	2	2	2	2	4.1505116E7	1.2918298E7	
sp|Q7T3H1|DCTN2_DANRE	Q7T3H1	DCTN2_DANRE	dctn2	405	Danio rerio	2:Experimental evidence at transcript level	Dynactin subunit 2	1.0	0.9948	5	6	6	6	2	4	2	4	2	4	4.522464E7	4.0523876E7	
sp|Q7T3H9|HYI_DANRE	Q7T3H9	HYI_DANRE	hyi	276	Danio rerio	2:Experimental evidence at transcript level	Putative hydroxypyruvate isomerase	0.9915	0.9677	2	2	2	2	1	1	1	1	1	1	1.0321786E7	0.0	
sp|Q7ZTY4|RBBP7_DANRE	Q7ZTY4	RBBP7_DANRE	rbbp7	426	Danio rerio	2:Experimental evidence at transcript level	Histone-binding protein RBBP7	1.0	0.999	5	7	7	10	2	5	2	5	3	7	9.762888E7	1.628876E8	
sp|Q7ZU42|OLA1_DANRE	Q7ZU42	OLA1_DANRE	ola1	396	Danio rerio	2:Experimental evidence at transcript level	Obg-like ATPase 1	1.0	0.9989	19	23	23	23	21	2	21	2	21	2	5.7954534E8	2.5672824E7	
sp|Q7ZU80|LNPA_DANRE	Q7ZU80	LNPA_DANRE	lnpka	393	Danio rerio	2:Experimental evidence at transcript level	Endoplasmic reticulum junction formation protein lunapark-A	0.9937	0.9747	2	2	1	2	1	1	0	1	1	1	0.0	2602372.5	
sp|Q7ZUC2|CAB45_DANRE	Q7ZUC2	CAB45_DANRE	sdf4	356	Danio rerio	2:Experimental evidence at transcript level	45 kDa calcium-binding protein	1.0	0.996	3	5	5	5	5	0	5	0	5	0	3.0777484E7	0.0	
sp|Q7ZUC7|PGES2_DANRE	Q7ZUC7	PGES2_DANRE	ptges2	377	Danio rerio	2:Experimental evidence at transcript level	Prostaglandin E synthase 2	1.0	0.9985	3	4	4	4	3	1	3	1	3	1	3.78667E7	1.1545653E7	
sp|Q7ZUP0|AN32A_DANRE	Q7ZUP0	AN32A_DANRE	anp32a	254	Danio rerio	2:Experimental evidence at transcript level	Acidic leucine-rich nuclear phosphoprotein 32 family member A	1.0	0.9965	2	2	2	2	2	0	2	0	2	0	5.31432E7	2.8503304E7	
sp|Q7ZV03|VP26B_DANRE	Q7ZV03	VP26B_DANRE	vps26b	331	Danio rerio	2:Experimental evidence at transcript level	Vacuolar protein sorting-associated protein 26B	0.9984	0.9681	2	4	4	4	2	2	2	2	2	2	6859288.5	2897099.8	
sp|Q7ZV22|MTAP_DANRE	Q7ZV22	MTAP_DANRE	mtap	280	Danio rerio	2:Experimental evidence at transcript level	S-methyl-5'-thioadenosine phosphorylase	1.0	0.9982	10	21	21	21	12	9	12	9	12	9	4.07220896E8	2.56577232E8	
sp|Q7ZV55|EIF3I_DANRE	Q7ZV55	EIF3I_DANRE	eif3i	325	Danio rerio	2:Experimental evidence at transcript level	Eukaryotic translation initiation factor 3 subunit I	1.0	0.999	9	17	17	17	11	6	11	6	11	6	3.1949552E8	6.2163376E7	
sp|Q7ZV60|BCS1_DANRE	Q7ZV60	BCS1_DANRE	bcs1l	420	Danio rerio	2:Experimental evidence at transcript level	Mitochondrial chaperone BCS1	0.6887	0.9708	1	1	1	1	1	0	1	0	1	0	1548937.1	0.0	
sp|Q7ZVA6|IF4A3_DANRE	Q7ZVA6	IF4A3_DANRE	eif4a3	406	Danio rerio	2:Experimental evidence at transcript level	Eukaryotic initiation factor 4A-III	1.0	0.9981	8	12	12	12	10	2	10	2	10	2	5.9234144E8	8.0612256E7	
sp|Q7ZVB2|A9A1A_DANRE	Q7ZVB2	A9A1A_DANRE	aldh9a1a	508	Danio rerio	2:Experimental evidence at transcript level	4-trimethylaminobutyraldehyde dehydrogenase A	1.0	0.9962	16	28	27	28	8	20	8	19	8	20	5.7751661E8	2.05720883E9	
sp|Q7ZVE6|PLGT2_DANRE	Q7ZVE6	PLGT2_DANRE	poglut2	500	Danio rerio	2:Experimental evidence at transcript level	Protein O-glucosyltransferase 2	0.9673	0.9886	1	1	1	1	0	1	0	1	0	1	0.0	6697149.0	
sp|Q7ZVF3|SDHA_DANRE	Q7ZVF3	SDHA_DANRE	sdha	661	Danio rerio	2:Experimental evidence at transcript level	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial	1.0	0.9981	13	25	25	25	11	14	11	14	11	14	6.3822579E8	3.65432704E8	
sp|Q7ZVF9|ACTB2_DANRE	Q7ZVF9	ACTB2_DANRE	actbb	375	Danio rerio	1:Experimental evidence at protein level	Actin, cytoplasmic 2	1.0	0.9989	29	12	12	393	2	10	2	10	196	197	6548298.0	1.17919744E9	
sp|Q7ZVI7|ACTB1_DANRE	Q7ZVI7	ACTB1_DANRE	actba	375	Danio rerio	1:Experimental evidence at protein level	Actin, cytoplasmic 1	1.0	0.999	29	405	24	405	205	200	11	13	205	200	5.6778101E10	2.85192704E10	
sp|Q7ZVM1|WASC5_DANRE	Q7ZVM1	WASC5_DANRE	washc5	1159	Danio rerio	2:Experimental evidence at transcript level	WASH complex subunit 5	0.932	0.9952	1	1	1	1	1	0	1	0	1	0	0.0	0.0	
sp|Q7ZVX6|UBA3_DANRE	Q7ZVX6	UBA3_DANRE	uba3	462	Danio rerio	2:Experimental evidence at transcript level	NEDD8-activating enzyme E1 catalytic subunit	1.0	0.9976	3	4	4	4	1	3	1	3	1	3	1.0999196E7	2.2731996E7	
sp|Q7ZVY5|CISY_DANRE	Q7ZVY5	CISY_DANRE	cs	468	Danio rerio	2:Experimental evidence at transcript level	Citrate synthase, mitochondrial	1.0	0.9983	11	17	17	17	14	3	14	3	14	3	5.8645824E8	8.4673368E7	
sp|Q7ZWD4|UAP1L_DANRE	Q7ZWD4	UAP1L_DANRE	uap1l1	505	Danio rerio	2:Experimental evidence at transcript level	UDP-N-acetylhexosamine pyrophosphorylase-like protein 1	1.0	0.9666	5	6	6	6	1	5	1	5	1	5	1.5531214E7	3.0511696E7	
sp|Q7ZWJ7|RL34_DANRE	Q7ZWJ7	RL34_DANRE	rpl34	117	Danio rerio	1:Experimental evidence at protein level	Large ribosomal subunit protein eL34	0.9916	0.9692	2	3	3	3	1	2	1	2	1	2	1766769.4	1.5887548E7	
sp|Q802F3|SEP15_DANRE	Q802F3	SEP15_DANRE	selenof	153	Danio rerio	2:Experimental evidence at transcript level	Selenoprotein F	0.997	0.9952	2	3	3	3	1	2	1	2	1	2	3937935.8	6964858.0	
sp|Q802W2|A9A1B_DANRE	Q802W2	A9A1B_DANRE	aldh9a1b	518	Danio rerio	2:Experimental evidence at transcript level	4-trimethylaminobutyraldehyde dehydrogenase B	1.0	0.9754	6	5	5	6	0	5	0	5	0	6	0.0	1.1422096E8	
sp|Q803D2|LIS1B_DANRE	Q803D2	LIS1B_DANRE	pafah1b1b	410	Danio rerio	2:Experimental evidence at transcript level	Lissencephaly-1 homolog B	1.0	0.9969	12	4	4	13	3	1	3	1	11	2	1.6561379E7	1519280.0	
sp|Q803F5|APMAP_DANRE	Q803F5	APMAP_DANRE	apmap	415	Danio rerio	2:Experimental evidence at transcript level	Adipocyte plasma membrane-associated protein	1.0	0.999	7	8	8	8	8	0	8	0	8	0	9.89976E7	0.0	
sp|Q803F6|RSSA_DANRE	Q803F6	RSSA_DANRE	rpsa	308	Danio rerio	1:Experimental evidence at protein level	Small ribosomal subunit protein uS2	1.0	0.999	12	40	40	40	20	20	20	20	20	20	1.30491494E9	1.26004723E9	
sp|Q803P1|EI3JB_DANRE	Q803P1	EI3JB_DANRE	eif3jb	263	Danio rerio	2:Experimental evidence at transcript level	Eukaryotic translation initiation factor 3 subunit J-B	0.9582	0.9738	1	1	1	1	0	1	0	1	0	1	0.0	624635.56	
sp|Q803S3|MEMO1_DANRE	Q803S3	MEMO1_DANRE	memo1	297	Danio rerio	2:Experimental evidence at transcript level	Protein MEMO1	0.6405	0.964	1	1	1	1	0	1	0	1	0	1	0.0	0.0	
sp|Q8JFR5|KITA_DANRE	Q8JFR5	KITA_DANRE	kita	976	Danio rerio	2:Experimental evidence at transcript level	Mast/stem cell growth factor receptor kita	0.9159	0.9916	1	1	0	1	1	0	0	0	1	0	2.8651796E7	0.0	
sp|Q8JFV8|VAT1_DANRE	Q8JFV8	VAT1_DANRE	vat1	484	Danio rerio	2:Experimental evidence at transcript level	Synaptic vesicle membrane protein VAT-1 homolog	1.0	0.9908	11	23	23	23	7	16	7	16	7	16	3.65971648E8	4.23296096E8	
sp|Q8JGR4|RL24_DANRE	Q8JGR4	RL24_DANRE	rpl24	157	Danio rerio	2:Experimental evidence at transcript level	Large ribosomal subunit protein eL24	1.0	0.9858	4	9	9	9	4	5	4	5	4	5	1.0364183E7	1.882246E7	
sp|Q8JH70|ALDCB_DANRE	Q8JH70	ALDCB_DANRE	aldocb	363	Danio rerio	2:Experimental evidence at transcript level	Fructose-bisphosphate aldolase C-B	1.0	0.999	15	29	29	29	14	15	14	15	14	15	3.05040512E8	3.09347104E8	
sp|Q8JIU7|NACA_DANRE	Q8JIU7	NACA_DANRE	naca	215	Danio rerio	1:Experimental evidence at protein level	Nascent polypeptide-associated complex subunit alpha	1.0	0.999	5	18	18	18	9	9	9	9	9	9	2.08669107E9	9.3880397E8	
sp|Q90473|HSP7C_DANRE	Q90473	HSP7C_DANRE	hspa8	649	Danio rerio	2:Experimental evidence at transcript level	Heat shock cognate 71 kDa protein	1.0	0.9965	21	56	56	56	22	34	22	34	22	34	5.5533409E9	3.89089152E9	
sp|Q90YL4|S61A2_DANRE	Q90YL4	S61A2_DANRE	sec61al2	476	Danio rerio	2:Experimental evidence at transcript level	Protein transport protein Sec61 subunit alpha-like 2	0.9359	0.967	1	1	0	1	1	0	0	0	1	0	5494984.0	0.0	sp|Q90ZM2|S61A1_DANRE
sp|Q92005|EF1A_DANRE	Q92005	EF1A_DANRE	eef1a	462	Danio rerio	2:Experimental evidence at transcript level	Elongation factor 1-alpha	1.0	0.999	20	84	84	84	40	44	40	44	40	44	8.8384102E9	5.8333343E9	
sp|Q98SV1|SELPA_DANRE	Q98SV1	SELPA_DANRE	sepp1a	367	Danio rerio	1:Experimental evidence at protein level	Selenoprotein Pa	1.0	0.999	5	5	5	5	5	0	5	0	5	0	6.538436E7	3041467.5	
sp|Q9DGE0|MP2K6_DANRE	Q9DGE0	MP2K6_DANRE	map2k6	361	Danio rerio	1:Experimental evidence at protein level	Dual specificity mitogen-activated protein kinase kinase 6	0.9999	0.997	3	6	6	6	2	4	2	4	2	4	1.8784694E7	1.1393837E7	
sp|Q9DGK4|TCTP_DANRE	Q9DGK4	TCTP_DANRE	tpt1	171	Danio rerio	2:Experimental evidence at transcript level	Translationally-controlled tumor protein homolog	1.0	0.9951	8	16	16	16	8	8	8	8	8	8	1.08758106E9	2.94461856E8	
sp|Q9I9N0|DAP1B_DANRE	Q9I9N0	DAP1B_DANRE	dap1b	109	Danio rerio	1:Experimental evidence at protein level	Death-associated protein-like 1 homolog	1.0	0.9952	3	3	3	3	2	1	2	1	2	1	5.8435584E7	2.3726952E7	
sp|Q9MIY0|NU5M_DANRE	Q9MIY0	NU5M_DANRE	mt-nd5	606	Danio rerio	3:Protein inferred from homology	NADH-ubiquinone oxidoreductase chain 5	0.8738	0.9905	1	1	1	1	1	0	1	0	1	0	1765727.4	0.0	
