Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	TL1a Spectral Count	TL1b Spectral Count	TL2a Spectral Count	TL2b Spectral Count	TL1a Unique Spectral Count	TL1b Unique Spectral Count	TL2a Unique Spectral Count	TL2b Unique Spectral Count	TL1a Total Spectral Count	TL1b Total Spectral Count	TL2a Total Spectral Count	TL2b Total Spectral Count	TL1a Intensity	TL1b Intensity	TL2a Intensity	TL2b Intensity	TL1a MaxLFQ Intensity	TL1b MaxLFQ Intensity	TL2a MaxLFQ Intensity	TL2b MaxLFQ Intensity	Indistinguishable Proteins
sp|A8C984|MYLK3_DANRE	A8C984	MYLK3_DANRE	mylk3	715	Danio rerio	2:Experimental evidence at transcript level	Myosin light chain kinase 3	0.6918	0.9924	1	5	0	5	2	1	1	1	0	0	0	0	2	1	1	1	2.39289952E8	7.975676E7	2.83698176E8	2.24327456E8	2.39289952E8	7.975676E7	2.83698176E8	2.24327456E8	sp|O42376|MK12_DANRE, sp|Q9DGD9|MK08_DANRE, sp|Q9DGE1|MK14B_DANRE, sp|Q9DGE2|MK14A_DANRE
sp|A8E7C5|SAC2_DANRE	A8E7C5	SAC2_DANRE	inpp5f	1120	Danio rerio	3:Protein inferred from homology	Phosphatidylinositide phosphatase SAC2	0.9496	0.9685	2	4	4	4	0	1	1	2	0	1	1	2	0	1	1	2	0.0	7.7869619E8	2.68911136E8	4.90986592E8	0.0	7.7869619E8	2.68911136E8	4.90986592E8	
sp|A8WFR0|LAMP5_DANRE	A8WFR0	LAMP5_DANRE	lamp5	275	Danio rerio	2:Experimental evidence at transcript level	Lysosome-associated membrane glycoprotein 5	0.2665	0.9548	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A9C3P0|MLEC_DANRE	A9C3P0	MLEC_DANRE	mlec	285	Danio rerio	3:Protein inferred from homology	Malectin	1.0	0.999	5	16	16	16	6	4	4	2	6	4	4	2	6	4	4	2	4.1950496E8	3.63326912E8	6.4650899E8	8.3734808E7	1.4213528E8	1.03410272E8	2.05289872E8	2.5508824E8	
sp|A9C3R9|RP65B_DANRE	A9C3R9	RP65B_DANRE	rpe65b	532	Danio rerio	1:Experimental evidence at protein level	All-trans-retinyl ester 13-cis isomerohydrolase	0.9999	0.9734	3	9	8	9	1	1	4	3	1	1	4	2	1	1	4	3	0.0	0.0	0.0	8.144184E7	0.0	0.0	0.0	0.0	
sp|A9JRC7|PP4CB_DANRE	A9JRC7	PP4CB_DANRE	ppp4cb	307	Danio rerio	2:Experimental evidence at transcript level	Serine/threonine-protein phosphatase 4 catalytic subunit B	0.6511	0.9909	1	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A9JRE2|MTNA_DANRE	A9JRE2	MTNA_DANRE	mri1	353	Danio rerio	2:Experimental evidence at transcript level	Methylthioribose-1-phosphate isomerase	0.9979	0.9989	2	2	2	2	1	1	0	0	1	1	0	0	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A9JTH1|NCLDA_DANRE	A9JTH1	NCLDA_DANRE	ncalda	193	Danio rerio	2:Experimental evidence at transcript level	Neurocalcin-delta A	0.5587	0.9866	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	1	0.0	0.0	0.0	1.39823632E8	0.0	0.0	0.0	0.0	
sp|B0R0D7|COR1C_DANRE	B0R0D7	COR1C_DANRE	coro1ca	474	Danio rerio	2:Experimental evidence at transcript level	Coronin-1C-A	1.0	0.999	7	43	43	43	8	14	11	10	8	14	11	10	8	14	11	10	1.61896653E9	2.30712346E9	2.05806758E9	3.3478889E9	8.036416E8	1.08360883E9	7.6183584E8	9.7950669E8	
sp|B0S6C5|RTSTL_DANRE	B0S6C5	RTSTL_DANRE	retsatl	604	Danio rerio	1:Experimental evidence at protein level	Inactive all-trans-retinol 13,14-reductase	1.0	0.999	3	6	6	6	1	1	2	2	1	1	2	2	1	1	2	2	1.69012288E8	1.05256312E8	2.5162384E8	3.30048704E8	0.0	1.05256312E8	1.60110048E8	2.0775632E8	
sp|B0S6R1|NCKP1_DANRE	B0S6R1	NCKP1_DANRE	nckap1	1128	Danio rerio	3:Protein inferred from homology	Nck-associated protein 1	1.0	0.999	10	33	33	33	13	9	5	6	13	9	5	6	13	9	5	6	8.3645773E8	7.8749261E8	3.93482112E8	4.65752704E8	3.35810016E8	2.6212168E8	2.65459248E8	2.45501552E8	
sp|B0UXP9|IMDH2_DANRE	B0UXP9	IMDH2_DANRE	impdh2	514	Danio rerio	3:Protein inferred from homology	Inosine-5'-monophosphate dehydrogenase 2	1.0	0.999	8	35	35	35	12	8	7	8	12	8	7	8	12	8	7	8	2.2317184E9	1.26089626E9	1.47072448E9	1.71176678E9	5.21638624E8	3.25112192E8	3.13739904E8	4.61546144E8	
sp|B0V3F8|PRKRA_DANRE	B0V3F8	PRKRA_DANRE	prkra	282	Danio rerio	2:Experimental evidence at transcript level	Interferon-inducible double-stranded RNA-dependent protein kinase activator A homolog	1.0	0.999	2	11	11	11	1	2	5	3	1	2	5	3	1	2	5	3	2.03155568E8	1.65363952E8	2.9053056E8	1.7813904E8	2.03155568E8	1.65363952E8	2.72815776E8	1.7813904E8	
sp|B5DE31|YBOX1_DANRE	B5DE31	YBOX1_DANRE	ybx1	310	Danio rerio	1:Experimental evidence at protein level	Y-box-binding protein 1	1.0	0.999	5	34	34	34	7	10	10	7	7	10	10	7	7	10	10	7	1.5213719E9	1.38773926E9	1.86594701E9	1.85042086E9	7.5650675E8	6.8109235E8	1.0359536E9	1.11857254E9	
sp|B7ZC77|CTNA2_DANRE	B7ZC77	CTNA2_DANRE	Ctnna2	865	Danio rerio	3:Protein inferred from homology	Catenin alpha-2	1.0	0.999	4	9	9	9	1	3	4	1	1	3	4	1	1	3	4	1	0.0	4.8849968E7	1.09939776E8	0.0	0.0	5.6912616E7	3.8816528E7	0.0	
sp|B8A5G9|TRM5_DANRE	B8A5G9	TRM5_DANRE	trmt5	480	Danio rerio	3:Protein inferred from homology	tRNA (guanine(37)-N1)-methyltransferase	0.6845	0.9921	1	2	2	2	0	0	1	1	0	0	1	1	0	0	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|B8A5I7|SSBP_DANRE	B8A5I7	SSBP_DANRE	ssbp1	146	Danio rerio	1:Experimental evidence at protein level	Single-stranded DNA-binding protein, mitochondrial	1.0	0.999	3	11	11	11	3	4	3	1	3	4	3	1	3	4	3	1	6.3684928E8	1.10826944E8	4.19176256E8	1.93035264E8	2.26015776E8	1.51041216E8	2.5795656E8	2.6307936E8	
sp|B8JLQ9|CBPO_DANRE	B8JLQ9	CBPO_DANRE	cpo	363	Danio rerio	1:Experimental evidence at protein level	Carboxypeptidase O	0.9444	0.999	1	5	5	5	1	0	2	2	1	0	2	2	1	0	2	2	0.0	0.0	1.15758864E8	1.23493496E8	0.0	0.0	1.15758864E8	1.23493496E8	
sp|B8JMH0|CAF17_DANRE	B8JMH0	CAF17_DANRE	iba57	354	Danio rerio	3:Protein inferred from homology	Putative transferase CAF17 homolog, mitochondrial	0.3894	0.9738	1	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	8.078808E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|B8XY56|RNT2_DANRE	B8XY56	RNT2_DANRE	rnaset2	240	Danio rerio	2:Experimental evidence at transcript level	Ribonuclease T2	0.9999	0.998	2	10	10	10	3	3	4	0	3	3	4	0	3	3	4	0	9.9153904E7	1.57693056E8	2.24058528E8	0.0	9.9153904E7	0.0	2.24058528E8	0.0	
sp|E7F1H9|YTHD2_DANRE	E7F1H9	YTHD2_DANRE	ythdf2	613	Danio rerio	1:Experimental evidence at protein level	YTH domain-containing family protein 2	0.925	0.9746	1	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	7.018868E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|E7F3I6|CLP1_DANRE	E7F3I6	CLP1_DANRE	clp1	443	Danio rerio	1:Experimental evidence at protein level	Polyribonucleotide 5'-hydroxyl-kinase Clp1	0.9733	0.9982	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	1	0.0	0.0	0.0	1.3825784E7	0.0	0.0	0.0	0.0	
sp|E7F6H7|DCI2A_DANRE	E7F6H7	DCI2A_DANRE	dync1i2a	626	Danio rerio	3:Protein inferred from homology	Dynein, cytoplasmic 1, intermediate chain 2a	1.0	0.999	3	7	7	7	1	3	1	2	1	3	1	2	1	3	1	2	1.0706718E7	1.50050928E8	9661093.0	5.6145852E7	1.0706718E7	0.0	9661093.0	5.6145852E7	
sp|E9QI36|HARS1_DANRE	E9QI36	HARS1_DANRE	hars	513	Danio rerio	3:Protein inferred from homology	Histidine--tRNA ligase	1.0	0.9961	5	15	15	15	6	4	2	3	6	4	2	3	6	4	2	3	1.15660058E9	2.72995328E9	1.43949472E8	1.54264218E9	1.11478656E9	1.5786569E9	1.03861357E9	8.716873E8	
sp|E9QJ30|KL40B_DANRE	E9QJ30	KL40B_DANRE	klhl40b	618	Danio rerio	2:Experimental evidence at transcript level	Kelch-like protein 40b	1.0	0.999	2	4	4	4	0	2	0	2	0	2	0	2	0	2	0	2	0.0	5004741.0	0.0	1.53433616E8	0.0	7331796.0	0.0	7.1445832E7	
sp|F1Q575|NNRD_DANRE	F1Q575	NNRD_DANRE	naxd	330	Danio rerio	3:Protein inferred from homology	ATP-dependent (S)-NAD(P)H-hydrate dehydratase	0.9001	0.9981	1	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|F1Q8C3|CP2K6_DANRE	F1Q8C3	CP2K6_DANRE	cyp2k6	505	Danio rerio	1:Experimental evidence at protein level	Cytochrome P450 2K6	0.9069	0.9982	1	1	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0.0	1.9474748E7	0.0	0.0	0.0	0.0	0.0	0.0	
sp|F1Q8X5|FERM2_DANRE	F1Q8X5	FERM2_DANRE	fermt2	684	Danio rerio	2:Experimental evidence at transcript level	Fermitin family homolog 2	1.0	0.9989	3	9	9	9	3	2	3	1	3	2	3	1	3	2	3	1	2.4641228E7	2.9735176E7	0.0	0.0	2.4641228E7	2.9735176E7	0.0	0.0	
sp|F1QB54|PABPA_DANRE	F1QB54	PABPA_DANRE	pabpc1a	634	Danio rerio	1:Experimental evidence at protein level	Polyadenylate-binding protein 1A	1.0	0.999	10	40	40	40	10	13	10	7	10	13	10	7	10	13	10	7	3.19984435E9	3.14167782E9	2.79879731E9	2.37692109E9	7.7696224E8	8.1592365E8	8.9678285E8	9.1761184E8	
sp|F1QC45|XRP2_DANRE	F1QC45	XRP2_DANRE	rp2	376	Danio rerio	1:Experimental evidence at protein level	Protein XRP2	0.4872	0.9822	1	7	7	7	2	2	2	1	2	2	2	1	2	2	2	1	1.02036952E8	6.4830548E7	1.12297752E8	1.2777736E8	1.02036952E8	6.4830548E7	1.12297752E8	1.2777736E8	
sp|F1QCV2|HDA10_DANRE	F1QCV2	HDA10_DANRE	hdac10	675	Danio rerio	1:Experimental evidence at protein level	Polyamine deacetylase HDAC10	1.0	0.999	2	4	4	4	2	2	0	0	2	2	0	0	2	2	0	0	0.0	3.2539322E7	0.0	0.0	0.0	0.0	0.0	0.0	
sp|F1QEB7|WDR11_DANRE	F1QEB7	WDR11_DANRE	wdr11	1239	Danio rerio	2:Experimental evidence at transcript level	WD repeat-containing protein 11	0.995	0.9975	2	2	2	2	1	1	0	0	1	1	0	0	1	1	0	0	8340094.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|F1QEG2|KL41B_DANRE	F1QEG2	KL41B_DANRE	klhl41b	605	Danio rerio	2:Experimental evidence at transcript level	Kelch-like protein 41b	1.0	0.9972	2	3	3	3	0	2	0	1	0	2	0	1	0	2	0	1	7.6444392E7	1.4688871E7	0.0	1.1811312E8	7.6444392E7	0.0	0.0	1.1811312E8	
sp|F1QGH7|CTNB1_DANRE	F1QGH7	CTNB1_DANRE	ctnnb1	780	Danio rerio	1:Experimental evidence at protein level	Catenin beta-1	1.0	0.999	13	48	48	84	12	17	13	6	12	17	13	6	19	25	24	16	1.96380301E9	1.42083558E9	1.39279194E9	1.05006541E9	5.2479136E8	3.257264E8	3.13161056E8	3.17823552E8	
sp|F1QGH9|PS11B_DANRE	F1QGH9	PS11B_DANRE	psmd11b	422	Danio rerio	2:Experimental evidence at transcript level	26S proteasome non-ATPase regulatory subunit 11B	1.0	0.9977	5	4	4	12	2	1	1	0	2	1	1	0	5	4	2	1	8.8222712E7	6.940832E7	0.0	0.0	8.8222712E7	6.940832E7	0.0	0.0	
sp|F1QGW6|IF2G_DANRE	F1QGW6	IF2G_DANRE	eif2s3	472	Danio rerio	3:Protein inferred from homology	Eukaryotic translation initiation factor 2 subunit 3	1.0	0.999	23	144	144	144	43	41	37	23	43	41	37	23	43	41	37	23	8.85197E9	6.789888E9	9.100286E9	7.264617E9	1.39659904E9	1.08163955E9	1.25696589E9	1.14415245E9	
sp|F1QLR3|FXR1_DANRE	F1QLR3	FXR1_DANRE	fxr1	622	Danio rerio	1:Experimental evidence at protein level	RNA-binding protein FXR1	0.9928	0.9917	2	3	3	3	1	2	0	0	1	2	0	0	1	2	0	0	0.0	8419314.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|F1QSQ0|DSC2L_DANRE	F1QSQ0	DSC2L_DANRE	dsc2l	934	Danio rerio	2:Experimental evidence at transcript level	Desmocollin 2-like protein	1.0	0.999	4	9	9	9	3	3	2	1	3	3	2	1	3	3	2	1	2.32329152E8	2.94104832E8	4.08573216E8	5.7767859E8	3.36054752E8	3.5529024E8	1.84954208E8	2.89714176E8	
sp|F1QXM5|LDHD_DANRE	F1QXM5	LDHD_DANRE	ldhd	497	Danio rerio	2:Experimental evidence at transcript level	Probable D-lactate dehydrogenase, mitochondrial	0.8815	0.9977	1	3	3	3	1	1	0	1	1	1	0	1	1	1	0	1	9.4102416E7	8.5619648E7	0.0	9.656716E7	9.4102416E7	8.5619648E7	0.0	9.656716E7	
sp|F1QYJ6|ST6B1_DANRE	F1QYJ6	ST6B1_DANRE	sult6b1	296	Danio rerio	1:Experimental evidence at protein level	Sulfotransferase 6B1	1.0	0.9989	3	8	8	8	0	2	5	1	0	2	5	1	0	2	5	1	2.08418688E8	2.384104E8	8.2035533E8	6.36233E7	2.20333904E8	1.58575504E8	2.657716E8	1.38343888E8	
sp|F1R2X6|PSM4B_DANRE	F1R2X6	PSM4B_DANRE	psme4b	1825	Danio rerio	3:Protein inferred from homology	Proteasome activator complex subunit 4B	1.0	0.9988	3	7	5	7	2	3	1	1	1	2	1	1	2	3	1	1	3.122329E7	4.1316968E7	3.8300416E7	3.789368E7	3.122329E7	3.320481E7	3.8300416E7	3.789368E7	
sp|F1R4U0|TXTPB_DANRE	F1R4U0	TXTPB_DANRE	slc25a1b	317	Danio rerio	3:Protein inferred from homology	Tricarboxylate transport protein B, mitochondrial	1.0	0.9989	4	21	21	21	6	7	4	4	6	7	4	4	6	7	4	4	6.9807027E8	7.6771034E8	3.5879088E8	3.45507136E8	3.07451392E8	3.63620416E8	3.32935968E8	3.37407648E8	
sp|F1RAX4|STRA6_DANRE	F1RAX4	STRA6_DANRE	stra6	670	Danio rerio	1:Experimental evidence at protein level	Receptor for retinol uptake stra6	0.3719	0.9718	1	2	2	2	1	1	0	0	1	1	0	0	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|F1RAX8|COQ6_DANRE	F1RAX8	COQ6_DANRE	coq6	484	Danio rerio	2:Experimental evidence at transcript level	Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial	0.9449	0.999	1	2	2	2	0	0	2	0	0	0	2	0	0	0	2	0	0.0	0.0	6.1338516E7	0.0	0.0	0.0	0.0	0.0	
sp|F1RCY6|RENT1_DANRE	F1RCY6	RENT1_DANRE	upf1	1100	Danio rerio	2:Experimental evidence at transcript level	Regulator of nonsense transcripts 1	1.0	0.999	5	17	17	17	5	6	1	5	5	6	1	5	5	6	1	5	2.713536E8	5.16463712E8	9.3659136E7	3.8401632E8	2.20852032E8	2.0842672E8	1.2098908E8	1.2375604E8	
sp|F4ZGF2|COMTA_DANRE	F4ZGF2	COMTA_DANRE	comta	256	Danio rerio	1:Experimental evidence at protein level	Catechol O-methyltransferase A	0.9955	0.998	2	5	5	5	1	4	0	0	1	4	0	0	1	4	0	0	1.2939972E8	1.39536288E8	0.0	0.0	1.2939972E8	1.39536288E8	0.0	0.0	
sp|F6P3G4|PS11A_DANRE	F6P3G4	PS11A_DANRE	psmd11a	421	Danio rerio	2:Experimental evidence at transcript level	26S proteasome non-ATPase regulatory subunit 11A	1.0	0.999	7	23	15	23	9	10	1	3	6	7	0	2	9	10	1	3	4.00795936E8	9.8452992E8	1.30786632E8	1.80602944E8	1.92339936E8	2.13659584E8	1.30786632E8	1.3971736E8	
sp|F8W2M8|TPP1_DANRE	F8W2M8	TPP1_DANRE	tpp1	557	Danio rerio	1:Experimental evidence at protein level	Tripeptidyl-peptidase 1	1.0	0.999	8	91	91	91	17	20	33	21	17	20	33	21	17	20	33	21	3.39120102E9	3.16066765E9	5.2577449E9	6.1680753E9	1.0136096E9	8.2891258E8	1.34052032E9	1.67387034E9	
sp|H2EQR6|DSG21_DANRE	H2EQR6	DSG21_DANRE	dsg2.1	1142	Danio rerio	2:Experimental evidence at transcript level	Desmoglein-2.1	1.0	0.9985	3	4	4	4	1	2	0	1	1	2	0	1	1	2	0	1	0.0	0.0	0.0	8.067748E7	0.0	0.0	0.0	0.0	
sp|O13168|TLE3B_DANRE	O13168	TLE3B_DANRE	tle3b	771	Danio rerio	1:Experimental evidence at protein level	Transducin-like enhancer protein 3-B	0.9989	0.9983	2	2	1	2	1	0	1	0	1	0	0	0	1	0	1	0	1.12134392E8	0.0	5.21545728E8	0.0	0.0	0.0	0.0	0.0	
sp|O42182|FBLN1_DANRE	O42182	FBLN1_DANRE	fbln1	681	Danio rerio	2:Experimental evidence at transcript level	Fibulin-1	1.0	0.999	3	9	9	9	3	3	1	2	3	3	1	2	3	3	1	2	1.98189216E8	1.952768E8	9.115556E7	8.2776816E7	1.26445336E8	1.00793488E8	9.115556E7	8.2776816E7	
sp|O42248|GBLP_DANRE	O42248	GBLP_DANRE	gnb2l1	317	Danio rerio	1:Experimental evidence at protein level	Small ribosomal subunit protein RACK1	1.0	0.999	19	202	202	202	50	59	42	51	50	59	42	51	50	59	42	51	2.98389996E10	3.39396301E10	3.00888719E10	4.2981548E10	7.430679E9	7.4887429E9	7.9283804E9	7.9841121E9	
sp|O42363|APOA1_DANRE	O42363	APOA1_DANRE	apoa1a	262	Danio rerio	1:Experimental evidence at protein level	Apolipoprotein A-Ia	1.0	0.999	7	49	49	49	17	14	10	8	17	14	10	8	17	14	10	8	6.9050337E9	5.9814856E9	3.52548659E9	3.18831923E9	2.21331738E9	1.70274547E9	1.08111846E9	1.03443539E9	
sp|O42364|APOEB_DANRE	O42364	APOEB_DANRE	apoeb	281	Danio rerio	2:Experimental evidence at transcript level	Apolipoprotein Eb	0.862	0.9973	1	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0.0	0.0	1.06688424E8	0.0	0.0	0.0	0.0	0.0	
sp|O57457|E41LA_DANRE	O57457	E41LA_DANRE	epb41l4a	619	Danio rerio	2:Experimental evidence at transcript level	Band 4.1-like protein 4	0.2736	0.9564	1	7	7	7	2	2	1	2	2	2	1	2	2	2	1	2	1.97528816E8	1.6040504E8	0.0	0.0	1.97528816E8	1.6040504E8	0.0	0.0	
sp|O57521|HS90B_DANRE	O57521	HS90B_DANRE	hsp90ab1	725	Danio rerio	1:Experimental evidence at protein level	Heat shock protein HSP 90-beta	1.0	0.999	44	552	385	552	146	150	152	104	103	108	102	72	146	150	152	104	3.8566363E10	3.7861544E10	4.0150135E10	3.329664E10	3.04940211E9	2.73065293E9	3.14238899E9	2.55239654E9	
sp|O73872|SODC_DANRE	O73872	SODC_DANRE	sod1	154	Danio rerio	2:Experimental evidence at transcript level	Superoxide dismutase [Cu-Zn]	1.0	0.999	6	97	97	97	25	26	23	23	25	26	23	23	25	26	23	23	1.76699617E10	1.50171341E10	1.63368151E10	2.1272662E10	6.7196723E9	5.9072696E9	6.7179689E9	8.355201E9	
sp|O93409|MLRSA_DANRE	O93409	MLRSA_DANRE	mylpfa	169	Danio rerio	1:Experimental evidence at protein level	Myosin regulatory light chain 2, skeletal muscle isoform A	1.0	0.999	7	90	13	90	33	31	15	11	5	4	1	3	33	31	15	11	7.2469366E9	5.8559964E9	2.10268787E9	1.92537882E9	2.01522342E9	1.63081395E9	8.5153318E8	9.8901542E8	
sp|P13104|TPM1_DANRE	P13104	TPM1_DANRE	tpma	284	Danio rerio	2:Experimental evidence at transcript level	Tropomyosin alpha-1 chain	1.0	0.999	31	233	233	233	77	85	44	27	77	85	44	27	77	85	44	27	1.85456497E10	1.36220539E10	1.07448259E10	8.6813E9	2.4589847E9	1.99792141E9	1.5283625E9	1.43430426E9	
sp|P17561|EPD_DANRE	P17561	EPD_DANRE	epd	217	Danio rerio	2:Experimental evidence at transcript level	Ependymin	1.0	0.999	1	19	19	19	5	5	4	5	5	5	4	5	5	5	4	5	2.84502758E9	2.17216154E9	2.07543117E9	4.6521528E9	2.92479181E9	1.70734195E9	1.48541504E9	5.4449444E9	
sp|P35359|OPSD_DANRE	P35359	OPSD_DANRE	rho	354	Danio rerio	1:Experimental evidence at protein level	Rhodopsin	1.0	0.999	3	91	91	91	27	21	17	26	27	21	17	26	27	21	17	26	2.98578406E9	3.2656256E9	3.90522624E9	4.7001866E9	1.96818944E9	2.37924301E9	2.52578099E9	2.95535846E9	
sp|P58781|ADA2_DANRE	P58781	ADA2_DANRE	ada2a	503	Danio rerio	2:Experimental evidence at transcript level	Adenosine deaminase 2-A	0.8929	0.9617	1	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P61485|RL36A_DANRE	P61485	RL36A_DANRE	rpl36a	106	Danio rerio	1:Experimental evidence at protein level	Large ribosomal subunit protein eL42	1.0	0.9979	4	22	22	22	5	10	5	2	5	10	5	2	5	10	5	2	1.24347827E9	1.0848407E9	6.7975411E8	5.5031802E8	5.4370682E8	6.022375E8	5.24302176E8	3.62240768E8	
sp|P62084|RS7_DANRE	P62084	RS7_DANRE	rps7	194	Danio rerio	1:Experimental evidence at protein level	Small ribosomal subunit protein eS7	1.0	0.999	9	126	126	126	37	35	32	22	37	35	32	22	37	35	32	22	7.258026E9	8.3530624E9	3.83011174E9	4.19899085E9	2.21065702E9	2.51862579E9	2.1592087E9	1.32463104E9	
sp|P62247|RS8_DANRE	P62247	RS8_DANRE	rps8	208	Danio rerio	1:Experimental evidence at protein level	Small ribosomal subunit protein eS8	1.0	0.999	8	116	116	116	32	35	27	22	32	35	27	22	32	35	27	22	1.50415565E10	1.65341563E10	9.7428378E9	8.5250058E9	6.0526659E9	6.0910966E9	3.34870477E9	4.4227784E9	
sp|P79732|RIR1_DANRE	P79732	RIR1_DANRE	rrm1	794	Danio rerio	2:Experimental evidence at transcript level	Ribonucleoside-diphosphate reductase large subunit	0.7587	0.9946	1	3	3	3	1	1	0	1	1	1	0	1	1	1	0	1	0.0	1.9474952E7	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P79735|RAN_DANRE	P79735	RAN_DANRE	ran	215	Danio rerio	2:Experimental evidence at transcript level	GTP-binding nuclear protein Ran	1.0	0.999	8	70	70	70	21	21	14	14	21	21	14	14	21	21	14	14	6.9089306E9	7.3278899E9	6.3410248E9	5.4890588E9	3.0008553E9	2.54093824E9	2.96351488E9	2.58869965E9	
sp|P83571|RUVB2_DANRE	P83571	RUVB2_DANRE	ruvbl2	463	Danio rerio	1:Experimental evidence at protein level	RuvB-like 2	1.0	0.999	23	104	104	104	33	24	19	28	33	24	19	28	33	24	19	28	8.0703913E9	6.1779384E9	5.1818634E9	5.947625E9	8.7014771E8	6.476736E8	5.8603968E8	6.6584019E8	
sp|Q05AM4|FAH2B_DANRE	Q05AM4	FAH2B_DANRE	faah2b	526	Danio rerio	2:Experimental evidence at transcript level	Fatty-acid amide hydrolase 2-B	1.0	0.999	6	26	26	26	4	4	9	9	4	4	9	9	4	4	9	9	1.21360781E9	1.07275814E9	1.25918182E9	1.67232691E9	6.394441E8	4.29066368E8	6.294608E8	7.2931776E8	
sp|Q08BB1|EFGM_DANRE	Q08BB1	EFGM_DANRE	gfm1	745	Danio rerio	2:Experimental evidence at transcript level	Elongation factor G, mitochondrial	1.0	0.999	4	13	13	13	2	5	4	2	2	5	4	2	2	5	4	2	1.35170704E8	1.669704E8	0.0	1.4059936E8	5.9004516E7	9.1668976E7	0.0	1.54706928E8	
sp|Q08BI9|MCU_DANRE	Q08BI9	MCU_DANRE	mcu	376	Danio rerio	1:Experimental evidence at protein level	Calcium uniporter protein, mitochondrial	1.0	0.999	2	3	3	3	2	1	0	0	2	1	0	0	2	1	0	0	2.00758848E8	2.09288624E8	0.0	0.0	1.6095224E8	2.09288624E8	0.0	0.0	
sp|Q08BL7|GLCTK_DANRE	Q08BL7	GLCTK_DANRE	glyctk	502	Danio rerio	2:Experimental evidence at transcript level	Glycerate kinase	0.9365	0.9988	1	3	3	3	0	1	1	1	0	1	1	1	0	1	1	1	0.0	2.6696144E7	1.8708886E7	1.4015306E7	0.0	2.6696144E7	1.8708886E7	1.4015306E7	
sp|Q08BR4|STB1B_DANRE	Q08BR4	STB1B_DANRE	setdb1b	1216	Danio rerio	2:Experimental evidence at transcript level	Histone-lysine N-methyltransferase SETDB1-B	0.9777	0.9918	1	1	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q08C33|ISOC1_DANRE	Q08C33	ISOC1_DANRE	isoc1	283	Danio rerio	2:Experimental evidence at transcript level	Isochorismatase domain-containing protein 1	1.0	0.999	2	3	3	3	1	2	0	0	1	2	0	0	1	2	0	0	2.03247216E8	2.7993568E8	0.0	0.0	2.03247216E8	1.57120208E8	0.0	0.0	
sp|Q08C75|VACHA_DANRE	Q08C75	VACHA_DANRE	slc18a3a	513	Danio rerio	2:Experimental evidence at transcript level	Probable vesicular acetylcholine transporter-A	0.329	0.9662	1	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q08C76|SSUH2_DANRE	Q08C76	SSUH2_DANRE	ssuh2	361	Danio rerio	2:Experimental evidence at transcript level	Protein SSUH2 homolog	1.0	0.999	7	43	43	43	13	12	10	8	13	12	10	8	13	12	10	8	4.368918E9	3.58533606E9	3.17089894E9	5.7554975E9	1.32367091E9	1.35645978E9	1.43439091E9	2.24218419E9	
sp|Q08CK7|IF2B1_DANRE	Q08CK7	IF2B1_DANRE	igf2bp1	598	Danio rerio	1:Experimental evidence at protein level	Insulin-like growth factor 2 mRNA-binding protein 1	1.0	0.999	13	67	51	67	16	20	20	11	12	15	17	7	16	20	20	11	3.93108787E9	2.98157952E9	3.5967936E9	2.7300887E9	9.9953754E8	8.0572122E8	1.04080371E9	7.6999699E8	
