Protein,Protein ID,Entry Name,Gene,Protein Length,Organism,Protein Existence,Description,Protein Probability,Top Peptide Probability,Combined Total Peptides,Combined Spectral Count,Combined Unique Spectral Count,Combined Total Spectral Count,C_1 Spectral Count,C_2 Spectral Count,C_3 Spectral Count,E_1 Spectral Count,E_2 Spectral Count,E_3 Spectral Count,Hp_1 Spectral Count,Hp_2 Spectral Count,Hp_3 Spectral Count,Mx_1 Spectral Count,Mx_2 Spectral Count,Mx_3 Spectral Count,T_1 Spectral Count,T_2 Spectral Count,T_3 Spectral Count,C_1 Unique Spectral Count,C_2 Unique Spectral Count,C_3 Unique Spectral Count,E_1 Unique Spectral Count,E_2 Unique Spectral Count,E_3 Unique Spectral Count,Hp_1 Unique Spectral Count,Hp_2 Unique Spectral Count,Hp_3 Unique Spectral Count,Mx_1 Unique Spectral Count,Mx_2 Unique Spectral Count,Mx_3 Unique Spectral Count,T_1 Unique Spectral Count,T_2 Unique Spectral Count,T_3 Unique Spectral Count,C_1 Total Spectral Count,C_2 Total Spectral Count,C_3 Total Spectral Count,E_1 Total Spectral Count,E_2 Total Spectral Count,E_3 Total Spectral Count,Hp_1 Total Spectral Count,Hp_2 Total Spectral Count,Hp_3 Total Spectral Count,Mx_1 Total Spectral Count,Mx_2 Total Spectral Count,Mx_3 Total Spectral Count,T_1 Total Spectral Count,T_2 Total Spectral Count,T_3 Total Spectral Count,C_1_5dpf_Intensity,C_2_5dpf_Intensity,C_3_5dpf_Intensity,E_1_5dpf_Intensity,E_2_5dpf_Intensity,E_3_5dpf_Intensity,Hp_1_5dpf_Intensity,Hp_2_5dpf_Intensity,Hp_3_5dpf_Intensity,Mx_1_5dpf_Intensity,Mx_2_5dpf_Intensity,Mx_3_5dpf_Intensity,T_1_5dpf_Intensity,T_2_5dpf_Intensity,T_3_5dpf_Intensity,C_1 MaxLFQ_5dpf_Intensity,C_2 MaxLFQ_5dpf_Intensity,C_3 MaxLFQ_5dpf_Intensity,E_1 MaxLFQ_5dpf_Intensity,E_2 MaxLFQ_5dpf_Intensity,E_3 MaxLFQ_5dpf_Intensity,Hp_1 MaxLFQ_5dpf_Intensity,Hp_2 MaxLFQ_5dpf_Intensity,Hp_3 MaxLFQ_5dpf_Intensity,Mx_1 MaxLFQ_5dpf_Intensity,Mx_2 MaxLFQ_5dpf_Intensity,Mx_3 MaxLFQ_5dpf_Intensity,T_1 MaxLFQ_5dpf_Intensity,T_2 MaxLFQ_5dpf_Intensity,T_3 MaxLFQ_5dpf_Intensity,Indistinguishable Proteins
sp|Q0VIL3|OTOMP_DANRE,Q0VIL3,OTOMP_DANRE,otomp,371,Danio rerio,2:Experimental evidence at transcript level,Otolith matrix protein 1,1,0.999,10,79,79,79,5,6,6,4,7,5,5,6,3,6,6,4,5,6,5,5,6,6,4,7,5,5,6,3,6,6,4,5,6,5,5,6,6,4,7,5,5,6,3,6,6,4,5,6,5,54417936,151431920,112487520,87593336,71264560,84608336,25109948,61420984,12287475,90209768,73140736,78779608,95103520,91389392,126451320,26473780,37278996,26765192,22338580,31640260,26598172,11391846,25558920,24987698,24606988,32233596,25292300,21315434,48266768,28531890,
sp|Q1JPX3|SYFA_DANRE,Q1JPX3,SYFA_DANRE,farsa,497,Danio rerio,2:Experimental evidence at transcript level,Phenylalanine--tRNA ligase alpha subunit,1,0.999,2,18,18,18,2,1,1,1,2,2,0,1,1,1,1,1,1,2,1,2,1,1,1,2,2,0,1,1,1,1,1,1,2,1,2,1,1,1,2,2,0,1,1,1,1,1,1,2,1,4887235,5697863.5,3825307,3068014,11072463,5588191,0,7957110.5,0,513035.4,9839750,4716477.5,2999212.8,8704309,28019108,2103423.5,5955417,3998217.8,3206693.8,8448400,4031048.5,0,8316786,0,536225.5,10284524,4929670.5,3134782.5,9097759,29285620,
sp|Q1JPZ7|PRP39_DANRE,Q1JPZ7,PRP39_DANRE,prpf39,752,Danio rerio,2:Experimental evidence at transcript level,Pre-mRNA-processing factor 39,0.9382,0.999,1,6,6,6,1,0,0,0,0,0,0,0,0,1,1,0,1,2,0,1,0,0,0,0,0,0,0,0,1,1,0,1,2,0,1,0,0,0,0,0,0,0,0,1,1,0,1,2,0,3745712.8,0,0,0,0,0,0,0,0,0,0,0,0,3914299,2457409,3745712.8,0,0,0,0,0,0,0,0,0,0,0,0,3914299,2457409,
sp|Q1L8J7|YAP1_DANRE,Q1L8J7,YAP1_DANRE,yap1,442,Danio rerio,2:Experimental evidence at transcript level,Transcriptional coactivator YAP1,0.8784,0.9564,1,3,3,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|Q1L8L9|KAD2_DANRE,Q1L8L9,KAD2_DANRE,ak2,241,Danio rerio,2:Experimental evidence at transcript level,"Adenylate kinase 2, mitochondrial",1,0.999,6,58,58,58,4,6,5,4,6,4,3,4,3,2,5,3,5,2,2,4,6,5,4,6,4,3,4,3,2,5,3,5,2,2,4,6,5,4,6,4,3,4,3,2,5,3,5,2,2,36402920,119242816,74956352,22371212,82441864,52358136,9935335,25434442,27811910,25986176,55309916,51777624,44452304,23641298,99153696,18179208,38025768,29595494,14826504,28767138,27635692,9340015,31881242,26145434,24429096,26849382,27365656,18864886,25669866,33674432,
sp|Q1L8P7|TSP3B_DANRE,Q1L8P7,TSP3B_DANRE,thbs3b,929,Danio rerio,3:Protein inferred from homology,Thrombospondin-3b,0.9983,0.9988,2,7,7,7,0,0,2,2,0,0,0,0,1,0,0,1,0,0,1,0,0,2,2,0,0,0,0,1,0,0,1,0,0,1,0,0,2,2,0,0,0,0,1,0,0,1,0,0,1,0,0,15023230,7701510,0,0,0,0,3152974.5,0,0,2243575,0,0,4166331.2,0,0,5332548.5,2227966.8,0,0,0,0,5936946.5,0,0,4224577.5,0,0,7845064,
sp|Q1LUK1|MIC13_DANRE,Q1LUK1,MIC13_DANRE,micos13,111,Danio rerio,3:Protein inferred from homology,MICOS complex subunit MIC13,0.9937,0.9986,1,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10505177,0,0,7794474.5,0,0,0,0,0,0,0,0,0,0,0,10505177,0,0,7794474.5,0,
sp|Q1LUT1|EDC4_DANRE,Q1LUT1,EDC4_DANRE,edc4,1384,Danio rerio,3:Protein inferred from homology,Enhancer of mRNA-decapping protein 4,0.8517,0.9972,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|Q1LV17|I2BP1_DANRE,Q1LV17,I2BP1_DANRE,irf2bp1,605,Danio rerio,2:Experimental evidence at transcript level,Interferon regulatory factor 2-binding protein 1,0.9999,0.994,3,4,4,4,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,16489106,34141544,0,23030990,37573368,0,0,37946040,0,0,0,0,20206676,32562930,0,16489106,34141544,0,23030990,37573368,0,0,37946040,0,0,0,0,20206676,32562930,
sp|Q1LV50|CENPP_DANRE,Q1LV50,CENPP_DANRE,cenpp,282,Danio rerio,2:Experimental evidence at transcript level,Centromere protein P,0.3452,0.9707,1,7,7,7,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|Q1LVE8|SF3B3_DANRE,Q1LVE8,SF3B3_DANRE,sf3b3,1217,Danio rerio,2:Experimental evidence at transcript level,Splicing factor 3B subunit 3,1,0.9985,4,4,4,4,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,15497345,0,0,6299841.5,0,0,154732992,0,0,0,0,0,0,0,0,7329191,0,0,6299841.5,0,0,0,0,0,0,0,0,
sp|Q1LVF0|LAMC1_DANRE,Q1LVF0,LAMC1_DANRE,lamc1,1593,Danio rerio,2:Experimental evidence at transcript level,Laminin subunit gamma-1,1,0.999,70,739,739,739,47,47,43,52,41,49,51,44,52,83,44,44,46,46,50,47,47,43,52,41,49,51,44,52,83,44,44,46,46,50,47,47,43,52,41,49,51,44,52,83,44,44,46,46,50,3142766080,4070720260,3619841540,2962095870,2644303870,3076160770,2755743490,2532391170,2635041790,5713446900,2255479300,3046512900,2708369920,2610355460,5584155100,282531104,234577504,323675744,256362256,236751008,296346624,248997184,256540944,304962176,292167136,222088576,299338560,260379952,254024672,299761696,
sp|Q1LY10|FSD1_DANRE,Q1LY10,FSD1_DANRE,fsd1,495,Danio rerio,3:Protein inferred from homology,Fibronectin type III and SPRY domain-containing protein 1,0.9408,0.999,1,4,4,4,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,10144780,0,0,2962055.8,0,0,0,0,0,0,0,0,0,8781964,0,10144780,0,0,2962055.8,0,0,0,0,0,0,0,0,0,8781964,
sp|Q1LY46|LETM1_DANRE,Q1LY46,LETM1_DANRE,letm1,757,Danio rerio,3:Protein inferred from homology,Mitochondrial proton/calcium exchanger protein,1,0.999,3,14,14,14,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,4989984,17093136,16079493,4955261,20168160,11422068,4620377,11028591,13079230,30628548,5264033,11200439,0,8864736,10236514,4917072,11214594,10686813,4882856,12841607,11255172,4552865.5,10867445,12888120,0,10209716,11036782,0,8735207,10086941,
sp|Q1LYB6|ATF1B_DANRE,Q1LYB6,ATF1B_DANRE,atp5if1b,107,Danio rerio,3:Protein inferred from homology,"ATPase inhibitor B, mitochondrial",1,0.9989,3,18,18,18,1,1,2,2,1,2,0,2,0,1,1,0,2,2,1,1,1,2,2,1,2,0,2,0,1,1,0,2,2,1,1,1,2,2,1,2,0,2,0,1,1,0,2,2,1,19691878,129899832,80996736,31125216,146852800,87896896,18189238,142297408,0,15216171,7175145,52325972,31286234,171368080,86596688,19691878,81840528,51396240,19751956,93304904,55730460,18189238,90429112,0,15216171,0,52325972,19873498,108041976,54444300,
sp|Q1MTD3|MCES_DANRE,Q1MTD3,MCES_DANRE,rnmt,400,Danio rerio,3:Protein inferred from homology,mRNA cap guanine-N7 methyltransferase,0.8015,0.9961,1,3,3,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,11905061,0,0,6644534.5,0,0,0,2276749,2392067,3337873,0,0,0,0,0,11905061,0,0,6644534.5,0,0,0,2276749,2392067,3337873,0,0,0,0,0,
sp|Q1MTI4|TPISA_DANRE,Q1MTI4,TPISA_DANRE,tpi1a,248,Danio rerio,2:Experimental evidence at transcript level,Triosephosphate isomerase A,1,0.999,8,24,24,71,2,1,3,3,2,1,1,1,1,1,1,1,3,2,1,2,1,3,3,2,1,1,1,1,1,1,1,3,2,1,5,4,6,7,5,4,5,4,4,5,4,4,5,5,4,14130018,17804960,23125440,20286738,28979798,7150377.5,7397560.5,6447425,7475844,10157611,7194965.5,15055096,18875220,12375894,5628301.5,8071173.5,7873361.5,8034955,7846091.5,10691501,8556110,10240724,7714960,8945561,12154552,8609463,6252245.5,8130464.5,14808939,6734800.5,
sp|Q1RM09|BASP1_DANRE,Q1RM09,BASP1_DANRE,basp1,197,Danio rerio,2:Experimental evidence at transcript level,Brain acid soluble protein 1 homolog,1,0.999,13,163,163,163,13,12,8,13,10,9,15,10,9,12,10,11,11,12,8,13,12,8,13,10,9,15,10,9,12,10,11,11,12,8,13,12,8,13,10,9,15,10,9,12,10,11,11,12,8,905808320,845267200,676985410,867716100,605604290,484773984,805406530,650076670,427297408,596899580,835809150,625673660,635581060,1071888380,529584160,217110848,170395312,143820272,174051456,206961216,125371384,196739232,168304896,113529768,139331072,197247296,133760520,192188512,237396544,110890616,
sp|Q29RB4|OLF3A_DANRE,Q29RB4,OLF3A_DANRE,olfml3a,390,Danio rerio,2:Experimental evidence at transcript level,Olfactomedin-like protein 3A,0.8992,0.9982,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|Q2L6K8|CNPY4_DANRE,Q2L6K8,CNPY4_DANRE,cnpy4,217,Danio rerio,2:Experimental evidence at transcript level,Protein canopy 4,1,0.999,3,13,13,13,0,1,0,1,1,1,0,2,1,0,2,1,1,0,2,0,1,0,1,1,1,0,2,1,0,2,1,1,0,2,0,1,0,1,1,1,0,2,1,0,2,1,1,0,2,0,9989012,0,1376018.8,4047805.2,1894599.5,0,5570116.5,3609039.5,0,10258978,2744975.5,1496435.9,0,4087978.5,0,8956840,0,1320984.9,3885913.2,1818825,0,3743742,0,0,5330264,2635190.2,1436585.9,0,3671568.8,
sp|Q2L6L1|CNPY1_DANRE,Q2L6L1,CNPY1_DANRE,cnpy1,187,Danio rerio,1:Experimental evidence at protein level,Protein canopy-1,1,0.999,3,22,22,22,1,2,1,2,2,1,2,2,0,2,1,1,2,1,2,1,2,1,2,2,1,2,2,0,2,1,1,2,1,2,1,2,1,2,2,1,2,2,0,2,1,1,2,1,2,2018913.5,27137128,0,6587999,8027178.5,2394589.5,4635692,5721960,0,20776444,4131636.2,3060455,3513411.5,1651447.5,36764480,2206898.8,21495896,0,2882993.5,6329277.5,2617554.8,1618508.9,4523661.5,0,16095167,4516341.5,3345420.2,2726105.5,1805217.2,28966404,
sp|Q2TLY1|MACO2_DANRE,Q2TLY1,MACO2_DANRE,maco1b,699,Danio rerio,2:Experimental evidence at transcript level,Macoilin-2,0.9997,0.9974,2,7,0,7,0,1,1,0,0,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,1,0,1,1,0,0,0,0,4904207.5,2741353.5,0,1713829.2,3372397.2,0,0,2788290.8,0,4122119.2,2471201.5,0,0,5554197.5,0,4782546.5,2673347.5,0,5048095.5,2470770,0,0,2719120.2,0,4019860,2409897.2,0,0,5416412,
sp|Q2YDR3|IMPA3_DANRE,Q2YDR3,IMPA3_DANRE,bpnt2,341,Danio rerio,2:Experimental evidence at transcript level,Inositol monophosphatase 3,0.2495,0.9543,1,4,4,4,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,17269284,0,0,22900716,0,0,0,0,9165435,21216018,0,0,0,0,0,17269284,0,0,22900716,0,0,0,0,9165435,21216018,0,0,0,
sp|Q32LQ4|BHMT1_DANRE,Q32LQ4,BHMT1_DANRE,bhmt,400,Danio rerio,2:Experimental evidence at transcript level,Betaine--homocysteine S-methyltransferase 1,1,0.999,14,156,156,156,12,9,10,15,7,10,14,7,11,13,9,8,12,9,10,12,9,10,15,7,10,14,7,11,13,9,8,12,9,10,12,9,10,15,7,10,14,7,11,13,9,8,12,9,10,1180166140,340012192,690052740,1212275200,445060224,681759490,838582080,321866112,580401280,889214210,330421088,651458690,1226045440,448482912,573487360,230873968,83270904,142836192,228883200,96193856,135278720,166456128,78082952,120302712,197446896,88118008,124450008,220627936,86483248,109319232,
sp|Q32LU1|MIRO2_DANRE,Q32LU1,MIRO2_DANRE,rhot2,617,Danio rerio,2:Experimental evidence at transcript level,Mitochondrial Rho GTPase 2,0.9347,0.9989,1,3,3,3,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|Q32LU7|PTCD3_DANRE,Q32LU7,PTCD3_DANRE,ptcd3,667,Danio rerio,2:Experimental evidence at transcript level,Small ribosomal subunit protein mS39,1,0.9989,3,17,17,17,0,2,1,1,2,1,0,3,2,0,1,1,1,1,1,0,2,1,1,2,1,0,3,2,0,1,1,1,1,1,0,2,1,1,2,1,0,3,2,0,1,1,1,1,1,5072479.5,16366614,9479087,5822954.5,31575958,9131354,0,42245272,8521406,0,10880176,14237610,6449065.5,10750512,18254770,6090332.5,16635308,9634707,5918551,18012630,9281265,0,18395164,8661303,0,11058798,8016875.5,6554941,10927005,10335315,
sp|Q32PR0|T55BA_DANRE,Q32PR0,T55BA_DANRE,tmem55ba,270,Danio rerio,2:Experimental evidence at transcript level,"Type I phosphatidylinositol 4,5-bisphosphate 4-phosphatase-A",0.9022,0.9983,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1253021.4,2802272.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1253021.4,2802272.2,0,0,sp|Q66I51|T55BB_DANRE
sp|Q3B7H1|GALD1_DANRE,Q3B7H1,GALD1_DANRE,gatd1,213,Danio rerio,2:Experimental evidence at transcript level,Glutamine amidotransferase-like class 1 domain-containing protein 1,1,0.999,5,16,16,16,1,2,0,2,1,0,1,0,0,3,0,1,2,0,3,1,2,0,2,1,0,1,0,0,3,0,1,2,0,3,1,2,0,2,1,0,1,0,0,3,0,1,2,0,3,5157208.5,18496578,0,9297140,0,0,5954579.5,0,0,10838204,0,5310076.5,8744826,0,30490466,7695342,7095642,0,7745342,0,0,8885141,0,0,2033196.9,0,7923444.5,5836217,0,6610249,
sp|Q498P2|RT35_DANRE,Q498P2,RT35_DANRE,mrps35,330,Danio rerio,2:Experimental evidence at transcript level,Small ribosomal subunit protein mS35,0.5037,0.9846,1,6,6,6,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,3304474.8,2771532.8,4484741.5,4714759.5,0,0,3264857.2,0,0,0,0,0,4826209.5,0,2660524.5,3304474.8,2771532.8,4484741.5,4714759.5,0,0,3264857.2,0,0,0,0,0,4826209.5,0,2660524.5,
sp|Q49HM9|GRK7A_DANRE,Q49HM9,GRK7A_DANRE,grk7a,549,Danio rerio,1:Experimental evidence at protein level,Rhodopsin kinase grk7a,1,0.9989,4,28,28,28,1,1,3,2,1,2,2,2,2,0,3,3,2,2,2,1,1,3,2,1,2,2,2,2,0,3,3,2,2,2,1,1,3,2,1,2,2,2,2,0,3,3,2,2,2,35335528,39142728,46655308,47920208,48702940,33444484,38409916,49823492,59179608,0,115153624,111921632,52562480,40806288,61441776,39124436,36984348,45295880,33237208,39022048,37030620,42528480,39960348,46979848,0,36594920,42093744,42398500,32852662,49882252,
sp|Q4H4B6|SCRIB_DANRE,Q4H4B6,SCRIB_DANRE,scrib,1724,Danio rerio,1:Experimental evidence at protein level,Protein scribble homolog,1,0.9908,4,13,13,13,0,1,1,1,2,0,0,2,0,1,2,1,1,1,0,0,1,1,1,2,0,0,2,0,1,2,1,1,1,0,0,1,1,1,2,0,0,2,0,1,2,1,1,1,0,0,5522509.5,3250636.8,3366916.8,6447595,0,0,8479360,0,15511038,7028532,11192313,4415070,0,15803513,0,8650325,5091719,1740448.2,10099357,0,0,13281864,0,0,11009322,4349625,2282266.2,0,8169253.5,
sp|Q4KME6|GGYF2_DANRE,Q4KME6,GGYF2_DANRE,gigyf2,1329,Danio rerio,2:Experimental evidence at transcript level,GRB10-interacting GYF protein 2,1,0.999,7,17,17,17,0,3,1,1,1,1,0,2,1,0,1,1,1,2,2,0,3,1,1,1,1,0,2,1,0,1,1,1,2,2,0,3,1,1,1,1,0,2,1,0,1,1,1,2,2,106434672,173174992,153128592,153119312,182658384,127910920,146810960,208294624,26532762,0,2531735.5,151747376,133111096,221631872,189974560,75669488,107482728,103741216,88714616,107869816,86432800,104374920,127118608,123925176,0,97837344,99932824,93265496,133995888,138556832,
sp|Q4QRF4|H32_DANRE,Q4QRF4,H32_DANRE,zgc:113984,136,Danio rerio,2:Experimental evidence at transcript level,Histone H3.2,1,0.999,13,223,103,223,13,26,14,12,6,8,11,10,12,38,12,12,16,12,21,5,19,6,5,2,4,4,4,5,16,5,6,3,6,13,13,26,14,12,6,8,11,10,12,38,12,12,16,12,21,70720004000,28365484000,51264356000,68811596000,32502226900,49930342000,65425318000,30230419500,51841397000,123016364000,26333300700,47568564000,67416273000,42561896000,51052311000,40762700000,30730668000,25166186500,21770147800,16641996800,16962761700,19064113200,15567386600,21937068000,198049104000,14074488800,14919715800,27038861300,22775918600,40745144000,
sp|Q4QRJ7|EIF2A_DANRE,Q4QRJ7,EIF2A_DANRE,eif2a,580,Danio rerio,2:Experimental evidence at transcript level,Eukaryotic translation initiation factor 2A,0.999,0.9973,2,6,6,6,0,0,0,1,0,0,1,1,1,0,0,0,2,0,0,0,0,0,1,0,0,1,1,1,0,0,0,2,0,0,0,0,0,1,0,0,1,1,1,0,0,0,2,0,0,0,0,0,6297208.5,0,0,26882100,5215318.5,11599784,0,0,0,11497202,0,0,0,0,0,6711834.5,0,0,28652092,5558709.5,12363546,0,0,0,5158601,0,0,
sp|Q4QRK0|MAP11_DANRE,Q4QRK0,MAP11_DANRE,metap1,386,Danio rerio,2:Experimental evidence at transcript level,Methionine aminopeptidase 1,1,0.9989,7,20,20,20,4,0,1,5,0,1,1,0,0,1,0,0,5,0,2,4,0,1,5,0,1,1,0,0,1,0,0,5,0,2,4,0,1,5,0,1,1,0,0,1,0,0,5,0,2,52175404,13817853,34200216,57234620,0,8704956,30893608,27064246,0,9325650,0,0,55783584,0,24725216,18631016,13832356,16829738,20611608,0,10992460,17257706,27092652,0,0,0,0,19506426,0,24751166,
sp|Q4TVV3|DDX46_DANRE,Q4TVV3,DDX46_DANRE,ddx46,1018,Danio rerio,2:Experimental evidence at transcript level,Probable ATP-dependent RNA helicase DDX46,0.9736,0.9865,2,2,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1810267.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|Q4U0S5|PAF1_DANRE,Q4U0S5,PAF1_DANRE,paf1,503,Danio rerio,1:Experimental evidence at protein level,RNA polymerase II-associated factor 1 homolog,0.9986,0.9987,1,12,12,12,0,1,1,1,2,1,0,1,1,0,1,1,0,2,0,0,1,1,1,2,1,0,1,1,0,1,1,0,2,0,0,1,1,1,2,1,0,1,1,0,1,1,0,2,0,0,6769896.5,3443662.2,683237.6,9967312,2660773.2,0,7839129.5,2338748,0,10292267,3533119,0,4328844,0,0,6769896.5,3443662.2,683237.6,8006753.5,2660773.2,0,7839129.5,2338748,0,10292267,3533119,0,3296043.8,0,
sp|Q4V8U5|ANO10_DANRE,Q4V8U5,ANO10_DANRE,ano10,646,Danio rerio,2:Experimental evidence at transcript level,Anoctamin-10,0.333,0.9691,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5629390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|Q4VBI7|STX18_DANRE,Q4VBI7,STX18_DANRE,stx18,314,Danio rerio,2:Experimental evidence at transcript level,Syntaxin-18,0.905,0.9983,1,6,6,6,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,6451330.5,0,547105.2,0,845150.4,0,0,0,0,0,609377.5,479428.62,0,5398608,0,6451330.5,0,547105.2,0,845150.4,0,0,0,0,0,609377.5,479428.62,0,5398608,
sp|Q4VBT1|FA1B1_DANRE,Q4VBT1,FA1B1_DANRE,fabp1b.1,128,Danio rerio,2:Experimental evidence at transcript level,Fatty acid binding protein 1-B.1,1,0.999,5,125,125,125,8,6,5,9,8,9,12,10,8,8,7,8,10,9,8,8,6,5,9,8,9,12,10,8,8,7,8,10,9,8,8,6,5,9,8,9,12,10,8,8,7,8,10,9,8,425198912,173742080,413619296,488797248,205369392,389282240,461828096,205474832,326677248,257345392,77513960,373329984,494750656,189982464,289568960,210675056,101856792,153139584,211380144,100936600,156375168,216460624,96398928,139319200,292061088,115395696,160824800,225436176,93483152,148061728,
sp|Q4VBV9|NIT2_DANRE,Q4VBV9,NIT2_DANRE,nit2,277,Danio rerio,2:Experimental evidence at transcript level,Omega-amidase NIT2,0.7673,0.9952,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2684944.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|Q502A3|UBAD2_DANRE,Q502A3,UBAD2_DANRE,ubald2,172,Danio rerio,2:Experimental evidence at transcript level,UBA-like domain-containing protein 2,0.3061,0.9652,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|Q502B0|RM41_DANRE,Q502B0,RM41_DANRE,mrpl41,135,Danio rerio,2:Experimental evidence at transcript level,Large ribosomal subunit protein mL41,0.939,0.999,1,3,3,3,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4608428,0,0,3073391.5,0,0,3841539.8,0,0,0,0,0,0,0,0,4608428,0,0,3073391.5,0,0,3841539.8,0,0,0,0,
sp|Q502D1|GLOD5_DANRE,Q502D1,GLOD5_DANRE,glod5,163,Danio rerio,2:Experimental evidence at transcript level,Glyoxalase domain-containing protein 5,0.7591,0.995,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5870996.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
