Protein,Protein ID,Entry Name,Gene,Protein Length,Organism,Protein Existence,Description,Protein Probability,Top Peptide Probability,Combined Total Peptides,Combined Spectral Count,Combined Unique Spectral Count,Combined Total Spectral Count,170928_MW_1 Spectral Count,170928_MW_2 Spectral Count,170928_MW_3 Spectral Count,170928_MW_4 Spectral Count,170928_MW_5 Spectral Count,170928_MW_6 Spectral Count,170928_MW_1 Unique Spectral Count,170928_MW_2 Unique Spectral Count,170928_MW_3 Unique Spectral Count,170928_MW_4 Unique Spectral Count,170928_MW_5 Unique Spectral Count,170928_MW_6 Unique Spectral Count,170928_MW_1 Total Spectral Count,170928_MW_2 Total Spectral Count,170928_MW_3 Total Spectral Count,170928_MW_4 Total Spectral Count,170928_MW_5 Total Spectral Count,170928_MW_6 Total Spectral Count,170928_MW_1_6dpf_Intensity,170928_MW_2_6dpf_Intensity,170928_MW_3_6dpf_Intensity,170928_MW_4_6dpf_Intensity,170928_MW_5_6dpf_Intensity,170928_MW_6_6dpf_Intensity,170928_MW_1 MaxLFQ_6dpf_Intensity,170928_MW_2 MaxLFQ_6dpf_Intensity,170928_MW_3 MaxLFQ_6dpf_Intensity,170928_MW_4 MaxLFQ_6dpf_Intensity,170928_MW_5 MaxLFQ_6dpf_Intensity,170928_MW_6 MaxLFQ_6dpf_Intensity,Indistinguishable Proteins
sp|F1Q8X5|FERM2_DANRE,F1Q8X5,FERM2_DANRE,fermt2,684,Danio rerio,2:Experimental evidence at transcript level,Fermitin family homolog 2,1,0.999,8,30,30,30,3,8,4,6,4,5,3,8,4,6,4,5,3,8,4,6,4,5,153671072,255930816,201052992,300622528,224379152,286423424,68261728,174512432,156079728,201273616,182510960,177562336,
sp|F1QB54|PABPA_DANRE,F1QB54,PABPA_DANRE,pabpc1a,634,Danio rerio,1:Experimental evidence at protein level,Polyadenylate-binding protein 1A,1,0.999,17,89,89,89,10,16,13,17,17,16,10,16,13,17,17,16,10,16,13,17,17,16,889398660,1506908540,1213118080,1908961540,1699746300,1531191040,185622896,250228320,212977776,314632832,252198880,262808608,
sp|F1QCN0|GAL3A_DANRE,F1QCN0,GAL3A_DANRE,gatd3,262,Danio rerio,3:Protein inferred from homology,"Glutamine amidotransferase-like class 1 domain-containing protein 3, mitochondrial",0.9996,0.9971,2,2,2,2,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,22402402,35251796,0,0,0,0,0,0,0,
sp|F1QCV2|HDA10_DANRE,F1QCV2,HDA10_DANRE,hdac10,675,Danio rerio,1:Experimental evidence at protein level,Polyamine deacetylase HDAC10,0.9559,0.9987,1,3,3,3,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,13724374,0,0,0,0,0,0,
sp|F1QEG2|KL41B_DANRE,F1QEG2,KL41B_DANRE,klhl41b,605,Danio rerio,2:Experimental evidence at transcript level,Kelch-like protein 41b,1,0.9988,9,34,29,34,6,5,6,5,5,7,5,5,5,4,5,5,6,5,6,5,5,7,143727616,183881536,69789040,356108128,195787328,382127360,114079168,84112792,55997120,104049296,99778624,80256720,
sp|F1QGH7|CTNB1_DANRE,F1QGH7,CTNB1_DANRE,ctnnb1,780,Danio rerio,1:Experimental evidence at protein level,Catenin beta-1,1,0.999,14,47,47,56,6,5,10,6,13,7,6,5,10,6,13,7,7,6,12,7,15,9,58537816,258167536,232524576,310576064,204439104,305146240,70201536,78166872,77879216,71427648,66219944,72937992,
sp|F1QGH9|PS11B_DANRE,F1QGH9,PS11B_DANRE,psmd11b,422,Danio rerio,2:Experimental evidence at transcript level,26S proteasome non-ATPase regulatory subunit 11B,1,0.999,16,55,30,55,11,9,7,7,10,11,7,4,3,4,6,6,11,9,7,7,10,11,457206656,445964832,336516320,522497152,468217152,701610620,140999424,155196544,167655520,171210224,142915776,182557984,
sp|F1QGW6|IF2G_DANRE,F1QGW6,IF2G_DANRE,eif2s3,472,Danio rerio,3:Protein inferred from homology,Eukaryotic translation initiation factor 2 subunit 3,1,0.999,9,35,35,35,3,10,4,6,7,5,3,10,4,6,7,5,3,10,4,6,7,5,325167456,297549856,122448272,455396160,156524752,294700160,129639272,136551216,106541776,154935360,122523280,130123424,
sp|F1QLR3|FXR1_DANRE,F1QLR3,FXR1_DANRE,fxr1,622,Danio rerio,1:Experimental evidence at protein level,RNA-binding protein FXR1,1,0.999,5,15,15,15,2,3,1,4,2,3,2,3,1,4,2,3,2,3,1,4,2,3,69231240,64217824,72892880,214787680,14900326,100386304,64321356,59663488,67723312,93039408,69846584,93266896,
sp|F1QNV4|NU133_DANRE,F1QNV4,NU133_DANRE,nup133,1136,Danio rerio,2:Experimental evidence at transcript level,Nuclear pore complex protein Nup133,1,0.999,5,11,11,11,1,2,4,1,1,2,1,2,4,1,1,2,1,2,4,1,1,2,8534969,54423060,8114918,49675696,3506966.8,13459006,15603748,15507883,14835805,16770003,0,24605940,
sp|F1QUP1|RPZ_DANRE,F1QUP1,RPZ_DANRE,rpz,227,Danio rerio,1:Experimental evidence at protein level,Protein rapunzel,0.8616,0.9957,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|F1QWA8|SARM1_DANRE,F1QWA8,SARM1_DANRE,sarm1,713,Danio rerio,1:Experimental evidence at protein level,NAD(+) hydrolase SARM1,1,0.9989,3,10,10,10,2,1,3,2,1,1,2,1,3,2,1,1,2,1,3,2,1,1,2640566.8,0,11013896,4157210.5,0,11175437,3332722.5,0,5361100,5246914.5,0,8854624,
sp|F1QWM2|STYL2_DANRE,F1QWM2,STYL2_DANRE,styxl2,1100,Danio rerio,1:Experimental evidence at protein level,Serine/threonine/tyrosine-interacting-like protein 2,0.7494,0.991,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|F1QXM5|LDHD_DANRE,F1QXM5,LDHD_DANRE,ldhd,497,Danio rerio,2:Experimental evidence at transcript level,"Probable D-lactate dehydrogenase, mitochondrial",1,0.9985,2,10,10,10,1,1,1,2,2,3,1,1,1,2,2,3,1,1,1,2,2,3,0,75297824,0,41028856,69709320,86271416,0,75297824,0,41028856,69709320,86271416,
sp|F1R2X6|PSM4B_DANRE,F1R2X6,PSM4B_DANRE,psme4b,1825,Danio rerio,3:Protein inferred from homology,Proteasome activator complex subunit 4B,1,0.9988,3,6,6,6,0,1,1,0,3,1,0,1,1,0,3,1,0,1,1,0,3,1,119668456,151719552,9186073,0,181201392,160884976,97978704,124220576,123668232,0,131828288,131724784,
sp|F1R4U0|TXTPB_DANRE,F1R4U0,TXTPB_DANRE,slc25a1b,317,Danio rerio,3:Protein inferred from homology,"Tricarboxylate transport protein B, mitochondrial",1,0.9989,4,13,12,13,4,1,3,0,3,2,3,1,3,0,3,2,4,1,3,0,3,2,70541840,2622428.5,49295436,0,2791931.5,977641.7,41455212,0,24272344,0,3049794,1067936.5,
sp|F1R520|CSTN1_DANRE,F1R520,CSTN1_DANRE,clstn1,954,Danio rerio,1:Experimental evidence at protein level,Calsyntenin-1,0.754,0.9912,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|F1RAX4|STRA6_DANRE,F1RAX4,STRA6_DANRE,stra6,670,Danio rerio,1:Experimental evidence at protein level,Receptor for retinol uptake stra6,0.9565,0.9988,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|F1RCR6|TRIPC_DANRE,F1RCR6,TRIPC_DANRE,trip12,2026,Danio rerio,3:Protein inferred from homology,E3 ubiquitin-protein ligase TRIP12,1,0.9967,4,5,5,5,0,2,1,1,0,1,0,2,1,1,0,1,0,2,1,1,0,1,0,2787539,0,0,0,0,0,0,0,0,0,0,
sp|F1RCY6|RENT1_DANRE,F1RCY6,RENT1_DANRE,upf1,1100,Danio rerio,2:Experimental evidence at transcript level,Regulator of nonsense transcripts 1,1,0.9879,4,14,14,14,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,33253744,0,48661968,32737092,30020418,36878668,33253744,0,48661968,32737092,30020418,36878668,
sp|F4ZGF2|COMTA_DANRE,F4ZGF2,COMTA_DANRE,comta,256,Danio rerio,1:Experimental evidence at protein level,Catechol O-methyltransferase A,0.9291,0.9979,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,6005361.5,0,0,0,0,0,0,0,0,0,0,0,
sp|F5HSE3|NIPLA_DANRE,F5HSE3,NIPLA_DANRE,nipbla,2381,Danio rerio,2:Experimental evidence at transcript level,Nipped-B-like protein A,1,0.9908,4,12,5,12,1,3,2,1,3,2,0,1,1,1,1,1,1,3,2,1,3,2,285359712,331182464,259933904,0,0,327955072,285359712,331182464,259933904,0,0,327955072,
sp|F6P3G4|PS11A_DANRE,F6P3G4,PS11A_DANRE,psmd11a,421,Danio rerio,2:Experimental evidence at transcript level,26S proteasome non-ATPase regulatory subunit 11A,1,0.999,13,31,31,56,6,5,5,4,6,5,6,5,5,4,6,5,10,10,9,7,10,10,192377552,99689856,123219384,138498496,92931536,158502496,78814008,71722896,47489428,80348904,66357560,80233608,
sp|F8W2M8|TPP1_DANRE,F8W2M8,TPP1_DANRE,tpp1,557,Danio rerio,1:Experimental evidence at protein level,Tripeptidyl-peptidase 1,1,0.9985,3,5,5,5,1,0,1,1,0,2,1,0,1,1,0,2,1,0,1,1,0,2,0,0,14907595,0,0,53012772,0,0,14907595,0,0,53012772,
sp|O13168|TLE3B_DANRE,O13168,TLE3B_DANRE,tle3b,771,Danio rerio,1:Experimental evidence at protein level,Transducin-like enhancer protein 3-B,1,0.9986,3,4,1,4,0,1,2,0,1,0,0,1,0,0,0,0,0,1,2,0,1,0,19692318,41759692,36459596,0,38085460,0,19692318,41759692,25158214,0,38085460,0,
sp|O42182|FBLN1_DANRE,O42182,FBLN1_DANRE,fbln1,681,Danio rerio,2:Experimental evidence at transcript level,Fibulin-1,1,0.9988,3,10,10,10,1,1,1,2,2,3,1,1,1,2,2,3,1,1,1,2,2,3,30952136,20952276,13952805,76003696,46871972,107608480,34468388,23332516,15537884,31750234,52196764,50315584,
sp|O42248|GBLP_DANRE,O42248,GBLP_DANRE,gnb2l1,317,Danio rerio,1:Experimental evidence at protein level,Small ribosomal subunit protein RACK1,1,0.999,21,160,160,160,30,30,21,24,32,23,30,30,21,24,32,23,30,30,21,24,32,23,4239736320,4068387330,2630967810,2807383550,4180936190,3583457790,538431230,490572128,447457184,292721120,477140352,365427680,
sp|O42363|APOA1_DANRE,O42363,APOA1_DANRE,apoa1a,262,Danio rerio,1:Experimental evidence at protein level,Apolipoprotein A-Ia,1,0.999,19,112,112,112,8,16,22,23,23,20,8,16,22,23,23,20,8,16,22,23,23,20,394324704,646684800,1180268800,1853240700,1032875460,1599761920,132909456,157016944,249100464,297656480,215440752,252720096,
sp|O42364|APOEB_DANRE,O42364,APOEB_DANRE,apoeb,281,Danio rerio,2:Experimental evidence at transcript level,Apolipoprotein Eb,1,0.9948,4,7,7,7,0,2,1,3,1,0,0,2,1,3,1,0,0,2,1,3,1,0,0,1551616.8,8464674,2821221.8,30604418,22951470,0,1551616.8,8464674,2821221.8,30604418,22951470,
sp|O57521|HS90B_DANRE,O57521,HS90B_DANRE,hsp90ab1,725,Danio rerio,1:Experimental evidence at protein level,Heat shock protein HSP 90-beta,1,0.999,39,302,210,302,43,50,54,51,51,53,30,36,37,36,35,36,43,50,54,51,51,53,6092268500,7963857400,7304931800,8384724000,7263075300,9219307500,1028995200,1274762500,1229323390,1388365310,1232421890,1526413310,
sp|O73715|LDB1A_DANRE,O73715,LDB1A_DANRE,ldb1a,374,Danio rerio,2:Experimental evidence at transcript level,LIM domain-binding protein 1-A,0.9992,0.9936,3,7,7,7,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,0,7914765.5,0,3815264.5,11260919,6934202.5,0,7914765.5,0,3815264.5,0,6934202.5,
sp|O73872|SODC_DANRE,O73872,SODC_DANRE,sod1,154,Danio rerio,2:Experimental evidence at transcript level,Superoxide dismutase [Cu-Zn],1,0.999,4,8,8,8,1,2,3,1,1,0,1,2,3,1,1,0,1,2,3,1,1,0,59890636,92143992,183813616,0,0,73964520,59890636,76893584,98662424,0,0,73964520,
sp|O73875|EPB4A_DANRE,O73875,EPB4A_DANRE,ephb4a,987,Danio rerio,1:Experimental evidence at protein level,Ephrin type-B receptor 4a,0.9971,0.9975,3,5,0,5,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,1,2,2,0,38630520,0,0,26079166,56255120,0,38630520,0,0,26079166,56255120,sp|O73878|EPB4B_DANRE
sp|O93375|COE2_DANRE,O93375,COE2_DANRE,coe2,579,Danio rerio,2:Experimental evidence at transcript level,Transcription factor COE2,0.9557,0.9987,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
sp|O93409|MLRSA_DANRE,O93409,MLRSA_DANRE,mylpfa,169,Danio rerio,1:Experimental evidence at protein level,"Myosin regulatory light chain 2, skeletal muscle isoform A",1,0.999,19,210,60,210,40,35,39,26,39,31,11,10,15,7,10,7,40,35,39,26,39,31,6844342800,6097525800,7712905700,5518866400,7399403500,6131974700,1261271680,1029163780,1140684030,820131070,1172437630,926700990,
sp|P0CH95|PHF8_DANRE,P0CH95,PHF8_DANRE,phf8,1032,Danio rerio,1:Experimental evidence at protein level,Histone lysine demethylase PHF8,0.329,0.9476,1,2,2,2,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|P13104|TPM1_DANRE,P13104,TPM1_DANRE,tpma,284,Danio rerio,2:Experimental evidence at transcript level,Tropomyosin alpha-1 chain,1,0.999,24,120,120,120,19,22,21,20,14,24,19,22,21,20,14,24,19,22,21,20,14,24,1365794820,1542099840,1952722300,1813436160,992168380,2753338110,212852144,272174784,370606560,286392576,206577728,358008928,
sp|P17561|EPD_DANRE,P17561,EPD_DANRE,epd,217,Danio rerio,2:Experimental evidence at transcript level,Ependymin,1,0.999,1,6,6,6,0,1,0,1,2,2,0,1,0,1,2,2,0,1,0,1,2,2,0,82901720,0,97474360,99237912,101401736,0,82901720,0,97474360,91651048,101401736,
sp|P35359|OPSD_DANRE,P35359,OPSD_DANRE,rho,354,Danio rerio,1:Experimental evidence at protein level,Rhodopsin,1,0.999,7,91,91,91,17,17,15,13,15,14,17,17,15,13,15,14,17,17,15,13,15,14,2200178940,2126544510,2456583420,1213174660,1483059840,1511494780,531240320,533283968,609277950,321433312,359694400,361455968,
sp|P58781|ADA2_DANRE,P58781,ADA2_DANRE,ada2a,503,Danio rerio,2:Experimental evidence at transcript level,Adenosine deaminase 2-A,0.8048,0.9935,1,2,2,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
sp|P61485|RL36A_DANRE,P61485,RL36A_DANRE,rpl36a,106,Danio rerio,1:Experimental evidence at protein level,Large ribosomal subunit protein eL42,0.9989,0.9988,2,9,9,9,2,2,2,1,1,1,2,2,2,1,1,1,2,2,2,1,1,1,118177016,71336768,87200264,38565780,83999240,29564236,118177016,71336768,87200264,38565780,83999240,29564236,
sp|P62084|RS7_DANRE,P62084,RS7_DANRE,rps7,194,Danio rerio,1:Experimental evidence at protein level,Small ribosomal subunit protein eS7,1,0.999,9,48,48,48,8,10,7,6,9,8,8,10,7,6,9,8,8,10,7,6,9,8,676026180,266458144,51487396,80966448,424232960,379535296,243645984,138844272,24711048,44637144,177412176,105754456,
sp|P62247|RS8_DANRE,P62247,RS8_DANRE,rps8,208,Danio rerio,1:Experimental evidence at protein level,Small ribosomal subunit protein eS8,1,0.999,14,84,84,84,17,14,14,10,17,12,17,14,14,10,17,12,17,14,14,10,17,12,2497864960,2248018940,2258131200,1454321150,2649379330,1462068610,634689150,529682560,507939392,347665824,603249730,299911072,
sp|P79735|RAN_DANRE,P79735,RAN_DANRE,ran,215,Danio rerio,2:Experimental evidence at transcript level,GTP-binding nuclear protein Ran,1,0.999,16,88,88,88,15,15,16,10,18,14,15,15,16,10,18,14,15,15,16,10,18,14,1568835840,1552367740,1437668350,1223447810,2003173890,1721032580,623110590,599652480,575383170,416870720,630994110,516911200,
sp|P83571|RUVB2_DANRE,P83571,RUVB2_DANRE,ruvbl2,463,Danio rerio,1:Experimental evidence at protein level,RuvB-like 2,1,0.999,10,31,31,31,4,6,5,7,3,6,4,6,5,7,3,6,4,6,5,7,3,6,66206128,124019824,109141904,178318080,84995440,166857680,44839096,55748264,83384536,77244288,64366076,58568664,
sp|Q05AM4|FAH2B_DANRE,Q05AM4,FAH2B_DANRE,faah2b,526,Danio rerio,2:Experimental evidence at transcript level,Fatty-acid amide hydrolase 2-B,0.9999,0.9977,3,3,3,3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,5341113,0,0,0,0,0,0,0,0,0,
sp|Q06725|N2F1A_DANRE,Q06725,N2F1A_DANRE,nr2f1a,411,Danio rerio,2:Experimental evidence at transcript level,Nuclear receptor subfamily 2 group F member 1-A,0.9931,0.999,2,5,4,5,2,1,0,0,1,1,1,1,0,0,1,1,2,1,0,0,1,1,11193948,6435513.5,0,0,23739244,25386156,11193948,6435513.5,0,0,23739244,25386156,
sp|Q08BB1|EFGM_DANRE,Q08BB1,EFGM_DANRE,gfm1,745,Danio rerio,2:Experimental evidence at transcript level,"Elongation factor G, mitochondrial",0.9998,0.9966,2,2,2,2,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,37471488,0,23432332,0,0,0,37471488,0,23432332,
sp|Q08BI9|MCU_DANRE,Q08BI9,MCU_DANRE,mcu,376,Danio rerio,1:Experimental evidence at protein level,"Calcium uniporter protein, mitochondrial",1,0.999,8,22,22,22,3,2,6,2,5,4,3,2,6,2,5,4,3,2,6,2,5,4,179147520,51009336,362939392,61585236,227741872,201841856,140085664,51009336,176486592,56564972,198409632,108082488,
sp|Q08BJ2|KHDR2_DANRE,Q08BJ2,KHDR2_DANRE,khdrbs2,346,Danio rerio,2:Experimental evidence at transcript level,"KH domain-containing, RNA-binding, signal transduction-associated protein 2",0.9349,0.9594,2,3,3,3,0,0,0,2,1,0,0,0,0,2,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|Q08BL7|GLCTK_DANRE,Q08BL7,GLCTK_DANRE,glyctk,502,Danio rerio,2:Experimental evidence at transcript level,Glycerate kinase,1,0.999,5,15,15,15,3,1,1,5,3,2,3,1,1,5,3,2,3,1,1,5,3,2,5155145,13684067,8974302,7530766.5,0,0,5155145,0,8974302,7530766.5,0,0,
sp|Q08C33|ISOC1_DANRE,Q08C33,ISOC1_DANRE,isoc1,283,Danio rerio,2:Experimental evidence at transcript level,Isochorismatase domain-containing protein 1,1,0.999,4,14,14,14,2,2,3,3,2,2,2,2,3,3,2,2,2,2,3,3,2,2,167790272,163241216,30842828,237001552,112221864,244601344,133570776,147177168,96401120,168821120,101178472,167051696,
sp|Q08C76|SSUH2_DANRE,Q08C76,SSUH2_DANRE,ssuh2,361,Danio rerio,2:Experimental evidence at transcript level,Protein SSUH2 homolog,1,0.9982,5,15,15,15,1,2,3,3,4,2,1,2,3,3,4,2,1,2,3,3,4,2,101888192,256710976,103681848,241247520,130326400,253757088,102367432,116515632,104169528,129304704,122829344,116883192,
sp|Q08CI4|CCYL1_DANRE,Q08CI4,CCYL1_DANRE,ccnyl1,339,Danio rerio,2:Experimental evidence at transcript level,Cyclin-Y-like protein 1,0.9687,0.9672,2,3,3,3,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,8045449,0,0,0,0,0,0,
sp|Q08CK7|IF2B1_DANRE,Q08CK7,IF2B1_DANRE,igf2bp1,598,Danio rerio,1:Experimental evidence at protein level,Insulin-like growth factor 2 mRNA-binding protein 1,1,0.999,21,87,78,87,9,18,12,16,14,18,8,16,11,15,13,15,9,18,12,16,14,18,760764160,1572268800,1026641340,1983674750,1045928190,1856787200,296212768,307257088,306081600,423929216,328443008,375901920,
sp|Q0E671|NEUAA_DANRE,Q0E671,NEUAA_DANRE,cmasa,430,Danio rerio,1:Experimental evidence at protein level,N-acylneuraminate cytidylyltransferase A,0.9847,0.9984,1,3,3,3,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1815330.2,6226976.5,4677787,0,0,0,1815330.2,6226976.5,4677787,
sp|Q0P3Z2|PTER_DANRE,Q0P3Z2,PTER_DANRE,pter,349,Danio rerio,2:Experimental evidence at transcript level,Phosphotriesterase-related protein,1,0.9988,2,8,8,8,1,1,2,0,3,1,1,1,2,0,3,1,1,1,2,0,3,1,6150932,6337424,9447109,0,11853133,5887335,6150932,6337424,8024560,0,10498808,5887335,
sp|Q0P483|S2542_DANRE,Q0P483,S2542_DANRE,slc25a42,321,Danio rerio,2:Experimental evidence at transcript level,Mitochondrial coenzyme A transporter SLC25A42,0.9986,0.999,1,4,4,4,2,0,1,0,1,0,2,0,1,0,1,0,2,0,1,0,1,0,0,0,6301481.5,0,0,0,0,0,0,0,0,0,
sp|Q0P4F7|ACSF2_DANRE,Q0P4F7,ACSF2_DANRE,acsf2,606,Danio rerio,2:Experimental evidence at transcript level,"Medium-chain acyl-CoA ligase ACSF2, mitochondrial",1,0.999,10,30,30,30,4,7,7,6,3,3,4,7,7,6,3,3,4,7,7,6,3,3,68826280,144891920,115549808,198070016,107769680,146379760,42429128,38808064,56207904,79110144,62933292,56348888,
sp|Q1JPX3|SYFA_DANRE,Q1JPX3,SYFA_DANRE,farsa,497,Danio rerio,2:Experimental evidence at transcript level,Phenylalanine--tRNA ligase alpha subunit,1,0.999,4,15,15,15,2,2,2,2,4,3,2,2,2,2,4,3,2,2,2,2,4,3,32844880,18008616,7191935,5512098.5,29992780,93709520,40644844,22285280,8899867,6821105,8084412.5,115963544,
sp|Q1JPY8|PSPC1_DANRE,Q1JPY8,PSPC1_DANRE,pspc1,512,Danio rerio,2:Experimental evidence at transcript level,Paraspeckle component 1,0.9999,0.9989,2,6,6,6,1,1,1,2,1,0,1,1,1,2,1,0,1,1,1,2,1,0,0,270110880,195673280,230087920,221128800,237884784,0,270110880,195673280,230087920,221128800,237884784,
sp|Q1JPZ7|PRP39_DANRE,Q1JPZ7,PRP39_DANRE,prpf39,752,Danio rerio,2:Experimental evidence at transcript level,Pre-mRNA-processing factor 39,1,0.9986,8,15,15,15,1,1,3,3,3,4,1,1,3,3,3,4,1,1,3,3,3,4,34114032,62627456,3823730.8,43691948,54269820,96672400,37161460,68222008,0,28830438,27747446,52522624,
sp|Q1L8L9|KAD2_DANRE,Q1L8L9,KAD2_DANRE,ak2,241,Danio rerio,2:Experimental evidence at transcript level,"Adenylate kinase 2, mitochondrial",1,0.999,5,22,22,22,2,4,4,4,4,4,2,4,4,4,4,4,2,4,4,4,4,4,69110648,114860912,62143676,136341568,215125584,176361088,44146496,50982060,32297436,58156232,71781288,59597840,
sp|Q1LUA6|TRIO_DANRE,Q1LUA6,TRIO_DANRE,trio,3028,Danio rerio,3:Protein inferred from homology,Triple functional domain protein,0.9946,0.9914,2,2,2,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,5293605,0,0,0,0,0,0,0,0,0,
sp|Q1LV46|ABHEA_DANRE,Q1LV46,ABHEA_DANRE,abhd14a,270,Danio rerio,2:Experimental evidence at transcript level,Protein ABHD14A,0.3156,0.9445,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,6303069,0,0,0,0,0,0,0,0,
sp|Q1LVE8|SF3B3_DANRE,Q1LVE8,SF3B3_DANRE,sf3b3,1217,Danio rerio,2:Experimental evidence at transcript level,Splicing factor 3B subunit 3,1,0.999,8,25,25,25,3,3,5,5,2,7,3,3,5,5,2,7,3,3,5,5,2,7,72632096,162112544,99012968,194890832,29763342,214044416,57678056,67987456,74820112,63272156,95192016,57404380,
sp|Q1LVF0|LAMC1_DANRE,Q1LVF0,LAMC1_DANRE,lamc1,1593,Danio rerio,2:Experimental evidence at transcript level,Laminin subunit gamma-1,1,0.999,9,31,31,31,3,4,5,7,8,4,3,4,5,7,8,4,3,4,5,7,8,4,8309671,162074304,157672192,262575264,88251760,90090232,0,117013104,98957448,176462512,90717024,76248280,
sp|Q1LXC9|INT3_DANRE,Q1LXC9,INT3_DANRE,ints3,1017,Danio rerio,2:Experimental evidence at transcript level,Integrator complex subunit 3,0.9843,0.991,2,5,5,5,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
sp|Q1LY46|LETM1_DANRE,Q1LY46,LETM1_DANRE,letm1,757,Danio rerio,3:Protein inferred from homology,Mitochondrial proton/calcium exchanger protein,0.9976,0.9984,2,5,5,5,2,1,1,0,1,0,2,1,1,0,1,0,2,1,1,0,1,0,16563520,0,17653382,0,9493659,0,16563520,0,17653382,0,9493659,0,
sp|Q1MTI4|TPISA_DANRE,Q1MTI4,TPISA_DANRE,tpi1a,248,Danio rerio,2:Experimental evidence at transcript level,Triosephosphate isomerase A,1,0.9989,10,21,21,54,4,4,4,3,3,3,4,4,4,3,3,3,8,11,10,8,8,9,269550272,282359008,363971712,173938336,265408048,361309824,131176568,154369024,164839168,123707128,143396240,137601344,
sp|Q1RLY6|KMO_DANRE,Q1RLY6,KMO_DANRE,kmo,474,Danio rerio,2:Experimental evidence at transcript level,Kynurenine 3-monooxygenase,0.9995,0.9989,2,5,5,5,2,0,2,1,0,0,2,0,2,1,0,0,2,0,2,1,0,0,8672408,0,17068208,0,0,12539970,8672408,0,17068208,0,0,12539970,
sp|Q2PW47|MED24_DANRE,Q2PW47,MED24_DANRE,med24,989,Danio rerio,2:Experimental evidence at transcript level,Mediator of RNA polymerase II transcription subunit 24,0.8418,0.9949,1,2,2,2,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
sp|Q32LQ4|BHMT1_DANRE,Q32LQ4,BHMT1_DANRE,bhmt,400,Danio rerio,2:Experimental evidence at transcript level,Betaine--homocysteine S-methyltransferase 1,1,0.999,12,59,59,59,8,12,9,7,11,12,8,12,9,7,11,12,8,12,9,7,11,12,925613570,1364392190,1040578940,880002300,1071170750,1356609790,340992704,440961344,363552896,416419296,399648864,417862560,
sp|Q32LT7|TTYH3_DANRE,Q32LT7,TTYH3_DANRE,ttyh3b,560,Danio rerio,2:Experimental evidence at transcript level,Protein tweety homolog 3,0.9995,0.999,2,4,4,4,0,2,1,1,0,0,0,2,1,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|Q32LU1|MIRO2_DANRE,Q32LU1,MIRO2_DANRE,rhot2,617,Danio rerio,2:Experimental evidence at transcript level,Mitochondrial Rho GTPase 2,0.9678,0.986,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|Q32LU7|PTCD3_DANRE,Q32LU7,PTCD3_DANRE,ptcd3,667,Danio rerio,2:Experimental evidence at transcript level,Small ribosomal subunit protein mS39,1,0.9989,3,7,7,7,0,2,2,2,0,1,0,2,2,2,0,1,0,2,2,2,0,1,0,5561058,0,1818785,0,0,0,5561058,0,1818785,0,0,
