Protein,Protein ID,Entry Name,Gene,Protein Length,Organism,Protein Existence,Description,Protein Probability,Top Peptide Probability,Combined Total Peptides,Combined Spectral Count,Combined Unique Spectral Count,Combined Total Spectral Count,E Spectral Count,L Spectral Count,E Unique Spectral Count,L Unique Spectral Count,E Total Spectral Count,L Total Spectral Count,Oocyte_Intensity,Liver_Intensity,Indistinguishable Proteins
sp|Q6P5L3|RL19_DANRE,Q6P5L3,RL19_DANRE,rpl19,196,Danio rerio,1:Experimental evidence at protein level,Large ribosomal subunit protein eL19,0.9457,0.9978,1,1,1,1,0,1,0,1,0,1,0,110310488,
sp|Q6P5L8|HSDL2_DANRE,Q6P5L8,HSDL2_DANRE,hsdl2,415,Danio rerio,2:Experimental evidence at transcript level,Hydroxysteroid dehydrogenase-like protein 2,1,0.999,11,23,23,23,0,23,0,23,0,23,0,2702342400,
sp|Q6P5M2|SKI8_DANRE,Q6P5M2,SKI8_DANRE,skic8,305,Danio rerio,2:Experimental evidence at transcript level,Superkiller complex protein 8,0.9717,0.9989,1,2,2,2,0,2,0,2,0,2,0,4644477.5,
sp|Q6P963|GLO2_DANRE,Q6P963,GLO2_DANRE,hagh,303,Danio rerio,2:Experimental evidence at transcript level,"Hydroxyacylglutathione hydrolase, mitochondrial",1,0.999,7,23,23,23,0,23,0,23,0,23,0,1628835840,
sp|Q6PBI5|RS25_DANRE,Q6PBI5,RS25_DANRE,rps25,124,Danio rerio,1:Experimental evidence at protein level,Small ribosomal subunit protein eS25,1,0.998,4,4,4,4,0,4,0,4,0,4,0,2972712960,
sp|Q6PBP3|PXL2A_DANRE,Q6PBP3,PXL2A_DANRE,prxl2a,212,Danio rerio,2:Experimental evidence at transcript level,Peroxiredoxin-like 2A,0.9999,0.9973,2,6,6,6,0,6,0,6,0,6,0,512432640,
sp|Q6PBY1|RS3A_DANRE,Q6PBY1,RS3A_DANRE,rps3a,267,Danio rerio,1:Experimental evidence at protein level,Small ribosomal subunit protein eS1,1,0.9973,3,4,4,4,0,4,0,4,0,4,0,862200320,
sp|Q6PC14|RL23_DANRE,Q6PC14,RL23_DANRE,rpl23,140,Danio rerio,1:Experimental evidence at protein level,Large ribosomal subunit protein uL14,0.9721,0.9989,1,1,1,1,0,1,0,1,0,1,0,0,
sp|Q6PC69|RL10A_DANRE,Q6PC69,RL10A_DANRE,rpl10a,216,Danio rerio,2:Experimental evidence at transcript level,Large ribosomal subunit protein uL1,1,0.9985,4,4,4,4,0,4,0,4,0,4,0,1105128700,
sp|Q6PE25|EF1G_DANRE,Q6PE25,EF1G_DANRE,eef1g,442,Danio rerio,2:Experimental evidence at transcript level,Elongation factor 1-gamma,1,0.999,15,59,59,59,0,59,0,59,0,59,0,13614151700,
sp|Q6PEH1|ERD22_DANRE,Q6PEH1,ERD22_DANRE,kdelr2,212,Danio rerio,2:Experimental evidence at transcript level,ER lumen protein-retaining receptor 2,0.9872,0.997,1,1,1,1,0,1,0,1,0,1,0,0,
sp|Q6PFQ2|EIF3C_DANRE,Q6PFQ2,EIF3C_DANRE,eif3c,926,Danio rerio,1:Experimental evidence at protein level,Eukaryotic translation initiation factor 3 subunit C,0.9623,0.9885,1,2,2,2,0,2,0,2,0,2,0,173209472,
sp|Q6PH19|GATM_DANRE,Q6PH19,GATM_DANRE,gatm,422,Danio rerio,2:Experimental evidence at transcript level,"Glycine amidinotransferase, mitochondrial",1,0.9976,2,6,6,6,0,6,0,6,0,6,0,299574816,
sp|Q6PH57|GBB1_DANRE,Q6PH57,GBB1_DANRE,gnb1,340,Danio rerio,2:Experimental evidence at transcript level,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1,1,0.9956,2,3,3,3,0,3,0,3,0,3,0,270888480,
sp|Q6PHD9|SBP1_DANRE,Q6PHD9,SBP1_DANRE,selenbp1,457,Danio rerio,2:Experimental evidence at transcript level,Methanethiol oxidase,1,0.9988,8,17,17,17,0,17,0,17,0,17,0,1380571140,
sp|Q6PI20|H33_DANRE,Q6PI20,H33_DANRE,h3f3a,136,Danio rerio,2:Experimental evidence at transcript level,Histone H3.3,1,0.999,2,10,10,12,0,10,0,10,0,12,0,360675584,
sp|Q6PUF3|DHI1L_DANRE,Q6PUF3,DHI1L_DANRE,hsd11b1l,287,Danio rerio,2:Experimental evidence at transcript level,Hydroxysteroid 11-beta-dehydrogenase 1-like protein,1,0.9967,3,6,6,6,0,6,0,6,0,6,0,467182144,
sp|Q6Q415|RL36_DANRE,Q6Q415,RL36_DANRE,rpl36,105,Danio rerio,1:Experimental evidence at protein level,Large ribosomal subunit protein eL36,0.996,0.9695,2,2,2,2,0,2,0,2,0,2,0,304284672,
sp|Q6Q420|RS15A_DANRE,Q6Q420,RS15A_DANRE,rps15a,130,Danio rerio,1:Experimental evidence at protein level,Small ribosomal subunit protein uS8,1,0.9985,3,4,4,4,0,4,0,4,0,4,0,2352674560,
sp|Q6QA33|DH12B_DANRE,Q6QA33,DH12B_DANRE,hsd17b12b,311,Danio rerio,2:Experimental evidence at transcript level,Very-long-chain 3-oxoacyl-CoA reductase-B,0.9998,0.9896,2,3,3,3,0,3,0,3,0,3,0,1104125180,
sp|Q6TGS6|SYYC_DANRE,Q6TGS6,SYYC_DANRE,yars1,529,Danio rerio,2:Experimental evidence at transcript level,"Tyrosine--tRNA ligase, cytoplasmic",1,0.9983,4,6,6,6,0,6,0,6,0,6,0,508670592,
sp|Q6TGZ5|HPPD_DANRE,Q6TGZ5,HPPD_DANRE,hpd,397,Danio rerio,2:Experimental evidence at transcript level,4-hydroxyphenylpyruvate dioxygenase,1,0.999,25,157,157,157,0,157,0,157,0,157,0,85526487000,
sp|Q6TH15|EIF3D_DANRE,Q6TH15,EIF3D_DANRE,eif3d,552,Danio rerio,2:Experimental evidence at transcript level,Eukaryotic translation initiation factor 3 subunit D,1,0.9974,3,5,5,5,0,5,0,5,0,5,0,444693184,
sp|Q6TLF6|RGN_DANRE,Q6TLF6,RGN_DANRE,rgn,295,Danio rerio,2:Experimental evidence at transcript level,Regucalcin,1,0.9989,12,39,39,39,0,39,0,39,0,39,0,5332491800,
sp|Q6VN46|MYG_DANRE,Q6VN46,MYG_DANRE,mb,147,Danio rerio,2:Experimental evidence at transcript level,Myoglobin,1,0.9974,5,14,14,14,0,14,0,14,0,14,0,1797584130,
sp|Q71N41|GAMT_DANRE,Q71N41,GAMT_DANRE,gamt,234,Danio rerio,2:Experimental evidence at transcript level,Guanidinoacetate N-methyltransferase,1,0.999,5,24,24,24,0,24,0,24,0,24,0,9423947800,
sp|Q7SX99|FUMH_DANRE,Q7SX99,FUMH_DANRE,fh,509,Danio rerio,2:Experimental evidence at transcript level,"Fumarate hydratase, mitochondrial",1,0.9986,6,10,10,10,0,10,0,10,0,10,0,1149259650,
sp|Q7SXK5|HUTI_DANRE,Q7SXK5,HUTI_DANRE,amdhd1,433,Danio rerio,2:Experimental evidence at transcript level,Probable imidazolonepropionase,1,0.9989,4,7,7,7,0,7,0,7,0,7,0,820688830,
sp|Q7SXP0|S22BB_DANRE,Q7SXP0,S22BB_DANRE,sec22bb,215,Danio rerio,2:Experimental evidence at transcript level,Vesicle-trafficking protein SEC22b-B,0.9986,0.9806,1,1,1,1,0,1,0,1,0,1,0,76767328,
sp|Q7SY23|AL4A1_DANRE,Q7SY23,AL4A1_DANRE,aldh4a1,556,Danio rerio,2:Experimental evidence at transcript level,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial",1,0.999,13,42,42,42,0,42,0,42,0,42,0,2820853250,
sp|Q7SYD5|SC31A_DANRE,Q7SYD5,SC31A_DANRE,sec31a,1254,Danio rerio,2:Experimental evidence at transcript level,Protein transport protein Sec31A,0.9999,0.9963,2,3,3,3,0,3,0,3,0,3,0,107135296,
sp|Q7SYK7|AATM_DANRE,Q7SYK7,AATM_DANRE,got2a,428,Danio rerio,2:Experimental evidence at transcript level,"Aspartate aminotransferase, mitochondrial",1,0.999,14,50,50,50,0,50,0,50,0,50,0,10137363500,
sp|Q7SZE5|SC23A_DANRE,Q7SZE5,SC23A_DANRE,sec23a,765,Danio rerio,2:Experimental evidence at transcript level,Protein transport protein Sec23A,0.9997,0.9859,2,3,3,3,0,3,0,3,0,3,0,83958984,
sp|Q7T2A5|EIF3L_DANRE,Q7T2A5,EIF3L_DANRE,eif3l,576,Danio rerio,2:Experimental evidence at transcript level,Eukaryotic translation initiation factor 3 subunit L,1,0.999,4,14,14,14,0,14,0,14,0,14,0,419521344,
sp|Q7T356|143BB_DANRE,Q7T356,143BB_DANRE,ywhabb,242,Danio rerio,2:Experimental evidence at transcript level,14-3-3 protein beta/alpha-B,1,0.999,14,21,18,48,0,21,0,18,1,47,0,2154954750,
sp|Q7T3A4|RAB13_DANRE,Q7T3A4,RAB13_DANRE,rab13,200,Danio rerio,1:Experimental evidence at protein level,Ras-related protein Rab-13,0.7465,0.987,1,5,5,5,0,5,0,5,0,5,0,1116679810,
sp|Q7T3H9|HYI_DANRE,Q7T3H9,HYI_DANRE,hyi,276,Danio rerio,2:Experimental evidence at transcript level,Putative hydroxypyruvate isomerase,1,0.999,5,13,13,13,0,13,0,13,0,13,0,2396271870,
sp|Q7ZT42|SND1_DANRE,Q7ZT42,SND1_DANRE,snd1,897,Danio rerio,2:Experimental evidence at transcript level,Staphylococcal nuclease domain-containing protein 1,1,0.999,32,119,119,119,0,119,0,119,0,119,0,19848030200,
sp|Q7ZTS4|K1C18_DANRE,Q7ZTS4,K1C18_DANRE,krt18,431,Danio rerio,1:Experimental evidence at protein level,"Keratin, type I cytoskeletal 18",1,0.999,24,107,103,107,0,107,0,103,0,107,0,20379652100,
sp|Q7ZTY4|RBBP7_DANRE,Q7ZTY4,RBBP7_DANRE,rbbp7,426,Danio rerio,2:Experimental evidence at transcript level,Histone-binding protein RBBP7,0.5248,0.9659,1,3,3,3,0,3,0,3,0,3,0,59292344,
sp|Q7ZU42|OLA1_DANRE,Q7ZU42,OLA1_DANRE,ola1,396,Danio rerio,2:Experimental evidence at transcript level,Obg-like ATPase 1,1,0.999,10,28,28,28,0,28,0,28,0,28,0,3092371970,
sp|Q7ZU99|TERA_DANRE,Q7ZU99,TERA_DANRE,vcp,806,Danio rerio,1:Experimental evidence at protein level,Transitional endoplasmic reticulum ATPase,1,0.999,11,33,33,33,0,33,0,33,0,33,0,3709683460,
sp|Q7ZUG0|RUXE_DANRE,Q7ZUG0,RUXE_DANRE,snrpe,92,Danio rerio,3:Protein inferred from homology,Small nuclear ribonucleoprotein E,0.5865,0.9733,1,2,2,2,0,2,0,2,0,2,0,224309792,
sp|Q7ZUG5|RS21_DANRE,Q7ZUG5,RS21_DANRE,rps21,81,Danio rerio,1:Experimental evidence at protein level,Small ribosomal subunit protein eS21,0.9998,0.9948,2,3,3,3,0,3,0,3,0,3,0,735869440,
sp|Q7ZUH1|RTRAF_DANRE,Q7ZUH1,RTRAF_DANRE,rtraf,242,Danio rerio,2:Experimental evidence at transcript level,"RNA transcription, translation and transport factor protein",0.9956,0.9623,2,2,2,2,0,2,0,2,0,2,0,46963704,
sp|Q7ZUP0|AN32A_DANRE,Q7ZUP0,AN32A_DANRE,anp32a,254,Danio rerio,2:Experimental evidence at transcript level,Acidic leucine-rich nuclear phosphoprotein 32 family member A,0.9962,0.999,1,4,4,4,0,4,0,4,0,4,0,502542976,
sp|Q7ZUW2|HYOU1_DANRE,Q7ZUW2,HYOU1_DANRE,hyou1,980,Danio rerio,2:Experimental evidence at transcript level,Hypoxia up-regulated protein 1,1,0.9982,6,18,18,18,0,18,0,18,0,18,0,2027533180,
sp|Q7ZUY3|H2AX_DANRE,Q7ZUY3,H2AX_DANRE,h2ax,142,Danio rerio,2:Experimental evidence at transcript level,Histone H2AX,1,0.999,4,21,18,21,0,21,0,18,0,21,0,14759835600,
sp|Q7ZV55|EIF3I_DANRE,Q7ZV55,EIF3I_DANRE,eif3i,325,Danio rerio,2:Experimental evidence at transcript level,Eukaryotic translation initiation factor 3 subunit I,0.9999,0.9976,2,9,9,9,0,9,0,9,0,9,0,344287648,
sp|Q7ZV68|VPS29_DANRE,Q7ZV68,VPS29_DANRE,vps29,182,Danio rerio,2:Experimental evidence at transcript level,Vacuolar protein sorting-associated protein 29,0.9788,0.9913,1,2,2,2,0,2,0,2,0,2,0,50358140,
sp|Q7ZV96|RL10_DANRE,Q7ZV96,RL10_DANRE,rpl10,215,Danio rerio,1:Experimental evidence at protein level,Large ribosomal subunit protein uL16,0.9609,0.9694,1,1,1,1,0,1,0,1,0,1,0,21539974,
sp|Q7ZVA6|IF4A3_DANRE,Q7ZVA6,IF4A3_DANRE,eif4a3,406,Danio rerio,2:Experimental evidence at transcript level,Eukaryotic initiation factor 4A-III,1,0.9983,3,6,6,6,0,6,0,6,0,6,0,739098940,
sp|Q7ZVB2|A9A1A_DANRE,Q7ZVB2,A9A1A_DANRE,aldh9a1a,508,Danio rerio,2:Experimental evidence at transcript level,4-trimethylaminobutyraldehyde dehydrogenase A,1,0.9979,4,7,5,7,0,7,0,5,0,7,0,671150850,
sp|Q7ZVE0|GAR1_DANRE,Q7ZVE0,GAR1_DANRE,gar1,226,Danio rerio,2:Experimental evidence at transcript level,H/ACA ribonucleoprotein complex subunit 1,0.9994,0.9954,2,2,2,2,0,2,0,2,0,2,0,425630080,
sp|Q7ZVF3|SDHA_DANRE,Q7ZVF3,SDHA_DANRE,sdha,661,Danio rerio,2:Experimental evidence at transcript level,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",0.9994,0.9855,2,3,3,3,0,3,0,3,0,3,0,53196280,
sp|Q7ZVF9|ACTB2_DANRE,Q7ZVF9,ACTB2_DANRE,actbb,375,Danio rerio,1:Experimental evidence at protein level,"Actin, cytoplasmic 2",1,0.999,15,105,2,105,20,85,0,2,20,85,3061413120,34223069200,
sp|Q7ZVK3|SIR2_DANRE,Q7ZVK3,SIR2_DANRE,sirt2,379,Danio rerio,1:Experimental evidence at protein level,NAD-dependent protein deacetylase sirtuin-2,0.7612,0.9879,1,1,1,1,0,1,0,1,0,1,0,78909048,
sp|Q7ZVN5|SRP54_DANRE,Q7ZVN5,SRP54_DANRE,srp54,504,Danio rerio,2:Experimental evidence at transcript level,Signal recognition particle subunit SRP54,0.9698,0.9988,1,1,1,1,0,1,0,1,0,1,0,116701144,
sp|Q7ZVY5|CISY_DANRE,Q7ZVY5,CISY_DANRE,cs,468,Danio rerio,2:Experimental evidence at transcript level,"Citrate synthase, mitochondrial",1,0.9885,4,5,5,5,0,5,0,5,0,5,0,847854460,
sp|Q7ZW02|CHPT1_DANRE,Q7ZW02,CHPT1_DANRE,chpt1,382,Danio rerio,2:Experimental evidence at transcript level,Cholinephosphotransferase 1,0.6003,0.9747,1,1,1,1,0,1,0,1,0,1,0,74252224,
sp|Q7ZWJ3|OSTC_DANRE,Q7ZWJ3,OSTC_DANRE,ostc,149,Danio rerio,2:Experimental evidence at transcript level,Oligosaccharyltransferase complex subunit ostc,0.9645,0.9986,1,4,4,4,0,4,0,4,0,4,0,185491312,
sp|Q7ZWJ4|RL18A_DANRE,Q7ZWJ4,RL18A_DANRE,rpl18a,176,Danio rerio,1:Experimental evidence at protein level,Large ribosomal subunit protein eL20,1,0.9928,3,3,3,3,0,3,0,3,0,3,0,579730240,
sp|Q7ZZ03|FUCM_DANRE,Q7ZZ03,FUCM_DANRE,fuom,153,Danio rerio,2:Experimental evidence at transcript level,Fucose mutarotase,1,0.999,2,12,12,12,0,12,0,12,0,12,0,676817660,
sp|Q802W2|A9A1B_DANRE,Q802W2,A9A1B_DANRE,aldh9a1b,518,Danio rerio,2:Experimental evidence at transcript level,4-trimethylaminobutyraldehyde dehydrogenase B,0.9999,0.9988,2,4,4,6,0,4,0,4,0,6,0,211045696,
sp|Q803F5|APMAP_DANRE,Q803F5,APMAP_DANRE,apmap,415,Danio rerio,2:Experimental evidence at transcript level,Adipocyte plasma membrane-associated protein,1,0.999,4,7,7,7,0,7,0,7,0,7,0,1158234880,
sp|Q803F6|RSSA_DANRE,Q803F6,RSSA_DANRE,rpsa,308,Danio rerio,1:Experimental evidence at protein level,Small ribosomal subunit protein uS2,1,0.999,8,21,21,21,0,21,0,21,0,21,0,6217748500,
sp|Q803Y4|UFM1_DANRE,Q803Y4,UFM1_DANRE,ufm1,90,Danio rerio,3:Protein inferred from homology,Ubiquitin-fold modifier 1,0.9494,0.9753,1,2,2,2,0,2,0,2,0,2,0,0,
sp|Q8JGS9|RS18_DANRE,Q8JGS9,RS18_DANRE,rps18,152,Danio rerio,1:Experimental evidence at protein level,Small ribosomal subunit protein uS13,1,0.9976,6,10,10,10,0,10,0,10,0,10,0,3328333820,
sp|Q8JH71|ALDOB_DANRE,Q8JH71,ALDOB_DANRE,aldob,364,Danio rerio,2:Experimental evidence at transcript level,Fructose-bisphosphate aldolase B,1,0.999,17,126,118,126,0,126,0,118,0,126,0,54715576000,
sp|Q90473|HSP7C_DANRE,Q90473,HSP7C_DANRE,hspa8,649,Danio rerio,2:Experimental evidence at transcript level,Heat shock cognate 71 kDa protein,1,0.999,19,85,85,85,2,83,2,83,2,83,64758260,19660001300,
sp|Q90486|HBB1_DANRE,Q90486,HBB1_DANRE,ba1,148,Danio rerio,1:Experimental evidence at protein level,Hemoglobin subunit beta-1,1,0.999,11,576,52,576,1,575,1,51,1,575,81546096,250180207000,
sp|Q90487|HBA_DANRE,Q90487,HBA_DANRE,hbaa1,143,Danio rerio,2:Experimental evidence at transcript level,Hemoglobin subunit alpha,1,0.999,9,175,175,175,1,174,1,174,1,174,18621128,225977238000,
sp|Q90XG0|TPISB_DANRE,Q90XG0,TPISB_DANRE,tpi1b,248,Danio rerio,2:Experimental evidence at transcript level,Triosephosphate isomerase B,1,0.999,12,69,40,69,1,68,0,40,1,68,75325248,19082086400,
sp|Q90Z10|RL13_DANRE,Q90Z10,RL13_DANRE,rpl13,211,Danio rerio,1:Experimental evidence at protein level,Large ribosomal subunit protein eL13,1,0.9923,3,5,5,5,0,5,0,5,0,5,0,970434180,
sp|Q90ZM2|S61A1_DANRE,Q90ZM2,S61A1_DANRE,sec61al1,476,Danio rerio,2:Experimental evidence at transcript level,Protein transport protein Sec61 subunit alpha-like 1,1,0.999,9,29,2,29,0,29,0,2,0,29,0,4681997300,
sp|Q92005|EF1A_DANRE,Q92005,EF1A_DANRE,eef1a,462,Danio rerio,2:Experimental evidence at transcript level,Elongation factor 1-alpha,1,0.999,19,277,277,277,1,276,1,276,1,276,27753010,96549249000,
sp|Q92051|CAHZ_DANRE,Q92051,CAHZ_DANRE,cahz,260,Danio rerio,1:Experimental evidence at protein level,Carbonic anhydrase,1,0.999,7,20,20,20,0,20,0,20,0,20,0,3435518460,
sp|Q9DEX7|FADS2_DANRE,Q9DEX7,FADS2_DANRE,fads2,444,Danio rerio,1:Experimental evidence at protein level,Acyl-CoA 6-desaturase,1,0.9989,6,14,14,14,0,14,0,14,0,14,0,3084639740,
sp|Q9DGJ3|NPC2_DANRE,Q9DGJ3,NPC2_DANRE,npc2,149,Danio rerio,2:Experimental evidence at transcript level,NPC intracellular cholesterol transporter 2,0.9981,0.985,2,3,3,3,0,3,0,3,0,3,0,298378880,
sp|Q9DGK4|TCTP_DANRE,Q9DGK4,TCTP_DANRE,tpt1,171,Danio rerio,2:Experimental evidence at transcript level,Translationally-controlled tumor protein homolog,1,0.999,7,28,28,28,1,27,1,27,1,27,47778972,8404833800,
sp|Q9I8L5|FA10A_DANRE,Q9I8L5,FA10A_DANRE,fabp10a,126,Danio rerio,1:Experimental evidence at protein level,"Fatty acid-binding protein 10-A, liver basic",1,0.999,9,289,289,289,0,289,0,289,0,289,0,174651294000,
sp|Q9PT92|CATA_DANRE,Q9PT92,CATA_DANRE,cat,526,Danio rerio,2:Experimental evidence at transcript level,Catalase,1,0.999,20,136,117,136,5,131,5,112,5,131,32518168,49722180000,
sp|Q9PTF3|NDK3_DANRE,Q9PTF3,NDK3_DANRE,nme3,169,Danio rerio,2:Experimental evidence at transcript level,Nucleoside diphosphate kinase 3,1,0.999,2,38,38,38,2,36,2,36,2,36,50933976,10781410300,
sp|Q9PTS2|DCUP_DANRE,Q9PTS2,DCUP_DANRE,urod,369,Danio rerio,1:Experimental evidence at protein level,Uroporphyrinogen decarboxylase,1,0.9989,6,14,14,14,0,14,0,14,0,14,0,1290370560,
sp|Q9PUE4|COPG2_DANRE,Q9PUE4,COPG2_DANRE,copg2,873,Danio rerio,2:Experimental evidence at transcript level,Coatomer subunit gamma-2,1,0.9987,2,4,4,4,0,4,0,4,0,4,0,117204112,
sp|Q9PV90|RLA0_DANRE,Q9PV90,RLA0_DANRE,rplp0,319,Danio rerio,2:Experimental evidence at transcript level,Large ribosomal subunit protein uL10,1,0.9979,2,3,3,3,0,3,0,3,0,3,0,305412800,
sp|Q9PVK4|LDHBA_DANRE,Q9PVK4,LDHBA_DANRE,ldhba,334,Danio rerio,2:Experimental evidence at transcript level,L-lactate dehydrogenase B-A chain,1,0.999,7,16,16,34,2,14,2,14,3,31,190251024,1271174530,
